trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,35.718818654,1e-05,1736408064.2396874,,,,,,,,
49,1,35.826790927,,1736408064.3478122,0.0,1.2993836402893066,,,,,,
99,2,41.492819515,1e-05,1736408070.0138352,,,,,,,,
99,3,41.601156511,,1736408070.1221797,0.0,0.8376224040985107,,,,,,
149,4,47.277856701,1e-05,1736408075.7988744,,,,,,,,
149,5,47.386023621,,1736408075.90715,0.0,0.9814676642417908,,,,,,
199,6,53.061799044,1e-05,1736408081.5827634,,,,,,,,
199,7,53.170303706,,1736408081.6913948,0.0,1.4126806259155273,,,,,,
249,8,58.85741545,1e-05,1736408087.3783815,,,,,,,,
249,9,58.965409872,,1736408087.4864528,0.0,0.9330836534500122,,,,,,
299,10,64.653757161,1e-05,1736408093.1747186,,,,,,,,
299,11,64.761950627,,1736408093.28301,0.0,0.8163524866104126,,,,,,
349,12,70.453196317,1e-05,1736408098.9741745,,,,,,,,
349,13,70.561689855,,1736408099.082782,0.0,1.1364750862121582,,,,,,
399,14,76.244620071,1e-05,1736408104.7656574,,,,,,,,
399,15,76.353341796,,1736408104.8743525,0.0,1.0432519912719727,,,,,,
449,16,82.038288474,1e-05,1736408110.5592744,,,,,,,,
449,17,82.147210375,,1736408110.6682184,0.0,0.7854392528533936,,,,,,
499,18,87.837391222,1e-05,1736408116.3583286,,,,,,,,
499,19,87.946269944,,1736408116.4673085,0.0,0.8363634347915649,,,,,,
549,20,93.644215416,1e-05,1736408122.1652136,,,,,,,,
549,21,93.75258005,,1736408122.273656,0.0,0.9951708316802979,,,,,,
599,22,99.43852976,1e-05,1736408127.959508,,,,,,,,
599,23,99.546992539,,1736408128.0680778,0.0,1.1164828538894653,,,,,,
649,24,105.239330772,1e-05,1736408133.7603123,,,,,,,,
649,25,105.348088613,,1736408133.8690605,0.0,0.8612525463104248,,,,,,
699,26,111.043071095,1e-05,1736408139.5640829,,,,,,,,
699,27,111.151618987,,1736408139.672685,0.0,1.2665467262268066,,,,,,
749,28,116.837773248,1e-05,1736408145.358752,,,,,,,,
749,29,116.946009669,,1736408145.4670892,0.0,0.9733644723892212,,,,,,
799,30,122.627365937,1e-05,1736408151.1483228,,,,,,,,
799,31,122.73543639,,1736408151.256491,0.0,1.3857088088989258,,,,,,
849,32,128.417524291,1e-05,1736408156.9385176,,,,,,,,
849,33,128.525981257,,1736408157.0470216,0.0,0.9495672583580017,,,,,,
899,34,134.213412445,1e-05,1736408162.7343948,,,,,,,,
899,35,134.322052965,,1736408162.8431034,0.0,1.0214450359344482,,,,,,
949,36,140.003855965,1e-05,1736408168.5248747,,,,,,,,
949,37,140.112416408,,1736408168.6334376,0.0,1.3004833459854126,,,,,,
999,38,145.805755309,1e-05,1736408174.3267064,,,,,,,,
999,39,145.914218592,,1736408174.4353034,0.0,1.1840407848358154,,,,,,
1049,40,151.613316773,1e-05,1736408180.134277,,,,,,,,
1049,41,151.7218452,,1736408180.2428935,0.0,0.7067102193832397,,,,,,
1099,42,157.420348762,1e-05,1736408185.9413702,,,,,,,,
1099,43,157.529225641,,1736408186.0502994,0.0,0.959918737411499,,,,,,
1149,44,163.221604265,1e-05,1736408191.7425492,,,,,,,,
1149,45,163.330402368,,1736408191.8514683,0.0,0.9171897768974304,,,,,,
1199,46,169.029633202,1e-05,1736408197.55062,,,,,,,,
1199,47,169.13869517,,1736408197.6596491,0.0,1.0640519857406616,,,,,,
1249,48,174.834092082,1e-05,1736408203.355115,,,,,,,,
1249,49,174.942544572,,1736408203.4636455,0.0,0.7071028351783752,,,,,,
1299,50,180.646880611,1e-05,1736408209.1678772,,,,,,,,
1299,51,180.755483514,,1736408209.2765086,0.0,0.5242053270339966,,,,,,
1349,52,186.458605712,1e-05,1736408214.9795973,,,,,,,,
1349,53,186.567115343,,1736408215.0881848,0.0,1.2539745569229126,,,,,,
1399,54,192.259619064,1e-05,1736408220.7805877,,,,,,,,
1399,55,192.368130378,,1736408220.8891616,0.0,0.8161925077438354,,,,,,
1406,56,201.585189029,,1736408230.1061857,0.0,,0.7594000101089478,0.8607630729675293,,,,
1406,57,220.497730745,,1736408249.0188758,0.0,,,,0.7362444400787354,0.9763135313987732,,
1407,58,231.073551943,,1736408259.5945404,1.0,,,,,,0.7599999904632568,0.8566592931747437
