trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,37.920658983,1e-05,1736282752.584051,,,,,,,,
49,1,38.034734317,,1736282752.6982827,0.0,0.6343981623649597,,,,,,
99,2,43.975334618,1e-05,1736282758.638797,,,,,,,,
99,3,44.089545935,,1736282758.753094,0.0,0.519187331199646,,,,,,
149,4,50.028688304,1e-05,1736282764.6921663,,,,,,,,
149,5,50.14255327,,1736282764.8061836,0.0,0.6012610197067261,,,,,,
199,6,56.100455237,1e-05,1736282770.7639613,,,,,,,,
199,7,56.21446777,,1736282770.878037,0.0,0.7861679196357727,,,,,,
249,8,62.15325094,1e-05,1736282776.8167853,,,,,,,,
249,9,62.267308356,,1736282776.9308512,0.0,0.9728379249572754,,,,,,
299,10,68.22173993,1e-05,1736282782.8852346,,,,,,,,
299,11,68.335999654,,1736282782.9995468,0.0,0.9264640808105469,,,,,,
349,12,74.291641562,1e-05,1736282788.9551306,,,,,,,,
349,13,74.405480566,,1736282789.0690355,0.0,0.7033106684684753,,,,,,
399,14,80.359249426,1e-05,1736282795.0226982,,,,,,,,
399,15,80.473284116,,1736282795.1368682,0.0,0.6062672734260559,,,,,,
449,16,86.426886168,1e-05,1736282801.090359,,,,,,,,
449,17,86.540947287,,1736282801.2045088,0.0,0.5983737111091614,,,,,,
499,18,92.50104673,1e-05,1736282807.164493,,,,,,,,
499,19,92.615310478,,1736282807.2788608,0.0,0.6747095584869385,,,,,,
549,20,98.576596423,1e-05,1736282813.240005,,,,,,,,
549,21,98.691038996,,1736282813.3545933,0.0,0.6425498723983765,,,,,,
599,22,104.653843264,1e-05,1736282819.3173006,,,,,,,,
599,23,104.767811086,,1736282819.431369,0.0,0.3029598295688629,,,,,,
649,24,110.732202308,1e-05,1736282825.3956964,,,,,,,,
649,25,110.846470763,,1736282825.5099945,0.0,0.7193248271942139,,,,,,
699,26,116.810718834,1e-05,1736282831.4742098,,,,,,,,
699,27,116.924702023,,1736282831.5882833,0.0,1.1224946975708008,,,,,,
749,28,122.894743167,1e-05,1736282837.5582428,,,,,,,,
749,29,123.009067134,,1736282837.6726353,0.0,0.6604454517364502,,,,,,
799,30,128.973500168,1e-05,1736282843.637014,,,,,,,,
799,31,129.08742208,,1736282843.7509959,0.0,0.5539491176605225,,,,,,
849,32,135.051712947,1e-05,1736282849.7151606,,,,,,,,
849,33,135.165931385,,1736282849.8294523,0.0,0.39444100856781006,,,,,,
899,34,141.132907426,1e-05,1736282855.7963927,,,,,,,,
899,35,141.24735876,,1736282855.9104648,0.0,0.511768102645874,,,,,,
949,36,147.216947102,1e-05,1736282861.8803983,,,,,,,,
949,37,147.331245387,,1736282861.9947915,0.0,0.9755209684371948,,,,,,
999,38,153.312342063,1e-05,1736282867.975842,,,,,,,,
999,39,153.426524941,,1736282868.0901148,0.0,0.993905782699585,,,,,,
1049,40,159.403608841,1e-05,1736282874.0671105,,,,,,,,
1049,41,159.517943163,,1736282874.1815279,0.0,0.2551175057888031,,,,,,
1099,42,165.486928936,1e-05,1736282880.1503835,,,,,,,,
