trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,37.363465803,1e-05,1736295548.4826207,,,,,,,,
49,1,37.471912547,,1736295548.591297,0.0,1.2993836402893066,,,,,,
99,2,43.14932297,1e-05,1736295554.2686036,,,,,,,,
99,3,43.257792536,,1736295554.377141,0.0,0.8376224040985107,,,,,,
149,4,48.935592144,1e-05,1736295560.0548546,,,,,,,,
149,5,49.043715491,,1736295560.1630569,0.0,0.9814676642417908,,,,,,
199,6,54.718555515,1e-05,1736295565.8378003,,,,,,,,
199,7,54.826948858,,1736295565.9463038,0.0,1.4126806259155273,,,,,,
249,8,60.503215883,1e-05,1736295571.6225111,,,,,,,,
249,9,60.611597674,,1736295571.731025,0.0,0.9330836534500122,,,,,,
299,10,66.280771818,1e-05,1736295577.4000475,,,,,,,,
299,11,66.389293621,,1736295577.5086143,0.0,0.8163524866104126,,,,,,
349,12,72.066950803,1e-05,1736295583.186294,,,,,,,,
349,13,72.17535718,,1736295583.2946954,0.0,1.1364750862121582,,,,,,
399,14,77.862826151,1e-05,1736295588.9821022,,,,,,,,
399,15,77.971288653,,1736295589.0906777,0.0,1.0432519912719727,,,,,,
449,16,83.645855673,1e-05,1736295594.7651424,,,,,,,,
449,17,83.753878961,,1736295594.8732386,0.0,0.7854392528533936,,,,,,
499,18,89.434494998,1e-05,1736295600.553842,,,,,,,,
499,19,89.542954784,,1736295600.6623292,0.0,0.8363634347915649,,,,,,
549,20,95.226474019,1e-05,1736295606.345761,,,,,,,,
549,21,95.335095338,,1736295606.4544954,0.0,0.9951708316802979,,,,,,
599,22,101.028671373,1e-05,1736295612.1479862,,,,,,,,
599,23,101.137354206,,1736295612.2567334,0.0,1.1164828538894653,,,,,,
649,24,106.827594955,1e-05,1736295617.9468794,,,,,,,,
649,25,106.936261698,,1736295618.0555959,0.0,0.8612525463104248,,,,,,
699,26,112.620919257,1e-05,1736295623.7402105,,,,,,,,
699,27,112.729361128,,1736295623.8486977,0.0,1.2665467262268066,,,,,,
749,28,118.424123066,1e-05,1736295629.5433633,,,,,,,,
749,29,118.532704078,,1736295629.6520996,0.0,0.9733644723892212,,,,,,
799,30,124.224218915,1e-05,1736295635.3435235,,,,,,,,
799,31,124.333102163,,1736295635.452449,0.0,1.3857088088989258,,,,,,
849,32,130.024210787,1e-05,1736295641.143457,,,,,,,,
849,33,130.132811445,,1736295641.252172,0.0,0.9495672583580017,,,,,,
899,34,135.828548211,1e-05,1736295646.9478397,,,,,,,,
899,35,135.937187031,,1736295647.056548,0.0,1.0214450359344482,,,,,,
949,36,141.63179592,1e-05,1736295652.7511141,,,,,,,,
949,37,141.740512546,,1736295652.85981,0.0,1.3004833459854126,,,,,,
999,38,147.43337551,1e-05,1736295658.5526676,,,,,,,,
999,39,147.542130336,,1736295658.6614397,0.0,1.1840407848358154,,,,,,
1049,40,153.24060637,1e-05,1736295664.3599234,,,,,,,,
1049,41,153.349153918,,1736295664.4685218,0.0,0.7067102193832397,,,,,,
1099,42,159.047330449,1e-05,1736295670.166652,,,,,,,,
1099,43,159.155776365,,1736295670.2751467,0.0,0.959918737411499,,,,,,
1149,44,164.857882761,1e-05,1736295675.9772384,,,,,,,,
1149,45,164.966435338,,1736295676.0858312,0.0,0.9171897768974304,,,,,,
1199,46,170.663078069,1e-05,1736295681.7823198,,,,,,,,
1199,47,170.771847812,,1736295681.891232,0.0,1.0640519857406616,,,,,,
1249,48,176.466530648,1e-05,1736295687.5858045,,,,,,,,
1249,49,176.575126244,,1736295687.6945143,0.0,0.7071028351783752,,,,,,
1299,50,182.271552496,1e-05,1736295693.390773,,,,,,,,
1299,51,182.379584607,,1736295693.4989767,0.0,0.5242053270339966,,,,,,
1349,52,188.071385285,1e-05,1736295699.1906064,,,,,,,,
1349,53,188.179799312,,1736295699.2991707,0.0,1.2539745569229126,,,,,,
1399,54,193.862960754,1e-05,1736295704.982256,,,,,,,,
1399,55,193.971829322,,1736295705.0908856,0.0,0.8161925077438354,,,,,,
1406,56,203.085625884,,1736295714.2049158,0.0,,0.7594000101089478,0.8607630729675293,,,,
1406,57,228.32813861,,1736295739.4475708,0.0,,,,0.7362444400787354,0.9763135313987732,,
1449,58,234.886600838,1e-05,1736295746.0057616,,,,,,,,
1449,59,234.995173009,,1736295746.114533,1.0,1.2706866264343262,,,,,,
1499,60,240.681222778,1e-05,1736295751.800571,,,,,,,,
1499,61,240.789645088,,1736295751.909039,1.0,0.29806575179100037,,,,,,
1549,62,246.468080473,1e-05,1736295757.587378,,,,,,,,
1549,63,246.576509225,,1736295757.6958725,1.0,0.8139873147010803,,,,,,
1599,64,252.257546847,1e-05,1736295763.3767872,,,,,,,,
1599,65,252.36593351,,1736295763.4852953,1.0,0.4499393403530121,,,,,,
1649,66,258.051472441,1e-05,1736295769.1707165,,,,,,,,
1649,67,258.159762142,,1736295769.2791913,1.0,0.782579243183136,,,,,,
1699,68,263.841649959,1e-05,1736295774.960948,,,,,,,,
1699,69,263.95007358,,1736295775.0694668,1.0,1.1616021394729614,,,,,,
1749,70,269.639706777,1e-05,1736295780.7589812,,,,,,,,
1749,71,269.748207433,,1736295780.8676002,1.0,0.4747353196144104,,,,,,
1799,72,275.432119965,1e-05,1736295786.551431,,,,,,,,
1799,73,275.540853547,,1736295786.6601267,1.0,0.7550222277641296,,,,,,
1849,74,281.226933895,1e-05,1736295792.3462474,,,,,,,,
1849,75,281.335400937,,1736295792.454758,1.0,0.8979713320732117,,,,,,
1899,76,287.014315191,1e-05,1736295798.1335526,,,,,,,,
1899,77,287.12259913,,1736295798.2419574,1.0,0.6534488797187805,,,,,,
1949,78,292.810449546,1e-05,1736295803.9297314,,,,,,,,
1949,79,292.919220708,,1736295804.0385761,1.0,0.9073053002357483,,,,,,
1999,80,298.621328683,1e-05,1736295809.7406595,,,,,,,,
1999,81,298.729960193,,1736295809.8493562,1.0,1.3077422380447388,,,,,,
2049,82,304.436396451,1e-05,1736295815.5556896,,,,,,,,
2049,83,304.545136364,,1736295815.6644876,1.0,0.9217337965965271,,,,,,
2099,84,310.247020852,1e-05,1736295821.366293,,,,,,,,
2099,85,310.355568664,,1736295821.4749606,1.0,0.9463265538215637,,,,,,
2149,86,316.050872416,1e-05,1736295827.1701293,,,,,,,,
2149,87,316.159659968,,1736295827.2790046,1.0,0.6967812180519104,,,,,,
2199,88,321.846795299,1e-05,1736295832.9660432,,,,,,,,
2199,89,321.955360574,,1736295833.0747042,1.0,0.7595187425613403,,,,,,
2249,90,327.649915104,1e-05,1736295838.7692056,,,,,,,,
2249,91,327.758559367,,1736295838.877904,1.0,0.8271929621696472,,,,,,
2299,92,333.448783901,1e-05,1736295844.568046,,,,,,,,
2299,93,333.5572179,,1736295844.6766183,1.0,0.5635272860527039,,,,,,
2349,94,339.24860261,1e-05,1736295850.3679488,,,,,,,,
2349,95,339.35714959,,1736295850.4765377,1.0,0.681719183921814,,,,,,
2399,96,345.047607114,1e-05,1736295856.1668918,,,,,,,,
2399,97,345.156094873,,1736295856.275502,1.0,0.975311815738678,,,,,,
2449,98,350.848563679,1e-05,1736295861.9677737,,,,,,,,
2449,99,350.957032462,,1736295862.076426,1.0,1.0756452083587646,,,,,,
2499,100,356.653442368,1e-05,1736295867.7727349,,,,,,,,
2499,101,356.761944724,,1736295867.8813128,1.0,1.4597458839416504,,,,,,
2549,102,362.455498097,1e-05,1736295873.5747902,,,,,,,,
2549,103,362.564009259,,1736295873.6834216,1.0,0.792462944984436,,,,,,
2599,104,368.268353031,1e-05,1736295879.3876283,,,,,,,,
2599,105,368.37702816,,1736295879.49638,1.0,0.976127564907074,,,,,,
2649,106,374.070351035,1e-05,1736295885.1896477,,,,,,,,
2649,107,374.178907131,,1736295885.2982795,1.0,1.2179181575775146,,,,,,
2699,108,379.876106905,1e-05,1736295890.9953847,,,,,,,,
2699,109,379.98439034,,1736295891.1037521,1.0,1.0748708248138428,,,,,,
2749,110,385.67579912,1e-05,1736295896.7950633,,,,,,,,
2749,111,385.784397195,,1736295896.9037814,1.0,0.9933025240898132,,,,,,
2799,112,391.479428468,1e-05,1736295902.598704,,,,,,,,
2799,113,391.588035239,,1736295902.7074063,1.0,0.6001097559928894,,,,,,
2813,114,401.551842891,,1736295912.6320212,1.0,,0.7835999727249146,0.7777184247970581,,,,
2813,115,426.836948065,,1736295937.956162,1.0,,,,0.770799994468689,0.8201241493225098,,
2849,116,432.693817551,1e-05,1736295943.8130248,,,,,,,,
2849,117,432.802573741,,1736295943.9219086,2.0,0.65110844373703,,,,,,
2899,118,438.48699739,1e-05,1736295949.6062572,,,,,,,,
2899,119,438.595208939,,1736295949.7145681,2.0,1.155672550201416,,,,,,
2949,120,444.278384201,1e-05,1736295955.397608,,,,,,,,
2949,121,444.386615076,,1736295955.5059752,2.0,0.865587592124939,,,,,,
2999,122,450.075313614,1e-05,1736295961.1945636,,,,,,,,
2999,123,450.183839793,,1736295961.3032045,2.0,1.1122006177902222,,,,,,
3049,124,455.867923173,1e-05,1736295966.987184,,,,,,,,
3049,125,455.976229419,,1736295967.0955749,2.0,0.6835885047912598,,,,,,
3099,126,461.669078124,1e-05,1736295972.7884114,,,,,,,,
3099,127,461.777351889,,1736295972.8967168,2.0,0.9576292037963867,,,,,,
3149,128,467.479147759,1e-05,1736295978.5984113,,,,,,,,
3149,129,467.588376263,,1736295978.7075992,2.0,0.7385630011558533,,,,,,
3199,130,473.283977634,1e-05,1736295984.4033108,,,,,,,,
3199,131,473.392557744,,1736295984.5119202,2.0,0.4193851351737976,,,,,,
3249,132,479.093418197,1e-05,1736295990.2126956,,,,,,,,
3249,133,479.202074158,,1736295990.3214364,2.0,0.8621336817741394,,,,,,
3299,134,484.905935079,1e-05,1736295996.0252311,,,,,,,,
3299,135,485.014652566,,1736295996.1340165,2.0,1.0223802328109741,,,,,,
3349,136,490.707804005,1e-05,1736296001.8270767,,,,,,,,
3349,137,490.816347766,,1736296001.9356906,2.0,0.8227371573448181,,,,,,
3399,138,496.524121809,1e-05,1736296007.6434586,,,,,,,,
3399,139,496.632796495,,1736296007.7521572,2.0,0.6070410013198853,,,,,,
3449,140,502.333960672,1e-05,1736296013.453295,,,,,,,,
3449,141,502.442527746,,1736296013.5618887,2.0,0.7309879064559937,,,,,,
3499,142,508.148854585,1e-05,1736296019.2681153,,,,,,,,
3499,143,508.257262961,,1736296019.3766263,2.0,0.6897093057632446,,,,,,
3549,144,513.950040325,1e-05,1736296025.0693014,,,,,,,,
3549,145,514.058351429,,1736296025.17768,2.0,0.9386568665504456,,,,,,
3599,146,519.757973005,1e-05,1736296030.8773115,,,,,,,,
3599,147,519.866559776,,1736296030.9859266,2.0,0.4115149676799774,,,,,,
3649,148,525.559794605,1e-05,1736296036.6790903,,,,,,,,
3649,149,525.668203763,,1736296036.7876127,2.0,0.9655699729919434,,,,,,
3699,150,531.36442849,1e-05,1736296042.4837627,,,,,,,,
3699,151,531.472893993,,1736296042.5922852,2.0,1.0595957040786743,,,,,,
3749,152,537.1654622,1e-05,1736296048.2847502,,,,,,,,
3749,153,537.2739473,,1736296048.3933473,2.0,0.813585638999939,,,,,,
3799,154,542.971759171,1e-05,1736296054.0910072,,,,,,,,
3799,155,543.080309944,,1736296054.1996522,2.0,1.1348934173583984,,,,,,
3849,156,548.776184348,1e-05,1736296059.8954883,,,,,,,,
3849,157,548.88463385,,1736296060.0040383,2.0,0.8456527590751648,,,,,,
3899,158,554.587298036,1e-05,1736296065.7066145,,,,,,,,
3899,159,554.695878293,,1736296065.8152356,2.0,1.0267198085784912,,,,,,
3949,160,560.394404567,1e-05,1736296071.5136697,,,,,,,,
3949,161,560.502839592,,1736296071.6222353,2.0,0.6606960892677307,,,,,,
3999,162,566.199853916,1e-05,1736296077.319097,,,,,,,,
3999,163,566.308347661,,1736296077.427742,2.0,1.1862010955810547,,,,,,
4049,164,572.016283763,1e-05,1736296083.1355846,,,,,,,,
4049,165,572.12488544,,1736296083.24428,2.0,0.7575024366378784,,,,,,
