trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,36.380798233,1e-05,1736350494.1569963,,,,,,,,
49,1,36.494617417,,1736350494.2709763,0.0,0.12180296331644058,,,,,,
99,2,42.425836388,1e-05,1736350500.2021053,,,,,,,,
99,3,42.539780646,,1736350500.316103,0.0,0.3628026247024536,,,,,,
149,4,48.484567661,1e-05,1736350506.2608795,,,,,,,,
149,5,48.59846899,,1736350506.374881,0.0,0.07080065459012985,,,,,,
199,6,54.532964031,1e-05,1736350512.3092706,,,,,,,,
199,7,54.646510078,,1736350512.422854,0.0,0.10833749920129776,,,,,,
249,8,60.586823802,1e-05,1736350518.36308,,,,,,,,
249,9,60.700914816,,1736350518.4772744,0.0,0.1976213902235031,,,,,,
299,10,66.647313783,1e-05,1736350524.4235528,,,,,,,,
299,11,66.760956922,,1736350524.5372708,0.0,0.10192964971065521,,,,,,
349,12,72.703256323,1e-05,1736350530.4795475,,,,,,,,
349,13,72.816903699,,1736350530.5932553,0.0,0.12411237508058548,,,,,,
399,14,78.758110667,1e-05,1736350536.5344083,,,,,,,,
399,15,78.87221177,,1736350536.6485474,0.0,0.6002553701400757,,,,,,
449,16,84.821488316,1e-05,1736350542.5977495,,,,,,,,
449,17,84.935598916,,1736350542.7119865,0.0,0.08503960072994232,,,,,,
499,18,90.882041768,1e-05,1736350548.6583388,,,,,,,,
499,19,90.995782118,,1736350548.77208,0.0,0.07420189678668976,,,,,,
549,20,96.948391619,1e-05,1736350554.7246392,,,,,,,,
549,21,97.062849607,,1736350554.8391514,0.0,0.011285703629255295,,,,,,
599,22,103.018550024,1e-05,1736350560.7948513,,,,,,,,
599,23,103.13229928,,1736350560.90868,0.0,0.17006008327007294,,,,,,
649,24,109.086804742,1e-05,1736350566.8631508,,,,,,,,
649,25,109.20063607,,1736350566.9770186,0.0,0.027439050376415253,,,,,,
699,26,115.164401999,1e-05,1736350572.9406166,,,,,,,,
699,27,115.278246932,,1736350573.0545897,0.0,0.20062106847763062,,,,,,
749,28,121.237486198,1e-05,1736350579.0137641,,,,,,,,
749,29,121.351680053,,1736350579.128079,0.0,0.11614202708005905,,,,,,
799,30,127.313827562,1e-05,1736350585.090126,,,,,,,,
799,31,127.428123677,,1736350585.2044175,0.0,0.10163791477680206,,,,,,
849,32,133.386735972,1e-05,1736350591.1631038,,,,,,,,
849,33,133.500956705,,1736350591.2773044,0.0,0.2967880070209503,,,,,,
899,34,139.461858369,1e-05,1736350597.2381268,,,,,,,,
899,35,139.575632337,,1736350597.351945,0.0,0.026003073900938034,,,,,,
949,36,145.532714543,1e-05,1736350603.3090048,,,,,,,,
949,37,145.647019822,,1736350603.4233465,0.0,0.11446763575077057,,,,,,
999,38,151.617183235,1e-05,1736350609.3934562,,,,,,,,
999,39,151.731325488,,1736350609.50769,0.0,0.2533082067966461,,,,,,
1049,40,157.698446835,1e-05,1736350615.4746706,,,,,,,,
1049,41,157.813559808,,1736350615.5898743,0.0,0.06954728811979294,,,,,,
1099,42,163.785425996,1e-05,1736350621.5617414,,,,,,,,
1099,43,163.899716523,,1736350621.676032,0.0,0.29712384939193726,,,,,,
1149,44,169.862348255,1e-05,1736350627.6386514,,,,,,,,
1149,45,169.975997093,,1736350627.7523522,0.0,0.04078315943479538,,,,,,
1199,46,175.951109514,1e-05,1736350633.7274067,,,,,,,,
1199,47,176.065331971,,1736350633.8417246,0.0,0.41748061776161194,,,,,,
1249,48,182.043718094,1e-05,1736350639.8199687,,,,,,,,
1249,49,182.157594934,,1736350639.9338977,0.0,0.19099457561969757,,,,,,
1299,50,188.120688536,1e-05,1736350645.8969588,,,,,,,,
1299,51,188.234738728,,1736350646.0111203,0.0,0.32433900237083435,,,,,,
1349,52,194.196677993,1e-05,1736350651.9729698,,,,,,,,
1349,53,194.310697005,,1736350652.087047,0.0,0.24577271938323975,,,,,,
1399,54,200.268523215,1e-05,1736350658.0447912,,,,,,,,
1399,55,200.382535403,,1736350658.1589239,0.0,0.1422450691461563,,,,,,
1406,56,209.694782869,,1736350667.4710667,0.0,,0.9553999900817871,0.1293686330318451,,,,
1406,57,241.144520611,,1736350698.9209585,0.0,,,,0.9459778070449829,0.16989924013614655,,
1407,58,252.121996793,,1736350709.8982558,1.0,,,,,,0.9556000232696533,0.13242068886756897
