trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,35.531237916,1e-05,1736342515.3768854,,,,,,,,
49,1,35.640460869,,1736342515.4863186,0.0,0.7248556017875671,,,,,,
99,2,41.343892141,1e-05,1736342521.189757,,,,,,,,
99,3,41.452991197,,1736342521.2987878,0.0,1.1992377042770386,,,,,,
149,4,47.172290911,1e-05,1736342527.018182,,,,,,,,
149,5,47.281515165,,1736342527.12742,0.0,0.7885634303092957,,,,,,
199,6,52.980940941,1e-05,1736342532.8268626,,,,,,,,
199,7,53.089058483,,1736342532.9350736,0.0,0.8837824463844299,,,,,,
229,8,59.979224581,,1736342539.8251152,0.0,,0.6289926171302795,0.9841184616088867,,,,
229,9,86.700723996,,1736342566.5467174,0.0,,,,0.6491132378578186,1.0186153650283813,,
230,10,92.956533447,,1736342572.8024304,1.0,,,,,,0.6388206481933594,0.9932001233100891
