trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,37.173806696,1e-05,1736376893.8451364,,,,,,,,
49,1,37.28849588,,1736376893.95998,0.0,0.7664202451705933,,,,,,
99,2,43.331799045,1e-05,1736376900.00327,,,,,,,,
99,3,43.44648828,,1736376900.1179197,0.0,0.9445977210998535,,,,,,
149,4,49.501698275,1e-05,1736376906.1730692,,,,,,,,
149,5,49.61668613,,1736376906.2881372,0.0,0.766314685344696,,,,,,
199,6,55.683401733,1e-05,1736376912.3548758,,,,,,,,
199,7,55.79763921,,1736376912.469179,0.0,0.9120162129402161,,,,,,
229,8,63.062159065,,1736376919.7336032,0.0,,0.748157262802124,0.7427716851234436,,,,
229,9,94.040266811,,1736376950.6853077,0.0,,,,0.7090041041374207,0.8543210029602051,,
249,10,99.365980051,1e-05,1736376956.0372303,,,,,,,,
249,11,99.481525292,,1736376956.1529965,1.0,0.5145438313484192,,,,,,
299,12,105.525901624,1e-05,1736376962.1973565,,,,,,,,
299,13,105.641037948,,1736376962.3125045,1.0,0.18092961609363556,,,,,,
349,14,111.659967136,1e-05,1736376968.3313808,,,,,,,,
349,15,111.774430257,,1736376968.4459488,1.0,0.5015141367912292,,,,,,
399,16,117.786522021,1e-05,1736376974.4578753,,,,,,,,
399,17,117.900943173,,1736376974.5723984,1.0,0.3441559970378876,,,,,,
449,18,123.90057727,1e-05,1736376980.5719051,,,,,,,,
449,19,124.01472533,,1736376980.686251,1.0,0.19821391999721527,,,,,,
459,20,128.745759834,,1736376985.4171984,1.0,,0.7948402762413025,0.7210561633110046,,,,
459,21,158.707926918,,1736377015.3793733,1.0,,,,0.8757162094116211,0.363889217376709,,
499,22,166.159660337,1e-05,1736377022.8310034,,,,,,,,
499,23,166.274660667,,1736377022.946143,2.0,0.16261357069015503,,,,,,
549,24,172.307715002,1e-05,1736377028.979236,,,,,,,,
549,25,172.421662106,,1736377029.0931532,2.0,0.09666477143764496,,,,,,
599,26,178.450562883,1e-05,1736377035.1220229,,,,,,,,
599,27,178.565362616,,1736377035.2368,2.0,0.3299156725406647,,,,,,
649,28,184.610427537,1e-05,1736377041.2818763,,,,,,,,
649,29,184.726036597,,1736377041.397471,2.0,0.2998264729976654,,,,,,
689,30,193.152751535,,1736377049.8241932,2.0,,0.8169533014297485,0.5858416557312012,,,,
689,31,223.329425738,,1736377080.0008683,2.0,,,,0.9300136566162109,0.2131114900112152,,
699,32,227.203575358,1e-05,1736377083.8749251,,,,,,,,
699,33,227.317892412,,1736377083.9892993,3.0,0.10166981816291809,,,,,,
749,34,233.350268915,1e-05,1736377090.021702,,,,,,,,
749,35,233.465217539,,1736377090.1366525,3.0,0.3236609101295471,,,,,,
799,36,239.50862076,1e-05,1736377096.1799345,,,,,,,,
799,37,239.622994137,,1736377096.294533,3.0,0.10086002945899963,,,,,,
849,38,245.660380699,1e-05,1736377102.331787,,,,,,,,
849,39,245.775363372,,1736377102.446833,3.0,0.071522057056427,,,,,,
899,40,251.791723545,1e-05,1736377108.4631596,,,,,,,,
899,41,251.905865144,,1736377108.5774019,3.0,0.0871213898062706,,,,,,
919,42,257.896259676,,1736377114.567707,3.0,,0.8058968186378479,0.6371753811836243,,,,
919,43,288.3860196,,1736377145.0574265,3.0,,,,0.9544338583946228,0.14205005764961243,,
949,44,294.640664193,1e-05,1736377151.3120835,,,,,,,,
949,45,294.75478211,,1736377151.4263184,4.0,0.042046692222356796,,,,,,
999,46,300.774136815,1e-05,1736377157.4455485,,,,,,,,
999,47,300.888541465,,1736377157.560059,4.0,0.06714364886283875,,,,,,
1049,48,306.905060082,1e-05,1736377163.5763006,,,,,,,,
1049,49,307.021989099,,1736377163.6934748,4.0,0.05381539463996887,,,,,,
1099,50,313.051289254,1e-05,1736377169.7227287,,,,,,,,
1099,51,313.165572462,,1736377169.8371015,4.0,0.03266047686338425,,,,,,
1149,52,319.144776516,1e-05,1736377175.8163393,,,,,,,,
1149,53,319.188426241,,1736377175.859971,4.0,0.06491167098283768,,,,,,
1149,54,322.756628505,,1736377179.4281113,4.0,,0.8464373350143433,0.5605542659759521,,,,
1149,55,352.832255888,,1736377209.5035996,4.0,,,,0.9754433631896973,0.09225357323884964,,
1199,56,361.525023176,1e-05,1736377218.1963718,,,,,,,,
1199,57,361.640024028,,1736377218.3115184,5.0,0.040545135736465454,,,,,,
1249,58,367.648831837,1e-05,1736377224.3203459,,,,,,,,
1249,59,367.76318276,,1736377224.4347594,5.0,0.035633862018585205,,,,,,
1299,60,373.804750197,1e-05,1736377230.4761932,,,,,,,,
1299,61,373.919217534,,1736377230.5906875,5.0,0.007331772707402706,,,,,,
1349,62,379.942804318,1e-05,1736377236.6142867,,,,,,,,
1349,63,380.057504516,,1736377236.729027,5.0,0.23100772500038147,,,,,,
1379,64,387.283112011,,1736377243.9545305,5.0,,0.8550368547439575,0.5556938648223877,,,,
1379,65,417.216725815,,1736377273.8881216,5.0,,,,0.9814460873603821,0.07092893123626709,,
1399,66,422.23898604,1e-05,1736377278.9103396,,,,,,,,
1399,67,422.353712638,,1736377279.0251522,6.0,0.016249384731054306,,,,,,
1449,68,428.380582533,1e-05,1736377285.0520246,,,,,,,,
1449,69,428.495389468,,1736377285.166968,6.0,0.09137134999036789,,,,,,
1499,70,434.525786364,1e-05,1736377291.1972854,,,,,,,,
1499,71,434.63959154,,1736377291.311157,6.0,0.045253247022628784,,,,,,
1549,72,440.659359321,1e-05,1736377297.3307943,,,,,,,,
