trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,35.038785162,1e-05,1736354387.988968,,,,,,,,
49,1,35.147220031,,1736354388.0974953,0.0,0.7248556017875671,,,,,,
99,2,40.880589402,1e-05,1736354393.8309424,,,,,,,,
99,3,40.989822957,,1736354393.9401019,0.0,1.1992377042770386,,,,,,
149,4,46.729312508,1e-05,1736354399.6796257,,,,,,,,
149,5,46.837832878,,1736354399.7881773,0.0,0.7885634303092957,,,,,,
199,6,52.600517089,1e-05,1736354405.5508668,,,,,,,,
199,7,52.710094388,,1736354405.6605449,0.0,0.8837824463844299,,,,,,
229,8,59.22012113,,1736354412.1704671,0.0,,0.6289926171302795,0.9841184616088867,,,,
229,9,77.650216326,,1736354430.6006806,0.0,,,,0.6491132378578186,1.0186153650283813,,
249,10,82.309108759,1e-05,1736354435.2592585,,,,,,,,
249,11,82.417301835,,1736354435.3676424,1.0,0.801855742931366,,,,,,
299,12,88.141877523,1e-05,1736354441.092235,,,,,,,,
299,13,88.250927914,,1736354441.2012432,1.0,0.8488767147064209,,,,,,
349,14,93.969974137,1e-05,1736354446.9201236,,,,,,,,
349,15,94.078670755,,1736354447.029091,1.0,1.1571136713027954,,,,,,
399,16,99.800232686,1e-05,1736354452.7505605,,,,,,,,
399,17,99.908559081,,1736354452.8589334,1.0,0.9235057234764099,,,,,,
449,18,105.591301396,1e-05,1736354458.5417044,,,,,,,,
449,19,105.699233762,,1736354458.6495957,1.0,0.6871854066848755,,,,,,
459,20,109.867238565,,1736354462.8175006,1.0,,0.6363636255264282,0.9626625180244446,,,,
459,21,128.220641431,,1736354481.1710231,1.0,,,,0.668485701084137,0.956683337688446,,
499,22,134.973849441,1e-05,1736354487.924092,,,,,,,,
499,23,135.082894211,,1736354488.0332077,2.0,0.7410640716552734,,,,,,
549,24,140.80826969,1e-05,1736354493.7586412,,,,,,,,
549,25,140.917545523,,1736354493.8679192,2.0,0.8527447581291199,,,,,,
599,26,146.672172771,1e-05,1736354499.6225514,,,,,,,,
599,27,146.780801692,,1736354499.7311115,2.0,1.0898243188858032,,,,,,
649,28,152.527938102,1e-05,1736354505.4782658,,,,,,,,
649,29,152.637088486,,1736354505.5874639,2.0,1.0088622570037842,,,,,,
689,30,160.307716108,,1736354513.2580702,2.0,,0.640049159526825,0.9376411437988281,,,,
689,31,179.534396548,,1736354532.4847844,2.0,,,,0.6763983368873596,0.9255753755569458,,
699,32,182.929680844,1e-05,1736354535.8798835,,,,,,,,
699,33,183.038639929,,1736354535.988968,3.0,0.5983374714851379,,,,,,
749,34,188.79588746,1e-05,1736354541.7462068,,,,,,,,
749,35,188.904923005,,1736354541.8552742,3.0,0.8234663009643555,,,,,,
799,36,194.660784257,1e-05,1736354547.6111398,,,,,,,,
799,37,194.76987906,,1736354547.720287,3.0,0.8083875179290771,,,,,,
849,38,200.53148587,1e-05,1736354553.4818752,,,,,,,,
849,39,200.640504497,,1736354553.5909286,3.0,0.8006967902183533,,,,,,
899,40,206.373151259,1e-05,1736354559.3235319,,,,,,,,
899,41,206.481563685,,1736354559.4320264,3.0,0.6542088389396667,,,,,,
919,42,211.840588828,,1736354564.790908,3.0,,0.6486486196517944,0.9361136555671692,,,,
919,43,230.866065652,,1736354583.816482,3.0,,,,0.684311032295227,0.9059924483299255,,
949,44,236.408870931,1e-05,1736354589.3591466,,,,,,,,
949,45,236.51794322,,1736354589.4682689,4.0,0.8495810627937317,,,,,,
999,46,242.271561969,1e-05,1736354595.2218888,,,,,,,,
999,47,242.380680692,,1736354595.3310254,4.0,1.0496848821640015,,,,,,
1049,48,248.1398267,1e-05,1736354601.0901568,,,,,,,,
1049,49,248.248778117,,1736354601.1991217,4.0,0.8284629583358765,,,,,,
1099,50,254.004493351,1e-05,1736354606.954809,,,,,,,,
1099,51,254.113627327,,1736354607.064011,4.0,0.774691104888916,,,,,,
1149,52,259.824527471,1e-05,1736354612.7748787,,,,,,,,
1149,53,259.856756342,,1736354612.8071868,4.0,0.9829198122024536,,,,,,
1149,54,263.054382134,,1736354616.0047367,4.0,,0.6597051620483398,0.9197509288787842,,,,
1149,55,281.795016597,,1736354634.7454264,4.0,,,,0.6867666840553284,0.8920736312866211,,
1199,56,289.819439487,1e-05,1736354642.7697332,,,,,,,,
1199,57,289.928143561,,1736354642.8785543,5.0,1.0970486402511597,,,,,,
1249,58,295.696030785,1e-05,1736354648.6462848,,,,,,,,
1249,59,295.8047416,,1736354648.755069,5.0,0.8649745583534241,,,,,,
1299,60,301.568499654,1e-05,1736354654.5188117,,,,,,,,
1299,61,301.677136126,,1736354654.6275084,5.0,0.5160234570503235,,,,,,
1349,62,307.429790298,1e-05,1736354660.3801434,,,,,,,,
1349,63,307.538073034,,1736354660.4884748,5.0,0.916611909866333,,,,,,
1379,64,314.058800833,,1736354667.0091298,5.0,,0.6547911763191223,0.9026802778244019,,,,
1379,65,332.483922528,,1736354685.4343421,5.0,,,,0.6907230615615845,0.8740518689155579,,
1399,66,336.824814342,1e-05,1736354689.7750568,,,,,,,,
1399,67,336.934440285,,1736354689.8847935,6.0,0.9369252920150757,,,,,,
1449,68,342.703397648,1e-05,1736354695.6537364,,,,,,,,
1449,69,342.811550436,,1736354695.7619624,6.0,1.2397390604019165,,,,,,
1499,70,348.579301382,1e-05,1736354701.5296443,,,,,,,,
1499,71,348.688052049,,1736354701.638449,6.0,0.775385856628418,,,,,,
1549,72,354.451643803,1e-05,1736354707.401889,,,,,,,,
1549,73,354.560649536,,1736354707.5109966,6.0,0.8326151371002197,,,,,,
1599,74,360.286588899,1e-05,1736354713.2369406,,,,,,,,
1599,75,360.394819455,,1736354713.345238,6.0,1.1155015230178833,,,,,,
1609,76,364.766253779,,1736354717.7165608,6.0,,0.6572481393814087,0.9045726656913757,,,,
1609,77,383.596483435,,1736354736.5467088,6.0,,,,0.6952251195907593,0.8571385741233826,,
1649,78,390.430563802,1e-05,1736354743.3808696,,,,,,,,
1649,79,390.539297061,,1736354743.4897215,7.0,0.9809051752090454,,,,,,
1699,80,396.299396477,1e-05,1736354749.2497017,,,,,,,,
1699,81,396.408726713,,1736354749.3590589,7.0,0.854163646697998,,,,,,
1749,82,402.165138002,1e-05,1736354755.1153605,,,,,,,,
1749,83,402.274329085,,1736354755.224659,7.0,0.6673625707626343,,,,,,
1799,84,408.042484781,1e-05,1736354760.9927652,,,,,,,,
1799,85,408.15202158,,1736354761.1022608,7.0,0.6535893082618713,,,,,,
1839,86,415.848139716,,1736354768.7984567,7.0,,0.6535626649856567,0.9004543423652649,,,,
1839,87,434.213619136,,1736354787.1639826,7.0,,,,0.7017735242843628,0.8455888628959656,,
1849,88,437.406774372,1e-05,1736354790.356891,,,,,,,,
1849,89,437.515817445,,1736354790.4662147,8.0,1.0210669040679932,,,,,,
1899,90,443.263686675,1e-05,1736354796.2139633,,,,,,,,
1899,91,443.371825521,,1736354796.3221586,8.0,0.8425216674804688,,,,,,
1949,92,449.140239998,1e-05,1736354802.0905738,,,,,,,,
1949,93,449.24952998,,1736354802.1999576,8.0,0.9259210824966431,,,,,,
1999,94,455.006468827,1e-05,1736354807.956827,,,,,,,,
1999,95,455.115719134,,1736354808.0660355,8.0,1.0860854387283325,,,,,,
2049,96,460.851874107,1e-05,1736354813.802222,,,,,,,,
2049,97,460.960294575,,1736354813.9105432,8.0,0.7501838207244873,,,,,,
2069,98,466.360224141,,1736354819.310577,8.0,,0.6547911763191223,0.8856521248817444,,,,
2069,99,485.352453508,,1736354838.302838,8.0,,,,0.7021828293800354,0.8357425928115845,,
2099,100,491.062165506,1e-05,1736354844.0123682,,,,,,,,
2099,101,491.171702288,,1736354844.1220446,9.0,0.7759568691253662,,,,,,
2149,102,496.935677749,1e-05,1736354849.8859751,,,,,,,,
2149,103,497.04454247,,1736354849.9948647,9.0,0.6915819644927979,,,,,,
2199,104,502.793334669,1e-05,1736354855.7435777,,,,,,,,
2199,105,502.902914368,,1736354855.8533068,9.0,1.0189307928085327,,,,,,
2249,106,508.687065191,1e-05,1736354861.6372278,,,,,,,,
2249,107,508.796361397,,1736354861.7466547,9.0,0.7530399560928345,,,,,,
2299,108,514.502584174,1e-05,1736354867.4530215,,,,,,,,
2299,109,514.532631426,,1736354867.4831285,9.0,1.3003331422805786,,,,,,
2299,110,517.717572889,,1736354870.667929,9.0,,0.6670761704444885,0.8710252642631531,,,,
2299,111,535.880854759,,1736354888.831178,9.0,,,,0.7083219885826111,0.8204132914543152,,
2349,112,543.813372265,1e-05,1736354896.7636504,,,,,,,,
2349,113,543.922860561,,1736354896.8732324,10.0,1.3140991926193237,,,,,,
2399,114,549.678451129,1e-05,1736354902.6287804,,,,,,,,
2399,115,549.787220135,,1736354902.7375326,10.0,0.6268947720527649,,,,,,
2449,116,555.544630204,1e-05,1736354908.4949777,,,,,,,,
2449,117,555.653311134,,1736354908.603741,10.0,0.7607036828994751,,,,,,
2499,118,561.40493452,1e-05,1736354914.355348,,,,,,,,
2499,119,561.513444327,,1736354914.4639034,10.0,0.7506369948387146,,,,,,
2529,120,568.093939969,,1736354921.0442858,10.0,,0.6609336733818054,0.8731085658073425,,,,
2529,121,586.95150462,,1736354939.901861,10.0,,,,0.7109140753746033,0.8123622536659241,,
2549,122,591.3182689,1e-05,1736354944.268509,,,,,,,,
2549,123,591.426833252,,1736354944.3772066,11.0,0.9026362895965576,,,,,,
