trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,35.333481053,1e-05,1736287214.0293076,,,,,,,,
49,1,35.442293843,,1736287214.1382551,0.0,2.0688064098358154,,,,,,
99,2,41.148653416,1e-05,1736287219.844561,,,,,,,,
99,3,41.257195238,,1736287219.9529378,0.0,2.1882941722869873,,,,,,
126,4,47.340564983,,1736287226.0364666,0.0,,0.49223947525024414,1.9429162740707397,,,,
126,5,72.883998719,,1736287251.5599573,0.0,,,,0.4530903697013855,2.0498099327087402,,
149,6,78.010982307,1e-05,1736287256.7068322,,,,,,,,
149,7,78.119869678,,1736287256.8159158,1.0,1.6273003816604614,,,,,,
199,8,83.815512315,1e-05,1736287262.5114257,,,,,,,,
199,9,83.923797497,,1736287262.6197326,1.0,1.690489649772644,,,,,,
249,10,89.609211853,1e-05,1736287268.3051813,,,,,,,,
249,11,89.717616598,,1736287268.4136038,1.0,2.105142593383789,,,,,,
253,12,93.088154798,,1736287271.7840896,1.0,,0.49889135360717773,1.9309591054916382,,,,
253,13,118.873074055,,1736287297.5688982,1.0,,,,0.4562915563583374,2.0223898887634277,,
299,14,126.665197386,1e-05,1736287305.3610587,,,,,,,,
299,15,126.774110675,,1736287305.4701471,2.0,1.8844438791275024,,,,,,
349,16,132.481693868,1e-05,1736287311.1776588,,,,,,,,
349,17,132.59007026,,1736287311.28609,2.0,1.891297459602356,,,,,,
380,18,138.986649905,,1736287317.6825478,2.0,,0.5077605247497559,1.9022505283355713,,,,
380,19,164.312802661,,1736287343.0087354,2.0,,,,0.4666338264942169,1.9942480325698853,,
399,20,168.88398616,1e-05,1736287347.5798004,,,,,,,,
399,21,168.992773724,,1736287347.6888633,3.0,2.0015792846679688,,,,,,
449,22,174.71012625,1e-05,1736287353.4060478,,,,,,,,
449,23,174.818880931,,1736287353.514888,3.0,1.9461371898651123,,,,,,
499,24,180.512946356,1e-05,1736287359.2087872,,,,,,,,
499,25,180.62131841,,1736287359.3171136,3.0,1.746983528137207,,,,,,
507,26,184.417159049,,1736287363.1130683,3.0,,0.5144124031066895,1.8752521276474,,,,
507,27,208.943924522,,1736287387.6397352,3.0,,,,0.4703274965286255,1.9641997814178467,,
549,28,216.253359795,1e-05,1736287394.9492116,,,,,,,,
549,29,216.362445528,,1736287395.0583594,4.0,1.99397611618042,,,,,,
599,30,222.080263559,1e-05,1736287400.7761939,,,,,,,,
