trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,32.423873052,1e-05,1736351709.242968,,,,,,,,
49,1,32.537565527,,1736351709.3568034,0.0,0.3352844715118408,,,,,,
99,2,38.479908711,1e-05,1736351715.2991312,,,,,,,,
99,3,38.594407347,,1736351715.413645,0.0,0.03411396965384483,,,,,,
149,4,44.543744015,1e-05,1736351721.362992,,,,,,,,
149,5,44.657720194,,1736351721.477004,0.0,0.2790154218673706,,,,,,
199,6,50.60674509,1e-05,1736351727.4260025,,,,,,,,
199,7,50.720928478,,1736351727.5402412,0.0,0.0238475538790226,,,,,,
249,8,56.679517269,1e-05,1736351733.4987211,,,,,,,,
249,9,56.793889281,,1736351733.6131866,0.0,0.46895167231559753,,,,,,
299,10,62.752708875,1e-05,1736351739.571893,,,,,,,,
299,11,62.867029321,,1736351739.6863277,0.0,0.20139025151729584,,,,,,
349,12,68.823455014,1e-05,1736351745.642627,,,,,,,,
349,13,68.937684561,,1736351745.7569284,0.0,0.015870628878474236,,,,,,
399,14,74.892797467,1e-05,1736351751.7120588,,,,,,,,
399,15,75.006684113,,1736351751.8259761,0.0,0.024582087993621826,,,,,,
449,16,80.968906356,1e-05,1736351757.7881503,,,,,,,,
449,17,81.082501347,,1736351757.9017951,0.0,0.013380280695855618,,,,,,
499,18,87.047884726,1e-05,1736351763.867095,,,,,,,,
499,19,87.162147698,,1736351763.9814403,0.0,0.01936931349337101,,,,,,
549,20,93.123006245,1e-05,1736351769.9421768,,,,,,,,
549,21,93.23724903,,1736351770.0564954,0.0,0.01368387509137392,,,,,,
599,22,99.199220206,1e-05,1736351776.0184865,,,,,,,,
599,23,99.313521101,,1736351776.1328576,0.0,0.21077960729599,,,,,,
649,24,105.272115335,1e-05,1736351782.091361,,,,,,,,
649,25,105.386697388,,1736351782.2059515,0.0,0.021048225462436676,,,,,,
699,26,111.356284607,1e-05,1736351788.1754847,,,,,,,,
699,27,111.470473445,,1736351788.289743,0.0,0.01984269730746746,,,,,,
749,28,117.43967647,1e-05,1736351794.2588968,,,,,,,,
749,29,117.55381829,,1736351794.3731587,0.0,0.012058701366186142,,,,,,
799,30,123.529605648,1e-05,1736351800.348824,,,,,,,,
799,31,123.644008628,,1736351800.4633138,0.0,0.010294640436768532,,,,,,
849,32,129.618931572,1e-05,1736351806.4381251,,,,,,,,
849,33,129.733864935,,1736351806.553145,0.0,0.05140784755349159,,,,,,
899,34,135.708100277,1e-05,1736351812.5273337,,,,,,,,
899,35,135.822729261,,1736351812.6419697,0.0,0.013373341411352158,,,,,,
949,36,141.800233706,1e-05,1736351818.619474,,,,,,,,
949,37,141.914645025,,1736351818.7339637,0.0,0.09253229945898056,,,,,,
999,38,147.899838277,1e-05,1736351824.7190487,,,,,,,,
999,39,148.014311051,,1736351824.8335786,0.0,0.01505906693637371,,,,,,
1049,40,153.982097179,1e-05,1736351830.8013427,,,,,,,,
1049,41,154.096636869,,1736351830.9158666,0.0,0.009810180403292179,,,,,,
1099,42,160.07144184,1e-05,1736351836.8906214,,,,,,,,
1099,43,160.18576782,,1736351837.005077,0.0,0.04465358331799507,,,,,,
1149,44,166.15417216,1e-05,1736351842.9733984,,,,,,,,
1149,45,166.269013857,,1736351843.0882792,0.0,0.035481639206409454,,,,,,
1199,46,172.24143119,1e-05,1736351849.060642,,,,,,,,
1199,47,172.35527513,,1736351849.1745977,0.0,0.02317112311720848,,,,,,
1249,48,178.331833778,1e-05,1736351855.1510437,,,,,,,,
1249,49,178.446089099,,1736351855.2653785,0.0,0.02720586024224758,,,,,,
1299,50,184.419118079,1e-05,1736351861.2383618,,,,,,,,
1299,51,184.532958654,,1736351861.3522937,0.0,0.015692088752985,,,,,,
1349,52,190.505209066,1e-05,1736351867.324392,,,,,,,,
1349,53,190.619387324,,1736351867.4387054,0.0,0.05325652286410332,,,,,,
1399,54,196.587408598,1e-05,1736351873.4066098,,,,,,,,
1399,55,196.701558544,,1736351873.5204775,0.0,0.11649597436189651,,,,,,
1449,56,202.673633326,1e-05,1736351879.4928937,,,,,,,,
1449,57,202.787671493,,1736351879.6069925,0.0,0.013820166699588299,,,,,,
1499,58,208.75342014,1e-05,1736351885.5726526,,,,,,,,
1499,59,208.867754924,,1736351885.6870475,0.0,0.005388595163822174,,,,,,
1549,60,214.848389267,1e-05,1736351891.6675625,,,,,,,,
1549,61,214.962742796,,1736351891.7820435,0.0,0.21533522009849548,,,,,,
1599,62,220.93629064,1e-05,1736351897.7555578,,,,,,,,
1599,63,221.050250643,,1736351897.8695874,0.0,0.019035669043660164,,,,,,
1649,64,227.026862982,1e-05,1736351903.8461318,,,,,,,,
1649,65,227.140859554,,1736351903.9601471,0.0,0.016667764633893967,,,,,,
1699,66,233.120113034,1e-05,1736351909.9393241,,,,,,,,
1699,67,233.234563777,,1736351910.0538983,0.0,0.017464257776737213,,,,,,
1749,68,239.212415599,1e-05,1736351916.0316653,,,,,,,,
1749,69,239.326712715,,1736351916.1460009,0.0,0.018152780830860138,,,,,,
1799,70,245.303912483,1e-05,1736351922.1231833,,,,,,,,
1799,71,245.417828416,,1736351922.2371242,0.0,0.012416515499353409,,,,,,
1849,72,251.40178037,1e-05,1736351928.2210302,,,,,,,,
1849,73,251.516942788,,1736351928.3361316,0.0,0.019665205851197243,,,,,,
1899,74,257.504101561,1e-05,1736351934.3233325,,,,,,,,
1899,75,257.618760627,,1736351934.4380076,0.0,0.5464345216751099,,,,,,
1949,76,263.599780351,1e-05,1736351940.418981,,,,,,,,
1949,77,263.714162921,,1736351940.5334907,0.0,0.1880185455083847,,,,,,
1999,78,269.697611056,1e-05,1736351946.5168488,,,,,,,,
1999,79,269.812030154,,1736351946.631329,0.0,0.05712946504354477,,,,,,
2049,80,275.791164136,1e-05,1736351952.6103559,,,,,,,,
2049,81,275.9052284,,1736351952.7245283,0.0,0.0204531941562891,,,,,,
2099,82,281.886034887,1e-05,1736351958.7052686,,,,,,,,
2099,83,282.000846081,,1736351958.8200607,0.0,0.34434768557548523,,,,,,
2149,84,287.989881717,1e-05,1736351964.8091412,,,,,,,,
2149,85,288.104121241,,1736351964.923399,0.0,0.018411368131637573,,,,,,
2199,86,294.087884389,1e-05,1736351970.9071558,,,,,,,,
2199,87,294.201762587,,1736351971.021085,0.0,0.05271235853433609,,,,,,
2249,88,300.179300262,1e-05,1736351976.9985418,,,,,,,,
2249,89,300.294153937,,1736351977.1134398,0.0,0.014431270770728588,,,,,,
2299,90,306.283679979,1e-05,1736351983.1029541,,,,,,,,
2299,91,306.397732044,,1736351983.2170599,0.0,0.01210460439324379,,,,,,
2349,92,312.377201419,1e-05,1736351989.1964378,,,,,,,,
2349,93,312.491459379,,1736351989.3107893,0.0,0.018745245411992073,,,,,,
2399,94,318.469450808,1e-05,1736351995.28866,,,,,,,,
2399,95,318.583861175,,1736351995.4031985,0.0,0.18299095332622528,,,,,,
2449,96,324.571256181,1e-05,1736352001.3904989,,,,,,,,
2449,97,324.68575276,,1736352001.5050824,0.0,0.022988632321357727,,,,,,
2499,98,330.669302987,1e-05,1736352007.4885588,,,,,,,,
2499,99,330.783699269,,1736352007.602915,0.0,0.028688859194517136,,,,,,
2549,100,336.76822862,1e-05,1736352013.5874016,,,,,,,,
2549,101,336.88272013,,1736352013.7020192,0.0,0.03408534452319145,,,,,,
2599,102,342.866687789,1e-05,1736352019.6858912,,,,,,,,
2599,103,342.98140891,,1736352019.8006647,0.0,0.014222015626728535,,,,,,
2649,104,348.966626028,1e-05,1736352025.7858863,,,,,,,,
2649,105,349.081061294,,1736352025.9003735,0.0,0.008435306139290333,,,,,,
2699,106,355.067688962,1e-05,1736352031.8869379,,,,,,,,
2699,107,355.182252149,,1736352032.0015318,0.0,0.28020161390304565,,,,,,
2749,108,361.168135071,1e-05,1736352037.9873924,,,,,,,,
2749,109,361.282852036,,1736352038.1021113,0.0,0.013491270132362843,,,,,,
