trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.66779506,1e-05,1736345457.477981,,,,,,,,
49,1,33.776077738,,1736345457.586376,0.0,2.2724313735961914,,,,,,
99,2,39.445462817,1e-05,1736345463.255738,,,,,,,,
99,3,39.553969462,,1736345463.3643663,0.0,2.06892466545105,,,,,,
149,4,45.222100907,1e-05,1736345469.0323715,,,,,,,,
149,5,45.330944843,,1736345469.141233,0.0,2.111297607421875,,,,,,
199,6,51.003366749,1e-05,1736345474.8137052,,,,,,,,
199,7,51.111841072,,1736345474.9221478,0.0,2.209076166152954,,,,,,
249,8,56.787924872,1e-05,1736345480.5981565,,,,,,,,
249,9,56.897118782,,1736345480.7073374,0.0,2.107640266418457,,,,,,
299,10,62.601657566,1e-05,1736345486.4119291,,,,,,,,
299,11,62.71008526,,1736345486.5204468,0.0,2.1348273754119873,,,,,,
349,12,68.394452407,1e-05,1736345492.204759,,,,,,,,
349,13,68.502756498,,1736345492.3130186,0.0,2.0846385955810547,,,,,,
399,14,74.179019903,1e-05,1736345497.9893532,,,,,,,,
399,15,74.287315988,,1736345498.0976965,0.0,2.2366816997528076,,,,,,
449,16,79.958724287,1e-05,1736345503.768982,,,,,,,,
449,17,80.066857887,,1736345503.8772073,0.0,1.987302303314209,,,,,,
499,18,85.729558254,1e-05,1736345509.5398214,,,,,,,,
499,19,85.83803787,,1736345509.648384,0.0,1.967864751815796,,,,,,
549,20,91.5154439,1e-05,1736345515.325548,,,,,,,,
549,21,91.623869515,,1736345515.434186,0.0,1.9723560810089111,,,,,,
599,22,97.319347103,1e-05,1736345521.1296668,,,,,,,,
599,23,97.427788686,,1736345521.238163,0.0,2.1718671321868896,,,,,,
649,24,103.120181456,1e-05,1736345526.9305427,,,,,,,,
649,25,103.228692559,,1736345527.0390654,0.0,1.9707835912704468,,,,,,
699,26,108.922315131,1e-05,1736345532.7325902,,,,,,,,
699,27,109.031033031,,1736345532.8414123,0.0,1.9321502447128296,,,,,,
749,28,114.731704917,1e-05,1736345538.5420227,,,,,,,,
749,29,114.841168292,,1736345538.6514473,0.0,2.0885863304138184,,,,,,
799,30,120.528556079,1e-05,1736345544.3387823,,,,,,,,
799,31,120.637208424,,1736345544.4475696,0.0,1.918496012687683,,,,,,
849,32,126.335247021,1e-05,1736345550.1455114,,,,,,,,
849,33,126.443966801,,1736345550.2541246,0.0,1.9423810243606567,,,,,,
899,34,132.144340535,1e-05,1736345555.9546244,,,,,,,,
899,35,132.253438012,,1736345556.0636806,0.0,1.946866750717163,,,,,,
949,36,137.965488068,1e-05,1736345561.775782,,,,,,,,
949,37,138.074475678,,1736345561.8848026,0.0,2.042154312133789,,,,,,
999,38,143.778494745,1e-05,1736345567.5888317,,,,,,,,
999,39,143.887447969,,1736345567.6977918,0.0,2.0200772285461426,,,,,,
1049,40,149.589707154,1e-05,1736345573.4000175,,,,,,,,
1049,41,149.697941682,,1736345573.5082586,0.0,1.7378414869308472,,,,,,
1099,42,155.396886202,1e-05,1736345579.2071571,,,,,,,,
1099,43,155.505431341,,1736345579.3158097,0.0,1.9674046039581299,,,,,,
1149,44,161.196801721,1e-05,1736345585.0070949,,,,,,,,
1149,45,161.305599261,,1736345585.1159172,0.0,1.7817442417144775,,,,,,
1199,46,167.011761802,1e-05,1736345590.8220448,,,,,,,,
1199,47,167.120386177,,1736345590.9307172,0.0,1.7765644788742065,,,,,,
1249,48,172.818542037,1e-05,1736345596.628834,,,,,,,,
1249,49,172.927664283,,1736345596.7379897,0.0,1.7578444480895996,,,,,,
1299,50,178.634191088,1e-05,1736345602.44452,,,,,,,,
1299,51,178.742987363,,1736345602.5533729,0.0,1.6161950826644897,,,,,,
1349,52,184.455402583,1e-05,1736345608.265664,,,,,,,,
1349,53,184.564275762,,1736345608.37459,0.0,1.8908330202102661,,,,,,
1399,54,190.276031985,1e-05,1736345614.086308,,,,,,,,
1399,55,190.384795948,,1736345614.1951716,0.0,1.7535017728805542,,,,,,
1449,56,196.091302686,1e-05,1736345619.9016564,,,,,,,,
1449,57,196.199497213,,1736345620.0099123,0.0,1.5329676866531372,,,,,,
1499,58,201.910178448,1e-05,1736345625.7204893,,,,,,,,
1499,59,202.018667825,,1736345625.8290002,0.0,1.4788250923156738,,,,,,
1549,60,207.73312464,1e-05,1736345631.5434275,,,,,,,,
1549,61,207.84202651,,1736345631.6524215,0.0,1.674765706062317,,,,,,
1599,62,213.558497626,1e-05,1736345637.368834,,,,,,,,
1599,63,213.66729044,,1736345637.4776607,0.0,1.6293474435806274,,,,,,
1649,64,219.37924654,1e-05,1736345643.189481,,,,,,,,
1649,65,219.487672367,,1736345643.2979934,0.0,1.39883291721344,,,,,,
1699,66,225.194059427,1e-05,1736345649.0043857,,,,,,,,
1699,67,225.303548093,,1736345649.1137128,0.0,1.5646193027496338,,,,,,
1749,68,231.008476682,1e-05,1736345654.8187482,,,,,,,,
1749,69,231.117323575,,1736345654.927516,0.0,1.6015665531158447,,,,,,
1799,70,236.823793522,1e-05,1736345660.6340504,,,,,,,,
1799,71,236.932236057,,1736345660.7425852,0.0,1.507876992225647,,,,,,
1849,72,242.647549177,1e-05,1736345666.4578292,,,,,,,,
1849,73,242.755944473,,1736345666.5662756,0.0,1.6825460195541382,,,,,,
1899,74,248.458013341,1e-05,1736345672.2683048,,,,,,,,
1899,75,248.566936665,,1736345672.37729,0.0,1.2403301000595093,,,,,,
1949,76,254.271708317,1e-05,1736345678.0820181,,,,,,,,
1949,77,254.38019876,,1736345678.1905897,0.0,1.5870882272720337,,,,,,
1999,78,260.082322475,1e-05,1736345683.892606,,,,,,,,
1999,79,260.190781078,,1736345684.0011566,0.0,1.4088473320007324,,,,,,
2049,80,265.905526684,1e-05,1736345689.7157938,,,,,,,,
2049,81,266.014027375,,1736345689.8243558,0.0,1.4780689477920532,,,,,,
2099,82,271.719844484,1e-05,1736345695.5301137,,,,,,,,
2099,83,271.828420205,,1736345695.6387727,0.0,1.5158721208572388,,,,,,
2149,84,277.541895069,1e-05,1736345701.3521867,,,,,,,,
2149,85,277.650208407,,1736345701.460553,0.0,1.582058072090149,,,,,,
2199,86,283.347998342,1e-05,1736345707.1582778,,,,,,,,
2199,87,283.456966155,,1736345707.2673118,0.0,1.6492986679077148,,,,,,
2249,88,289.163738777,1e-05,1736345712.9739785,,,,,,,,
2249,89,289.272458034,,1736345713.0828252,0.0,1.504083275794983,,,,,,
2299,90,294.978409343,1e-05,1736345718.7886927,,,,,,,,
2299,91,295.087097591,,1736345718.8974667,0.0,1.4813846349716187,,,,,,
2349,92,300.797447874,1e-05,1736345724.6077118,,,,,,,,
2349,93,300.906029362,,1736345724.7163832,0.0,1.3763110637664795,,,,,,
2399,94,306.615693836,1e-05,1736345730.426015,,,,,,,,
2399,95,306.724441214,,1736345730.534804,0.0,1.0958118438720703,,,,,,
2449,96,312.42843278,1e-05,1736345736.2387016,,,,,,,,
2449,97,312.537759432,,1736345736.3480768,0.0,1.286965012550354,,,,,,
2499,98,318.24334468,1e-05,1736345742.0536385,,,,,,,,
2499,99,318.351487444,,1736345742.1618276,0.0,1.310229778289795,,,,,,
2549,100,324.05110866,1e-05,1736345747.861423,,,,,,,,
2549,101,324.159838083,,1736345747.9701927,0.0,1.3700170516967773,,,,,,
2599,102,329.876631656,1e-05,1736345753.6869302,,,,,,,,
2599,103,329.98541589,,1736345753.7957914,0.0,1.2894423007965088,,,,,,
2649,104,335.701583969,1e-05,1736345759.5118523,,,,,,,,
2649,105,335.810408468,,1736345759.620748,0.0,1.2390402555465698,,,,,,
2699,106,341.523651047,1e-05,1736345765.3338902,,,,,,,,
2699,107,341.632316397,,1736345765.442659,0.0,1.1913665533065796,,,,,,
2749,108,347.33775002,1e-05,1736345771.148065,,,,,,,,
2749,109,347.446744927,,1736345771.257078,0.0,1.0913478136062622,,,,,,
2799,110,353.154970378,1e-05,1736345776.96525,,,,,,,,
2799,111,353.2639681,,1736345777.074253,0.0,0.8544505834579468,,,,,,
2849,112,358.978208504,1e-05,1736345782.788486,,,,,,,,
2849,113,359.087051906,,1736345782.8973942,0.0,1.2135714292526245,,,,,,
2899,114,364.799518968,1e-05,1736345788.609795,,,,,,,,
2899,115,364.907729104,,1736345788.718054,0.0,1.407472014427185,,,,,,
2949,116,370.611189129,1e-05,1736345794.421473,,,,,,,,
2949,117,370.71992567,,1736345794.5302625,0.0,1.3467334508895874,,,,,,
