trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,32.942791394,1e-05,1736396041.2975094,,,,,,,,
49,1,33.056819563,,1736396041.411766,0.0,0.3352844715118408,,,,,,
99,2,39.004244167,1e-05,1736396047.3590999,,,,,,,,
99,3,39.117700579,,1736396047.4726331,0.0,0.03411396965384483,,,,,,
149,4,45.068247341,1e-05,1736396053.423138,,,,,,,,
149,5,45.181826245,,1736396053.5368407,0.0,0.2790154218673706,,,,,,
199,6,51.134813736,1e-05,1736396059.489678,,,,,,,,
199,7,51.248884254,,1736396059.6038418,0.0,0.0238475538790226,,,,,,
249,8,57.200017112,1e-05,1736396065.554838,,,,,,,,
249,9,57.314045454,,1736396065.6690123,0.0,0.46895167231559753,,,,,,
299,10,63.262739652,1e-05,1736396071.6175854,,,,,,,,
299,11,63.376439301,,1736396071.7313724,0.0,0.20139025151729584,,,,,,
349,12,69.323510786,1e-05,1736396077.6783686,,,,,,,,
349,13,69.437735731,,1736396077.7926822,0.0,0.015870628878474236,,,,,,
399,14,75.384627302,1e-05,1736396083.7395146,,,,,,,,
399,15,75.499173933,,1736396083.854133,0.0,0.024582087993621826,,,,,,
449,16,81.448342187,1e-05,1736396089.8032436,,,,,,,,
449,17,81.561863481,,1736396089.916821,0.0,0.013380280695855618,,,,,,
499,18,87.517597158,1e-05,1736396095.8724613,,,,,,,,
499,19,87.631813727,,1736396095.9867878,0.0,0.01936931349337101,,,,,,
549,20,93.589728116,1e-05,1736396101.9445865,,,,,,,,
549,21,93.703347519,,1736396102.0583336,0.0,0.01368387509137392,,,,,,
599,22,99.649464212,1e-05,1736396108.004317,,,,,,,,
599,23,99.763775314,,1736396108.1186814,0.0,0.21077960729599,,,,,,
649,24,105.723189912,1e-05,1736396114.0780807,,,,,,,,
649,25,105.837580435,,1736396114.1925852,0.0,0.021048225462436676,,,,,,
699,26,111.798738942,1e-05,1736396120.1535716,,,,,,,,
699,27,111.912551215,,1736396120.2675042,0.0,0.01984269730746746,,,,,,
749,28,117.869146398,1e-05,1736396126.2240565,,,,,,,,
749,29,117.983472235,,1736396126.3384316,0.0,0.012058701366186142,,,,,,
799,30,123.950940759,1e-05,1736396132.3058274,,,,,,,,
799,31,124.065478185,,1736396132.4204466,0.0,0.010294640436768532,,,,,,
849,32,130.019712985,1e-05,1736396138.3746114,,,,,,,,
849,33,130.133582022,,1736396138.4885445,0.0,0.05140784755349159,,,,,,
899,34,136.089368174,1e-05,1736396144.444319,,,,,,,,
899,35,136.203302606,,1736396144.5582664,0.0,0.013373341411352158,,,,,,
949,36,142.169438723,1e-05,1736396150.5243382,,,,,,,,
949,37,142.283714918,,1736396150.6386538,0.0,0.09253229945898056,,,,,,
999,38,148.252094611,1e-05,1736396156.6069865,,,,,,,,
999,39,148.366354127,,1736396156.7213495,0.0,0.01505906693637371,,,,,,
1049,40,154.334456713,1e-05,1736396162.6893575,,,,,,,,
1049,41,154.448770192,,1736396162.803758,0.0,0.009810180403292179,,,,,,
1099,42,160.413709014,1e-05,1736396168.7686298,,,,,,,,
1099,43,160.527558877,,1736396168.8825297,0.0,0.04465358331799507,,,,,,
1149,44,166.495140396,1e-05,1736396174.8499975,,,,,,,,
1149,45,166.609493464,,1736396174.9644508,0.0,0.035481639206409454,,,,,,
1199,46,172.582429939,1e-05,1736396180.9372864,,,,,,,,
1199,47,172.696638389,,1736396181.0515873,0.0,0.02317112311720848,,,,,,
1249,48,178.661668182,1e-05,1736396187.0165162,,,,,,,,
1249,49,178.775536368,,1736396187.130487,0.0,0.02720586024224758,,,,,,
1299,50,184.752659534,1e-05,1736396193.1074896,,,,,,,,
1299,51,184.867082902,,1736396193.2220318,0.0,0.015692088752985,,,,,,
1349,52,190.835834771,1e-05,1736396199.190727,,,,,,,,
1349,53,190.950360713,,1736396199.3053102,0.0,0.05325652286410332,,,,,,
1399,54,196.921300554,1e-05,1736396205.276191,,,,,,,,
1399,55,197.035547706,,1736396205.3904996,0.0,0.11649597436189651,,,,,,
1449,56,203.003532011,1e-05,1736396211.3584304,,,,,,,,
1449,57,203.117937943,,1736396211.4729009,0.0,0.013820166699588299,,,,,,
1499,58,209.082773888,1e-05,1736396217.437678,,,,,,,,
1499,59,209.197043427,,1736396217.551997,0.0,0.005388595163822174,,,,,,
1549,60,215.171520863,1e-05,1736396223.5263808,,,,,,,,
1549,61,215.285961234,,1736396223.6409187,0.0,0.21533522009849548,,,,,,
1599,62,221.261480322,1e-05,1736396229.6163244,,,,,,,,
1599,63,221.375930483,,1736396229.7308896,0.0,0.019035669043660164,,,,,,
1649,64,227.34407799,1e-05,1736396235.6989288,,,,,,,,
1649,65,227.458229213,,1736396235.8132224,0.0,0.016667764633893967,,,,,,
1699,66,233.426639194,1e-05,1736396241.7815006,,,,,,,,
