trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,37.039441957,1e-05,1736373775.7539158,,,,,,,,
49,1,37.15154007,,1736373775.866091,0.0,2.2724313735961914,,,,,,
99,2,43.01346215,1e-05,1736373781.7280123,,,,,,,,
99,3,43.12258282,,1736373781.8371384,0.0,2.06892466545105,,,,,,
149,4,48.939613626,1e-05,1736373787.6541884,,,,,,,,
149,5,49.048336512,,1736373787.7629714,0.0,2.111297607421875,,,,,,
199,6,54.909745746,1e-05,1736373793.6242983,,,,,,,,
199,7,55.022734683,,1736373793.7372918,0.0,2.209076166152954,,,,,,
249,8,60.915407632,1e-05,1736373799.6300101,,,,,,,,
249,9,61.023935453,,1736373799.7385366,0.0,2.107640266418457,,,,,,
299,10,66.94896178,1e-05,1736373805.663508,,,,,,,,
299,11,67.060611207,,1736373805.7751074,0.0,2.1348273754119873,,,,,,
349,12,72.911359143,1e-05,1736373811.6257794,,,,,,,,
349,13,73.02162702,,1736373811.7360783,0.0,2.0846385955810547,,,,,,
399,14,78.894513335,1e-05,1736373817.6088526,,,,,,,,
399,15,79.004254626,,1736373817.7188327,0.0,2.2366816997528076,,,,,,
449,16,84.878564,1e-05,1736373823.593164,,,,,,,,
449,17,84.987794834,,1736373823.7022479,0.0,1.987302303314209,,,,,,
499,18,90.819778327,1e-05,1736373829.5343518,,,,,,,,
499,19,90.929552692,,1736373829.6441348,0.0,1.967864751815796,,,,,,
549,20,96.840179654,1e-05,1736373835.55472,,,,,,,,
549,21,96.951902474,,1736373835.666248,0.0,1.9723560810089111,,,,,,
599,22,102.869798779,1e-05,1736373841.5839045,,,,,,,,
599,23,102.979806293,,1736373841.694343,0.0,2.1718671321868896,,,,,,
649,24,108.834749318,1e-05,1736373847.5492644,,,,,,,,
649,25,108.944876608,,1736373847.659469,0.0,1.9707835912704468,,,,,,
699,26,114.881984597,1e-05,1736373853.596594,,,,,,,,
699,27,114.992798446,,1736373853.7071729,0.0,1.9321502447128296,,,,,,
749,28,120.886713354,1e-05,1736373859.601265,,,,,,,,
749,29,120.996766878,,1736373859.7113369,0.0,2.0885863304138184,,,,,,
799,30,126.901648899,1e-05,1736373865.6159768,,,,,,,,
799,31,127.01107087,,1736373865.7254243,0.0,1.918496012687683,,,,,,
849,32,132.870210837,1e-05,1736373871.584798,,,,,,,,
849,33,132.980191958,,1736373871.694773,0.0,1.9423810243606567,,,,,,
899,34,138.915717571,1e-05,1736373877.6302283,,,,,,,,
899,35,139.025643048,,1736373877.7402282,0.0,1.946866750717163,,,,,,
