trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.9045779,1e-05,1736269585.4237442,,,,,,,,
49,1,34.018300765,,1736269585.537659,0.0,0.10727737098932266,,,,,,
99,2,39.956809811,1e-05,1736269591.4761055,,,,,,,,
99,3,40.07067037,,1736269591.5900187,0.0,0.11634574830532074,,,,,,
149,4,46.020526695,1e-05,1736269597.539773,,,,,,,,
149,5,46.13468201,,1736269597.654049,0.0,0.2601752281188965,,,,,,
199,6,52.091608965,1e-05,1736269603.610881,,,,,,,,
199,7,52.206204167,,1736269603.7255101,0.0,0.042725175619125366,,,,,,
249,8,58.1595157,1e-05,1736269609.678769,,,,,,,,
249,9,58.273760474,,1736269609.793073,0.0,0.47109028697013855,,,,,,
299,10,64.230400379,1e-05,1736269615.7496834,,,,,,,,
299,11,64.344646601,,1736269615.8640149,0.0,0.017536230385303497,,,,,,
349,12,70.31344413,1e-05,1736269621.8326726,,,,,,,,
349,13,70.429381747,,1736269621.94863,0.0,0.037093110382556915,,,,,,
399,14,76.40637599,1e-05,1736269627.9256008,,,,,,,,
399,15,76.520414164,,1736269628.0396774,0.0,0.01319313794374466,,,,,,
449,16,82.493885881,1e-05,1736269634.0130935,,,,,,,,
449,17,82.607561254,,1736269634.1269152,0.0,0.11316399276256561,,,,,,
499,18,88.574384147,1e-05,1736269640.0936422,,,,,,,,
499,19,88.688777927,,1736269640.2080138,0.0,0.11428611725568771,,,,,,
549,20,94.6553274,1e-05,1736269646.1745808,,,,,,,,
549,21,94.769834456,,1736269646.2892256,0.0,0.07482019066810608,,,,,,
599,22,100.725732928,1e-05,1736269652.2450073,,,,,,,,
599,23,100.839741749,,1736269652.3590188,0.0,0.46324625611305237,,,,,,
649,24,106.802449465,1e-05,1736269658.32176,,,,,,,,
649,25,106.916688301,,1736269658.4359267,0.0,0.03572502359747887,,,,,,
674,26,141.161518355,,1736269692.6807582,0.0,,0.9696758985519409,0.09483512490987778,,,,
674,27,179.721050208,,1736269731.2404528,0.0,,,,0.9492129683494568,0.15840326249599457,,
675,28,214.166518164,,1736269765.6857028,1.0,,,,,,0.9693055748939514,0.0960695743560791
