trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,32.965134968,1e-05,1736274221.9298508,,,,,,,,
49,1,33.073970296,,1736274222.0389094,0.0,1.2083187103271484,,,,,,
99,2,38.754911511,1e-05,1736274227.7197752,,,,,,,,
99,3,38.863670119,,1736274227.8286476,0.0,1.0518441200256348,,,,,,
149,4,44.547615077,1e-05,1736274233.5125096,,,,,,,,
149,5,44.656542203,,1736274233.6214519,0.0,0.87093186378479,,,,,,
199,6,50.331835935,1e-05,1736274239.2966855,,,,,,,,
199,7,50.440536922,,1736274239.4055135,0.0,0.7776811718940735,,,,,,
249,8,56.118765063,1e-05,1736274245.083601,,,,,,,,
249,9,56.227048974,,1736274245.1920037,0.0,0.8255847096443176,,,,,,
299,10,61.907858866,1e-05,1736274250.8727663,,,,,,,,
299,11,62.016705792,,1736274250.9816883,0.0,0.7119684219360352,,,,,,
349,12,67.704806742,1e-05,1736274256.6697128,,,,,,,,
349,13,67.813406238,,1736274256.7783844,0.0,0.5868625640869141,,,,,,
399,14,73.494735768,1e-05,1736274262.4595919,,,,,,,,
399,15,73.60341184,,1736274262.5683649,0.0,0.5973541736602783,,,,,,
449,16,79.28898978,1e-05,1736274268.2538626,,,,,,,,
449,17,79.398000249,,1736274268.3629525,0.0,0.6828325986862183,,,,,,
499,18,85.085874999,1e-05,1736274274.0506992,,,,,,,,
499,19,85.194731164,,1736274274.159664,0.0,0.503107488155365,,,,,,
549,20,90.8813745,1e-05,1736274279.8462718,,,,,,,,
549,21,90.989789503,,1736274279.9547586,0.0,0.6454746723175049,,,,,,
599,22,96.678529684,1e-05,1736274285.6434848,,,,,,,,
599,23,96.787463229,,1736274285.7522786,0.0,0.6123344898223877,,,,,,
649,24,102.475276992,1e-05,1736274291.4401581,,,,,,,,
649,25,102.583794582,,1736274291.5487645,0.0,0.521697998046875,,,,,,
674,26,136.136401311,,1736274325.1012106,0.0,,0.8751388788223267,0.4895392656326294,,,,
674,27,162.147965021,,1736274351.084808,0.0,,,,0.7823148369789124,0.7623745203018188,,
675,28,195.570780063,,1736274384.5355883,1.0,,,,,,0.8740741014480591,0.4906885623931885
