trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,34.451019732,1e-05,1736279339.6898408,,,,,,,,
49,1,34.565239117,,1736279339.804241,0.0,0.10727737098932266,,,,,,
99,2,40.520960523,1e-05,1736279345.759891,,,,,,,,
99,3,40.635103364,,1736279345.8740628,0.0,0.11634574830532074,,,,,,
149,4,46.597128888,1e-05,1736279351.8360865,,,,,,,,
149,5,46.711373338,,1736279351.95039,0.0,0.2601752281188965,,,,,,
199,6,52.680701212,1e-05,1736279357.919633,,,,,,,,
199,7,52.795093598,,1736279358.0340457,0.0,0.042725175619125366,,,,,,
249,8,58.757057534,1e-05,1736279363.9959834,,,,,,,,
249,9,58.87108201,,1736279364.1100807,0.0,0.47109028697013855,,,,,,
299,10,64.837552296,1e-05,1736279370.0764582,,,,,,,,
299,11,64.951818264,,1736279370.1907809,0.0,0.017536230385303497,,,,,,
349,12,70.918811814,1e-05,1736279376.1577528,,,,,,,,
349,13,71.033296642,,1736279376.2722657,0.0,0.037093110382556915,,,,,,
399,14,77.00567027,1e-05,1736279382.2445765,,,,,,,,
399,15,77.119987073,,1736279382.3589177,0.0,0.01319313794374466,,,,,,
449,16,83.094611073,1e-05,1736279388.3335142,,,,,,,,
449,17,83.209219241,,1736279388.4482222,0.0,0.11316399276256561,,,,,,
499,18,89.184730661,1e-05,1736279394.4236462,,,,,,,,
499,19,89.298978342,,1736279394.53796,0.0,0.11428611725568771,,,,,,
549,20,95.2694914,1e-05,1736279400.5084958,,,,,,,,
549,21,95.384086682,,1736279400.6229959,0.0,0.07482019066810608,,,,,,
599,22,101.350716609,1e-05,1736279406.5896578,,,,,,,,
599,23,101.465570726,,1736279406.7045162,0.0,0.46324625611305237,,,,,,
649,24,107.438494536,1e-05,1736279412.677453,,,,,,,,
649,25,107.552896444,,1736279412.7918282,0.0,0.03572502359747887,,,,,,
674,26,141.248395787,,1736279446.4873042,0.0,,0.9696758985519409,0.09483512490987778,,,,
674,27,182.001786869,,1736279487.2249093,0.0,,,,0.9492129683494568,0.15840326249599457,,
699,28,186.479518083,1e-05,1736279491.7183719,,,,,,,,
699,29,186.59419045,,1736279491.83319,1.0,0.04727186635136604,,,,,,
749,30,192.574372707,1e-05,1736279497.8133035,,,,,,,,
749,31,192.688778515,,1736279497.9277802,1.0,0.007708539720624685,,,,,,
