trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.359313733,1e-05,1736292266.2656424,,,,,,,,
49,1,33.467514073,,1736292266.3739512,0.0,1.2083187103271484,,,,,,
99,2,39.135234826,1e-05,1736292272.0415792,,,,,,,,
99,3,39.243685488,,1736292272.1500998,0.0,1.0518441200256348,,,,,,
149,4,44.91990546,1e-05,1736292277.826317,,,,,,,,
149,5,45.028337349,,1736292277.9347913,0.0,0.87093186378479,,,,,,
199,6,50.694857021,1e-05,1736292283.601229,,,,,,,,
199,7,50.803879919,,1736292283.710309,0.0,0.7776811718940735,,,,,,
249,8,56.479029689,1e-05,1736292289.3853712,,,,,,,,
249,9,56.587039414,,1736292289.4934912,0.0,0.8255847096443176,,,,,,
299,10,62.259977794,1e-05,1736292295.1663272,,,,,,,,
299,11,62.368588307,,1736292295.2750173,0.0,0.7119684219360352,,,,,,
349,12,68.041817457,1e-05,1736292300.9482365,,,,,,,,
349,13,68.149960828,,1736292301.0564559,0.0,0.5868625640869141,,,,,,
399,14,73.832669806,1e-05,1736292306.7390587,,,,,,,,
399,15,73.941476852,,1736292306.84797,0.0,0.5973541736602783,,,,,,
449,16,79.619520852,1e-05,1736292312.5259304,,,,,,,,
449,17,79.727782851,,1736292312.6342714,0.0,0.6828325986862183,,,,,,
499,18,85.408634395,1e-05,1736292318.3150616,,,,,,,,
499,19,85.517055214,,1736292318.4235497,0.0,0.503107488155365,,,,,,
549,20,91.201242772,1e-05,1736292324.107633,,,,,,,,
549,21,91.309646542,,1736292324.2161465,0.0,0.6454746723175049,,,,,,
599,22,96.992031835,1e-05,1736292329.8984509,,,,,,,,
599,23,97.100509275,,1736292330.006999,0.0,0.6123344898223877,,,,,,
649,24,102.784484972,1e-05,1736292335.6905327,,,,,,,,
649,25,102.892868279,,1736292335.7990155,0.0,0.521697998046875,,,,,,
674,26,136.335809504,,1736292369.2421713,0.0,,0.8751388788223267,0.4895392656326294,,,,
674,27,162.431333728,,1736292395.3176646,0.0,,,,0.7823148369789124,0.7623745203018188,,
699,28,166.93994464,1e-05,1736292399.8462512,,,,,,,,
699,29,167.048703048,,1736292399.9551537,1.0,0.506430983543396,,,,,,
749,30,172.72811837,1e-05,1736292405.6345072,,,,,,,,
749,31,172.836426167,,1736292405.7429233,1.0,0.4540100693702698,,,,,,
799,32,178.519749201,1e-05,1736292411.4260938,,,,,,,,
799,33,178.628146217,,1736292411.534597,1.0,0.3904457688331604,,,,,,
849,34,184.315009222,1e-05,1736292417.2213902,,,,,,,,
849,35,184.423654546,,1736292417.330152,1.0,0.5052969455718994,,,,,,
899,36,190.106857772,1e-05,1736292423.0131907,,,,,,,,
899,37,190.215229837,,1736292423.1216588,1.0,0.7408112287521362,,,,,,
