trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,38.879349298,1e-05,1736349003.256038,,,,,,,,
49,1,38.993711131,,1736349003.3705783,0.0,1.2150825262069702,,,,,,
99,2,44.924252791,1e-05,1736349009.3010473,,,,,,,,
99,3,45.037870482,,1736349009.4147522,0.0,0.866225004196167,,,,,,
149,4,50.991758571,1e-05,1736349015.368591,,,,,,,,
149,5,51.105757949,,1736349015.4826,0.0,1.0252408981323242,,,,,,
199,6,57.062842574,1e-05,1736349021.439614,,,,,,,,
199,7,57.17742709,,1736349021.5542414,0.0,0.9240503311157227,,,,,,
249,8,63.128891399,1e-05,1736349027.5056984,,,,,,,,
249,9,63.243423117,,1736349027.6202676,0.0,0.8534327149391174,,,,,,
299,10,69.195836772,1e-05,1736349033.5726094,,,,,,,,
299,11,69.31018559,,1736349033.6865242,0.0,0.9824782609939575,,,,,,
349,12,75.268425773,1e-05,1736349039.6452136,,,,,,,,
349,13,75.382197892,,1736349039.7590482,0.0,1.1187467575073242,,,,,,
399,14,81.342414261,1e-05,1736349045.7191982,,,,,,,,
399,15,81.456164341,,1736349045.8330348,0.0,0.7433650493621826,,,,,,
449,16,87.418300431,1e-05,1736349051.7950857,,,,,,,,
449,17,87.532801979,,1736349051.9096622,0.0,0.8943176865577698,,,,,,
499,18,93.505001018,1e-05,1736349057.8818288,,,,,,,,
499,19,93.619486789,,1736349057.9963663,0.0,0.7264271974563599,,,,,,
549,20,99.580243603,1e-05,1736349063.9570634,,,,,,,,
549,21,99.694594442,,1736349064.0714617,0.0,0.8984882831573486,,,,,,
599,22,105.653549524,1e-05,1736349070.0303807,,,,,,,,
599,23,105.767867002,,1736349070.1447504,0.0,0.9024242758750916,,,,,,
649,24,111.738118661,1e-05,1736349076.114833,,,,,,,,
649,25,111.853467603,,1736349076.2303817,0.0,1.2304062843322754,,,,,,
699,26,117.820577669,1e-05,1736349082.197384,,,,,,,,
699,27,117.93490596,,1736349082.3118193,0.0,0.9105990529060364,,,,,,
749,28,123.902880945,1e-05,1736349088.2796526,,,,,,,,
749,29,124.01714565,,1736349088.394059,0.0,0.8060216307640076,,,,,,
799,30,129.973945754,1e-05,1736349094.3507414,,,,,,,,
799,31,130.088371321,,1736349094.465253,0.0,0.8150703310966492,,,,,,
807,32,136.779007977,,1736349101.1558335,0.0,,0.6909407377243042,0.8365444540977478,,,,
807,33,167.483032234,,1736349131.8599944,0.0,,,,0.6469290852546692,0.9568671584129333,,
808,34,200.34087287,,1736349140.4711604,1.0,,,,,,0.6864111423492432,0.8398117423057556
