trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,39.190305768,1e-05,1736344140.8795862,,,,,,,,
49,1,39.299369689,,1736344140.9887807,0.0,2.0021984577178955,,,,,,
99,2,44.976006573,1e-05,1736344146.6653988,,,,,,,,
99,3,45.084822471,,1736344146.774305,0.0,1.894627571105957,,,,,,
149,4,50.771461232,1e-05,1736344152.4608645,,,,,,,,
149,5,50.880112402,,1736344152.5695739,0.0,1.8547513484954834,,,,,,
199,6,56.576284303,1e-05,1736344158.2656848,,,,,,,,
199,7,56.684914694,,1736344158.3743615,0.0,1.6038306951522827,,,,,,
249,8,62.36792066,1e-05,1736344164.0573618,,,,,,,,
249,9,62.476376926,,1736344164.1658454,0.0,1.8983097076416016,,,,,,
299,10,68.161657615,1e-05,1736344169.8510823,,,,,,,,
299,11,68.27023126,,1736344169.9597425,0.0,1.7206335067749023,,,,,,
349,12,73.962970068,1e-05,1736344175.6523592,,,,,,,,
349,13,74.071492147,,1736344175.760926,0.0,1.8229432106018066,,,,,,
399,14,79.764512483,1e-05,1736344181.4539433,,,,,,,,
399,15,79.872972727,,1736344181.562479,0.0,1.5237966775894165,,,,,,
449,16,85.559041448,1e-05,1736344187.2484176,,,,,,,,
449,17,85.667646663,,1736344187.357178,0.0,1.7926325798034668,,,,,,
499,18,91.346528501,1e-05,1736344193.0359406,,,,,,,,
499,19,91.455265112,,1736344193.1446843,0.0,1.4061170816421509,,,,,,
549,20,97.144439179,1e-05,1736344198.8338227,,,,,,,,
549,21,97.253418134,,1736344198.942901,0.0,1.518771767616272,,,,,,
599,22,102.933998216,1e-05,1736344204.6233819,,,,,,,,
599,23,103.042813414,,1736344204.7322795,0.0,1.5920484066009521,,,,,,
649,24,108.734423385,1e-05,1736344210.423848,,,,,,,,
649,25,108.842501555,,1736344210.5320272,0.0,1.708706259727478,,,,,,
699,26,114.544407072,1e-05,1736344216.233745,,,,,,,,
699,27,114.653887565,,1736344216.343322,0.0,1.5593657493591309,,,,,,
749,28,120.343306105,1e-05,1736344222.0326784,,,,,,,,
749,29,120.451870123,,1736344222.1413393,0.0,1.2878787517547607,,,,,,
799,30,126.131952078,1e-05,1736344227.821355,,,,,,,,
799,31,126.240459391,,1736344227.9298613,0.0,1.5199681520462036,,,,,,
807,32,133.168705873,,1736344234.858125,0.0,,0.42996516823768616,1.5532082319259644,,,,
807,33,162.917354162,,1736344264.5895615,0.0,,,,0.40636247396469116,1.6717172861099243,,
808,34,171.611885026,,1736344273.30126,1.0,,,,,,0.4320557415485382,1.550768494606018
