trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,38.680745193,1e-05,1736388684.1980014,,,,,,,,
49,1,38.794670348,,1736388684.3121173,0.0,1.2150825262069702,,,,,,
99,2,44.7403374,1e-05,1736388690.2576659,,,,,,,,
99,3,44.854465425,,1736388690.3719018,0.0,0.866225004196167,,,,,,
149,4,50.809524552,1e-05,1736388696.3269525,,,,,,,,
149,5,50.923433297,,1736388696.4408996,0.0,1.0252408981323242,,,,,,
199,6,56.862649409,1e-05,1736388702.3799832,,,,,,,,
199,7,56.976785579,,1736388702.4942443,0.0,0.9240503311157227,,,,,,
249,8,62.932799521,1e-05,1736388708.4501815,,,,,,,,
249,9,63.046872763,,1736388708.564386,0.0,0.8534327149391174,,,,,,
299,10,69.000264194,1e-05,1736388714.5176387,,,,,,,,
299,11,69.114449646,,1736388714.631889,0.0,0.9824782609939575,,,,,,
349,12,75.079826812,1e-05,1736388720.5971723,,,,,,,,
349,13,75.194585929,,1736388720.7119806,0.0,1.1187467575073242,,,,,,
399,14,81.150271975,1e-05,1736388726.6676311,,,,,,,,
399,15,81.264365765,,1736388726.7817898,0.0,0.7433650493621826,,,,,,
449,16,87.222369856,1e-05,1736388732.7397366,,,,,,,,
449,17,87.336512247,,1736388732.8539538,0.0,0.8943176865577698,,,,,,
499,18,93.298321879,1e-05,1736388738.8157177,,,,,,,,
499,19,93.412550572,,1736388738.9300199,0.0,0.7264271974563599,,,,,,
549,20,99.369615911,1e-05,1736388744.887032,,,,,,,,
549,21,99.48417877,,1736388745.0015752,0.0,0.8984882831573486,,,,,,
599,22,105.447138974,1e-05,1736388750.9645288,,,,,,,,
599,23,105.561591766,,1736388751.078993,0.0,0.9024242758750916,,,,,,
649,24,111.527965698,1e-05,1736388757.0452743,,,,,,,,
649,25,111.642272075,,1736388757.1596918,0.0,1.2304062843322754,,,,,,
699,26,117.616171548,1e-05,1736388763.1335623,,,,,,,,
699,27,117.730552665,,1736388763.2479718,0.0,0.9105990529060364,,,,,,
749,28,123.696936984,1e-05,1736388769.2142925,,,,,,,,
749,29,123.811308303,,1736388769.3286965,0.0,0.8060216307640076,,,,,,
799,30,129.771706031,1e-05,1736388775.2890387,,,,,,,,
799,31,129.886342617,,1736388775.4037132,0.0,0.8150703310966492,,,,,,
807,32,136.180010867,,1736388781.6973495,0.0,,0.6909407377243042,0.8365444540977478,,,,
807,33,165.915341526,,1736388811.41417,0.0,,,,0.6469290852546692,0.9568671584129333,,
849,34,172.528085485,1e-05,1736388818.0454001,,,,,,,,
849,35,172.642396681,,1736388818.1598392,1.0,0.6910409927368164,,,,,,
899,36,178.598815447,1e-05,1736388824.1161726,,,,,,,,
899,37,178.713445179,,1736388824.2308836,1.0,0.8610888719558716,,,,,,
949,38,184.668556821,1e-05,1736388830.1859555,,,,,,,,
949,39,184.782816249,,1736388830.3002949,1.0,0.573573648929596,,,,,,
999,40,190.736344439,1e-05,1736388836.2536047,,,,,,,,
999,41,190.850459577,,1736388836.3679485,1.0,0.7341110110282898,,,,,,
1049,42,196.806937937,1e-05,1736388842.324303,,,,,,,,
1049,43,196.921033389,,1736388842.4384768,1.0,0.8109535574913025,,,,,,
1099,44,202.87621253,1e-05,1736388848.3936267,,,,,,,,
1099,45,202.990042724,,1736388848.5074368,1.0,0.9506038427352905,,,,,,
1149,46,208.945383774,1e-05,1736388854.4627104,,,,,,,,
1149,47,209.059470017,,1736388854.576872,1.0,0.6587615609169006,,,,,,
1199,48,215.025367314,1e-05,1736388860.542739,,,,,,,,
1199,49,215.139670124,,1736388860.6570795,1.0,0.8257169127464294,,,,,,
1249,50,221.101623178,1e-05,1736388866.6189504,,,,,,,,
1249,51,221.215908013,,1736388866.7333853,1.0,0.4161651134490967,,,,,,
1299,52,227.182984388,1e-05,1736388872.7003796,,,,,,,,
1299,53,227.296880987,,1736388872.8143,1.0,0.749808669090271,,,,,,
1349,54,233.264506535,1e-05,1736388878.7818909,,,,,,,,
1349,55,233.37901001,,1736388878.8964374,1.0,0.4358764588832855,,,,,,
1399,56,239.344801849,1e-05,1736388884.8621783,,,,,,,,
1399,57,239.459123112,,1736388884.9765384,1.0,0.7135831713676453,,,,,,
1449,58,245.429340125,1e-05,1736388890.9466562,,,,,,,,
1449,59,245.543878715,,1736388891.0612566,1.0,0.5981099009513855,,,,,,
1499,60,251.512590263,1e-05,1736388897.0300155,,,,,,,,
1499,61,251.626418413,,1736388897.1438644,1.0,1.0610337257385254,,,,,,
1549,62,257.590689838,1e-05,1736388903.1080575,,,,,,,,
1549,63,257.70506905,,1736388903.2225103,1.0,0.7685506343841553,,,,,,
1599,64,263.669342064,1e-05,1736388909.1863563,,,,,,,,
1599,65,263.783376489,,1736388909.300598,1.0,0.9076505303382874,,,,,,
1615,66,271.044646772,,1736388916.5620008,1.0,,0.7160278558731079,0.7892128825187683,,,,
1615,67,300.545604142,,1736388946.0629392,1.0,,,,0.7174813151359558,0.7647361755371094,,
1649,68,306.268131183,1e-05,1736388951.785349,,,,,,,,
1649,69,306.382128138,,1736388951.8995705,2.0,0.5248371362686157,,,,,,
1699,70,312.361633687,1e-05,1736388957.8790324,,,,,,,,
1699,71,312.47589111,,1736388957.9933598,2.0,0.7018178701400757,,,,,,
1749,72,318.451371715,1e-05,1736388963.968713,,,,,,,,
1749,73,318.565503312,,1736388964.082938,2.0,0.5403465032577515,,,,,,
1799,74,324.531936416,1e-05,1736388970.0493321,,,,,,,,
1799,75,324.645959169,,1736388970.1634312,2.0,0.7005839347839355,,,,,,
1849,76,330.619402479,1e-05,1736388976.1367612,,,,,,,,
1849,77,330.733759979,,1736388976.251207,2.0,0.5782398581504822,,,,,,
1899,78,336.707837724,1e-05,1736388982.225218,,,,,,,,
1899,79,336.821982074,,1736388982.339455,2.0,0.6193895936012268,,,,,,
1949,80,342.794956288,1e-05,1736388988.3123138,,,,,,,,
1949,81,342.909232896,,1736388988.4266553,2.0,0.7063234448432922,,,,,,
1999,82,348.881537982,1e-05,1736388994.3989098,,,,,,,,
1999,83,348.995842682,,1736388994.5132897,2.0,0.8534797430038452,,,,,,
2049,84,354.967908666,1e-05,1736389000.4852645,,,,,,,,
2049,85,355.082142815,,1736389000.5995984,2.0,0.542115330696106,,,,,,
2099,86,361.055792541,1e-05,1736389006.5731647,,,,,,,,
2099,87,361.170258153,,1736389006.687715,2.0,0.7534669637680054,,,,,,
2149,88,367.142302368,1e-05,1736389012.6596797,,,,,,,,
2149,89,367.256600606,,1736389012.7740452,2.0,0.3914729654788971,,,,,,
2199,90,373.231025416,1e-05,1736389018.7484229,,,,,,,,
2199,91,373.34532133,,1736389018.8627813,2.0,0.4453522562980652,,,,,,
2249,92,379.317275058,1e-05,1736389024.834651,,,,,,,,
2249,93,379.431637877,,1736389024.9490745,2.0,0.5723018646240234,,,,,,
2299,94,385.402864128,1e-05,1736389030.920242,,,,,,,,
2299,95,385.517114327,,1736389031.0345628,2.0,0.33683252334594727,,,,,,
2349,96,391.49377309,1e-05,1736389037.0111883,,,,,,,,
2349,97,391.608216259,,1736389037.1256833,2.0,0.5222481489181519,,,,,,
2399,98,397.579965903,1e-05,1736389043.0973089,,,,,,,,
2399,99,397.694253701,,1736389043.2116761,2.0,0.5645672678947449,,,,,,
2423,100,405.96609354,,1736389051.483399,2.0,,0.7198606133460999,0.8006913065910339,,,,
2423,101,436.078071759,,1736389081.5953765,2.0,,,,0.7640001773834229,0.6419188976287842,,
2449,102,440.805781083,1e-05,1736389086.3230648,,,,,,,,
2449,103,440.920194767,,1736389086.4376445,3.0,0.41201093792915344,,,,,,
2499,104,446.881270618,1e-05,1736389092.3985944,,,,,,,,
2499,105,446.995685254,,1736389092.513107,3.0,0.4698430895805359,,,,,,
2549,106,452.959935437,1e-05,1736389098.4773076,,,,,,,,
2549,107,453.074249343,,1736389098.5916972,3.0,0.3686576187610626,,,,,,
2599,108,459.03944785,1e-05,1736389104.5567749,,,,,,,,
2599,109,459.153377927,,1736389104.6707993,3.0,0.6052556037902832,,,,,,
2649,110,465.122719691,1e-05,1736389110.6400826,,,,,,,,
2649,111,465.2371578,,1736389110.754581,3.0,0.3149193525314331,,,,,,
2699,112,471.210472322,1e-05,1736389116.7279603,,,,,,,,
2699,113,471.325058429,,1736389116.8425014,3.0,0.4727344214916229,,,,,,
