trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,42.013977074,1e-05,1736366616.3529239,,,,,,,,
49,1,42.123417626,,1736366616.4625378,0.0,2.0021984577178955,,,,,,
99,2,48.037429514,1e-05,1736366622.3765836,,,,,,,,
99,3,48.145887433,,1736366622.4849951,0.0,1.894627571105957,,,,,,
149,4,54.066874782,1e-05,1736366628.4054174,,,,,,,,
149,5,54.177086281,,1736366628.5162137,0.0,1.8547513484954834,,,,,,
199,6,60.05568786,1e-05,1736366634.3948448,,,,,,,,
199,7,60.164275132,,1736366634.5035248,0.0,1.6038306951522827,,,,,,
249,8,66.080636083,1e-05,1736366640.4197364,,,,,,,,
249,9,66.190679988,,1736366640.529801,0.0,1.8983097076416016,,,,,,
299,10,72.081864514,1e-05,1736366646.4209466,,,,,,,,
299,11,72.1922559,,1736366646.5312207,0.0,1.7206335067749023,,,,,,
349,12,78.067814457,1e-05,1736366652.4068286,,,,,,,,
349,13,78.177583737,,1736366652.5167375,0.0,1.8229432106018066,,,,,,
399,14,84.086020269,1e-05,1736366658.4246707,,,,,,,,
399,15,84.196195591,,1736366658.5352533,0.0,1.5237966775894165,,,,,,
449,16,90.107851077,1e-05,1736366664.4465425,,,,,,,,
449,17,90.219091367,,1736366664.5582352,0.0,1.7926325798034668,,,,,,
499,18,96.114170851,1e-05,1736366670.453353,,,,,,,,
499,19,96.223131203,,1736366670.562377,0.0,1.4061170816421509,,,,,,
549,20,102.12188588,1e-05,1736366676.460965,,,,,,,,
549,21,102.232431767,,1736366676.571186,0.0,1.518771767616272,,,,,,
599,22,108.098585898,1e-05,1736366682.4376452,,,,,,,,
599,23,108.209229218,,1736366682.5483632,0.0,1.5920484066009521,,,,,,
649,24,114.104738341,1e-05,1736366688.4437292,,,,,,,,
649,25,114.214593753,,1736366688.553736,0.0,1.708706259727478,,,,,,
699,26,120.143109535,1e-05,1736366694.4822972,,,,,,,,
699,27,120.251487825,,1736366694.5907297,0.0,1.5593657493591309,,,,,,
749,28,126.155374928,1e-05,1736366700.4945674,,,,,,,,
749,29,126.265405328,,1736366700.6037986,0.0,1.2878787517547607,,,,,,
799,30,132.166727425,1e-05,1736366706.5057151,,,,,,,,
799,31,132.279972415,,1736366706.6190622,0.0,1.5199681520462036,,,,,,
807,32,139.305478778,,1736366713.6443577,0.0,,0.42996516823768616,1.5532082319259644,,,,
