trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,31.81666583,1e-05,1736351215.4273396,,,,,,,,
49,1,31.930794251000002,,1736351215.5415614,0.0,0.27326464653015137,,,,,,
99,2,37.868555954,1e-05,1736351221.4792798,,,,,,,,
99,3,37.982493321,,1736351221.59334,0.0,0.20300360023975372,,,,,,
149,4,43.920679505,1e-05,1736351227.5314312,,,,,,,,
149,5,44.034782214,,1736351227.645609,0.0,0.42806971073150635,,,,,,
199,6,49.973470283,1e-05,1736351233.584262,,,,,,,,
199,7,50.087493446,,1736351233.6983218,0.0,0.388280987739563,,,,,,
249,8,56.02676993,1e-05,1736351239.6375098,,,,,,,,
249,9,56.140865741,,1736351239.7517016,0.0,0.6630371809005737,,,,,,
299,10,62.089390902,1e-05,1736351245.7000809,,,,,,,,
299,11,62.203342566,,1736351245.814189,0.0,0.24826553463935852,,,,,,
349,12,68.154583489,1e-05,1736351251.7652516,,,,,,,,
349,13,68.26840364,,1736351251.879196,0.0,0.23612096905708313,,,,,,
399,14,74.199248725,1e-05,1736351257.8099642,,,,,,,,
399,15,74.313248454,,1736351257.9239607,0.0,0.2891674041748047,,,,,,
449,16,80.242714028,1e-05,1736351263.8534546,,,,,,,,
449,17,80.356427553,,1736351263.9672122,0.0,0.21727611124515533,,,,,,
499,18,86.296071105,1e-05,1736351269.9067988,,,,,,,,
499,19,86.410278317,,1736351270.0210848,0.0,0.24959905445575714,,,,,,
549,20,92.360755934,1e-05,1736351275.9715095,,,,,,,,
549,21,92.474969531,,1736351276.0857687,0.0,0.392947256565094,,,,,,
599,22,98.431812501,1e-05,1736351282.0425227,,,,,,,,
599,23,98.546209172,,1736351282.157021,0.0,0.11978300660848618,,,,,,
649,24,104.495889625,1e-05,1736351288.1065943,,,,,,,,
649,25,104.609938107,,1736351288.2207737,0.0,0.30948710441589355,,,,,,
699,26,110.564309769,1e-05,1736351294.1750288,,,,,,,,
699,27,110.678761437,,1736351294.2895901,0.0,0.24318601191043854,,,,,,
749,28,116.638770757,1e-05,1736351300.2494903,,,,,,,,
749,29,116.753110519,,1736351300.3638837,0.0,0.4607548117637634,,,,,,
799,30,122.713466968,1e-05,1736351306.3241982,,,,,,,,
799,31,122.828192433,,1736351306.4389687,0.0,0.17753173410892487,,,,,,
849,32,128.802352326,1e-05,1736351312.4130962,,,,,,,,
849,33,128.917099585,,1736351312.5278966,0.0,0.2634633183479309,,,,,,
899,34,134.884209193,1e-05,1736351318.494933,,,,,,,,
899,35,134.998876765,,1736351318.609617,0.0,0.11094556003808975,,,,,,
949,36,140.964768129,1e-05,1736351324.5754726,,,,,,,,
949,37,141.079517055,,1736351324.690295,0.0,0.2553309202194214,,,,,,
999,38,147.047766805,1e-05,1736351330.658515,,,,,,,,
999,39,147.16204359,,1736351330.7728417,0.0,0.06379763036966324,,,,,,
1049,40,153.118001574,1e-05,1736351336.728711,,,,,,,,
1049,41,153.232246771,,1736351336.8430872,0.0,0.33365288376808167,,,,,,
1099,42,159.20623902,1e-05,1736351342.8169923,,,,,,,,
1099,43,159.320926518,,1736351342.9316618,0.0,0.12168151885271072,,,,,,
1149,44,165.297000953,1e-05,1736351348.9077392,,,,,,,,
1149,45,165.411478329,,1736351349.0223143,0.0,0.15325993299484253,,,,,,
1199,46,171.380171722,1e-05,1736351354.9909105,,,,,,,,
1199,47,171.494419191,,1736351355.1052098,0.0,0.14476190507411957,,,,,,
1249,48,177.457577323,1e-05,1736351361.0683036,,,,,,,,
1249,49,177.571718425,,1736351361.1825712,0.0,0.161736860871315,,,,,,
1299,50,183.553158001,1e-05,1736351367.1639025,,,,,,,,
1299,51,183.668034211,,1736351367.2787864,0.0,0.2855773866176605,,,,,,
1349,52,189.647037444,1e-05,1736351373.2577686,,,,,,,,
1349,53,189.761665881,,1736351373.3723874,0.0,0.07329339534044266,,,,,,
1399,54,195.735258473,1e-05,1736351379.345963,,,,,,,,
1399,55,195.849657393,,1736351379.4605172,0.0,0.018721505999565125,,,,,,
1449,56,201.832445715,1e-05,1736351385.44315,,,,,,,,
1449,57,201.947075359,,1736351385.5579011,0.0,0.17072536051273346,,,,,,
1499,58,207.9238986,1e-05,1736351391.5345936,,,,,,,,
1499,59,208.038404815,,1736351391.6491928,0.0,0.14264175295829773,,,,,,
1549,60,214.007021569,1e-05,1736351397.617706,,,,,,,,
1549,61,214.121288628,,1736351397.732057,0.0,0.2441481351852417,,,,,,
1599,62,220.105546702,1e-05,1736351403.7162724,,,,,,,,
1599,63,220.219612486,,1736351403.8304064,0.0,0.1383686363697052,,,,,,
1649,64,226.19438163,1e-05,1736351409.8050761,,,,,,,,
1649,65,226.308618626,,1736351409.919384,0.0,0.15902899205684662,,,,,,
1699,66,232.275287729,1e-05,1736351415.8860323,,,,,,,,
1699,67,232.389656985,,1736351416.0004785,0.0,0.1654200553894043,,,,,,
1718,68,242.896391326,,1736351426.5071373,0.0,,0.8903999924659729,0.3147505223751068,,,,
1718,69,274.301013765,,1736351457.8840184,0.0,,,,0.9034727215766907,0.2706555724143982,,
1719,70,285.181067917,,1736351468.7917788,1.0,,,,,,0.8938000202178955,0.31509095430374146
