trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.045720506,1e-05,1736344984.588012,,,,,,,,
49,1,33.154216469,,1736344984.6967227,0.0,0.7428499460220337,,,,,,
99,2,38.815746646,1e-05,1736344990.3581493,,,,,,,,
99,3,38.924053302,,1736344990.4665236,0.0,1.0170103311538696,,,,,,
149,4,44.586104756,1e-05,1736344996.1285512,,,,,,,,
149,5,44.694411047,,1736344996.2369025,0.0,1.0143684148788452,,,,,,
199,6,50.356081397,1e-05,1736345001.8985302,,,,,,,,
199,7,50.464744806,,1736345002.007196,0.0,0.9886992573738098,,,,,,
249,8,56.138795042,1e-05,1736345007.681231,,,,,,,,
249,9,56.246996643,,1736345007.7894573,0.0,0.911736786365509,,,,,,
299,10,61.920646993,1e-05,1736345013.4630783,,,,,,,,
299,11,62.028910637,,1736345013.5714111,0.0,0.5806412100791931,,,,,,
349,12,67.701672348,1e-05,1736345019.2441204,,,,,,,,
349,13,67.809671333,,1736345019.352118,0.0,0.5720633268356323,,,,,,
399,14,73.477077542,1e-05,1736345025.0195088,,,,,,,,
399,15,73.585340369,,1736345025.127839,0.0,0.5810534954071045,,,,,,
449,16,79.255825186,1e-05,1736345030.7982419,,,,,,,,
449,17,79.364480356,,1736345030.9069827,0.0,0.6098740696907043,,,,,,
499,18,85.034308883,1e-05,1736345036.5767345,,,,,,,,
499,19,85.142675269,,1736345036.685145,0.0,0.7462038993835449,,,,,,
549,20,90.81443168,1e-05,1736345042.3568623,,,,,,,,
549,21,90.923138822,,1736345042.4656613,0.0,0.674423336982727,,,,,,
599,22,96.59624189,1e-05,1736345048.1386466,,,,,,,,
599,23,96.705014944,,1736345048.2474618,0.0,0.6972333192825317,,,,,,
649,24,102.374447115,1e-05,1736345053.916881,,,,,,,,
649,25,102.482632184,,1736345054.0250936,0.0,0.49488216638565063,,,,,,
699,26,108.171532266,1e-05,1736345059.7139306,,,,,,,,
699,27,108.279869007,,1736345059.8223593,0.0,0.5023803114891052,,,,,,
749,28,113.963730683,1e-05,1736345065.506085,,,,,,,,
749,29,114.072267066,,1736345065.6147118,0.0,0.6770756840705872,,,,,,
799,30,119.759943989,1e-05,1736345071.3023684,,,,,,,,
799,31,119.868880209,,1736345071.4113562,0.0,0.26757174730300903,,,,,,
849,32,125.5622658,1e-05,1736345077.10467,,,,,,,,
849,33,125.670761562,,1736345077.213274,0.0,0.5670390725135803,,,,,,
899,34,131.356992745,1e-05,1736345082.8994524,,,,,,,,
899,35,131.465119934,,1736345083.0075989,0.0,0.360235333442688,,,,,,
949,36,137.150342798,1e-05,1736345088.692738,,,,,,,,
949,37,137.25899534,,1736345088.8014512,0.0,0.4484751224517822,,,,,,
999,38,142.949163705,1e-05,1736345094.4915724,,,,,,,,
999,39,143.057754098,,1736345094.600218,0.0,0.3973151743412018,,,,,,
1049,40,148.743977555,1e-05,1736345100.2863762,,,,,,,,
1049,41,148.853674268,,1736345100.3960693,0.0,0.6181156635284424,,,,,,
1099,42,154.535046489,1e-05,1736345106.0774562,,,,,,,,
1099,43,154.643919196,,1736345106.186391,0.0,0.26502367854118347,,,,,,
1149,44,160.332134017,1e-05,1736345111.8745382,,,,,,,,
1149,45,160.440877921,,1736345111.9833295,0.0,0.33386799693107605,,,,,,
1199,46,166.142980314,1e-05,1736345117.6853504,,,,,,,,
1199,47,166.251247943,,1736345117.7937398,0.0,0.4481624662876129,,,,,,
1249,48,171.918175029,1e-05,1736345123.4605687,,,,,,,,
1249,49,172.026637932,,1736345123.5691187,0.0,0.4033719599246979,,,,,,
1299,50,177.719182554,1e-05,1736345129.2615874,,,,,,,,
1299,51,177.828725168,,1736345129.3710737,0.0,0.482610821723938,,,,,,
1349,52,183.517951694,1e-05,1736345135.0603642,,,,,,,,
1349,53,183.626586996,,1736345135.1690714,0.0,0.40417224168777466,,,,,,
1399,54,189.311035181,1e-05,1736345140.8533862,,,,,,,,
1399,55,189.419503829,,1736345140.9619918,0.0,0.3449019193649292,,,,,,
1449,56,195.111295388,1e-05,1736345146.6536458,,,,,,,,
1449,57,195.219609814,,1736345146.7620974,0.0,0.44359248876571655,,,,,,
1499,58,200.911040903,1e-05,1736345152.4534407,,,,,,,,
1499,59,201.019752783,,1736345152.5622387,0.0,0.29702994227409363,,,,,,
1549,60,206.708314782,1e-05,1736345158.2507348,,,,,,,,
1549,61,206.817263002,,1736345158.3596656,0.0,0.4712999165058136,,,,,,
1599,62,212.519386311,1e-05,1736345164.0617983,,,,,,,,
1599,63,212.627944258,,1736345164.1704159,0.0,0.35886043310165405,,,,,,
1649,64,218.332804142,1e-05,1736345169.8752053,,,,,,,,
1649,65,218.441373409,,1736345169.9838827,0.0,0.370016485452652,,,,,,
1699,66,224.12953299,1e-05,1736345175.6719716,,,,,,,,
1699,67,224.238258978,,1736345175.7806854,0.0,0.5573194622993469,,,,,,
1718,68,234.719631034,,1736345186.262018,0.0,,0.8302000164985657,0.4628855586051941,,,,
1718,69,261.734668041,,1736345213.2570012,0.0,,,,0.7896000146865845,0.5936456918716431,,
1719,70,272.698974727,,1736345224.2413466,1.0,,,,,,0.8317999839782715,0.4649929106235504
