trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,32.442269936,1e-05,1736392872.5507026,,,,,,,,
49,1,32.556180403,,1736392872.6647043,0.0,0.27326464653015137,,,,,,
99,2,38.50231847,1e-05,1736392878.6108444,,,,,,,,
99,3,38.616578312,,1736392878.7251837,0.0,0.20300360023975372,,,,,,
149,4,44.563049389,1e-05,1736392884.671593,,,,,,,,
149,5,44.676568724,,1736392884.785219,0.0,0.42806971073150635,,,,,,
199,6,50.633141359,1e-05,1736392890.7416766,,,,,,,,
199,7,50.747177021,,1736392890.8557954,0.0,0.388280987739563,,,,,,
249,8,56.699720033,1e-05,1736392896.8082533,,,,,,,,
249,9,56.813721662,,1736392896.9223156,0.0,0.6630371809005737,,,,,,
299,10,62.771869112,1e-05,1736392902.8803442,,,,,,,,
299,11,62.885937045,,1736392902.9945853,0.0,0.24826553463935852,,,,,,
349,12,68.845371054,1e-05,1736392908.9538918,,,,,,,,
349,13,68.959547039,,1736392909.0681427,0.0,0.23612096905708313,,,,,,
399,14,74.926400227,1e-05,1736392915.034899,,,,,,,,
399,15,75.040531279,,1736392915.1491568,0.0,0.2891674041748047,,,,,,
449,16,81.002624034,1e-05,1736392921.1111958,,,,,,,,
449,17,81.116831939,,1736392921.2254288,0.0,0.21727611124515533,,,,,,
499,18,87.078880639,1e-05,1736392927.1874263,,,,,,,,
499,19,87.193234278,,1736392927.3018332,0.0,0.24959905445575714,,,,,,
549,20,93.153648942,1e-05,1736392933.262186,,,,,,,,
549,21,93.267583556,,1736392933.376233,0.0,0.392947256565094,,,,,,
599,22,99.235065419,1e-05,1736392939.3435895,,,,,,,,
599,23,99.349298743,,1736392939.4578984,0.0,0.11978300660848618,,,,,,
649,24,105.32370563,1e-05,1736392945.4322717,,,,,,,,
649,25,105.437879993,,1736392945.5465136,0.0,0.30948710441589355,,,,,,
699,26,111.406380068,1e-05,1736392951.5149155,,,,,,,,
699,27,111.520502254,,1736392951.629143,0.0,0.24318601191043854,,,,,,
749,28,117.487623682,1e-05,1736392957.5961096,,,,,,,,
749,29,117.601872114,,1736392957.71047,0.0,0.4607548117637634,,,,,,
799,30,123.571208319,1e-05,1736392963.6797304,,,,,,,,
799,31,123.685653491,,1736392963.794257,0.0,0.17753173410892487,,,,,,
849,32,129.656933655,1e-05,1736392969.7654116,,,,,,,,
849,33,129.771213316,,1736392969.8798468,0.0,0.2634633183479309,,,,,,
899,34,135.747369653,1e-05,1736392975.8558893,,,,,,,,
899,35,135.861160258,,1736392975.9697587,0.0,0.11094556003808975,,,,,,
949,36,141.827184526,1e-05,1736392981.9356468,,,,,,,,
949,37,141.941439431,,1736392982.050089,0.0,0.2553309202194214,,,,,,
999,38,147.908174167,1e-05,1736392988.0166745,,,,,,,,
999,39,148.022259554,,1736392988.1308641,0.0,0.06379763036966324,,,,,,
1049,40,153.98756108,1e-05,1736392994.096111,,,,,,,,
1049,41,154.101725045,,1736392994.2103689,0.0,0.33365288376808167,,,,,,
1099,42,160.070104635,1e-05,1736393000.1786284,,,,,,,,
1099,43,160.184084605,,1736393000.2926772,0.0,0.12168151885271072,,,,,,
1149,44,166.15126309,1e-05,1736393006.2597477,,,,,,,,
1149,45,166.265791748,,1736393006.3744016,0.0,0.15325993299484253,,,,,,
1199,46,172.244758619,1e-05,1736393012.3532708,,,,,,,,
1199,47,172.359012593,,1736393012.467613,0.0,0.14476190507411957,,,,,,
1249,48,178.336535704,1e-05,1736393018.4450493,,,,,,,,
1249,49,178.450899163,,1736393018.5594804,0.0,0.161736860871315,,,,,,
