trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,35.406382509,1e-05,1736370597.0735846,,,,,,,,
49,1,35.515499116,,1736370597.1826913,0.0,0.7428499460220337,,,,,,
99,2,41.369046732,1e-05,1736370603.0362747,,,,,,,,
99,3,41.480195693,,1736370603.1475182,0.0,1.0170103311538696,,,,,,
149,4,47.285993962,1e-05,1736370608.953233,,,,,,,,
149,5,47.395743416,,1736370609.0630388,0.0,1.0143684148788452,,,,,,
199,6,53.249524853,1e-05,1736370614.91666,,,,,,,,
199,7,53.359474042,,1736370615.0267038,0.0,0.9886992573738098,,,,,,
249,8,59.19814308,1e-05,1736370620.865267,,,,,,,,
249,9,59.309312549,,1736370620.9760385,0.0,0.911736786365509,,,,,,
299,10,65.275363341,1e-05,1736370626.942702,,,,,,,,
299,11,65.383510167,,1736370627.050957,0.0,0.5806412100791931,,,,,,
349,12,71.238658889,1e-05,1736370632.905942,,,,,,,,
349,13,71.35037839,,1736370633.017665,0.0,0.5720633268356323,,,,,,
399,14,77.261840715,1e-05,1736370638.92909,,,,,,,,
399,15,77.374928073,,1736370639.0421832,0.0,0.5810534954071045,,,,,,
449,16,83.295403352,1e-05,1736370644.962733,,,,,,,,
449,17,83.404865867,,1736370645.0722194,0.0,0.6098740696907043,,,,,,
499,18,89.306157456,1e-05,1736370650.9734807,,,,,,,,
499,19,89.414817364,,1736370651.0822237,0.0,0.7462038993835449,,,,,,
549,20,95.327138131,1e-05,1736370656.9944446,,,,,,,,
549,21,95.437863384,,1736370657.1051173,0.0,0.674423336982727,,,,,,
599,22,101.348756339,1e-05,1736370663.0158103,,,,,,,,
599,23,101.459322895,,1736370663.1263616,0.0,0.6972333192825317,,,,,,
649,24,107.314929838,1e-05,1736370668.98227,,,,,,,,
649,25,107.423873488,,1736370669.0910943,0.0,0.49488216638565063,,,,,,
699,26,113.285665298,1e-05,1736370674.953004,,,,,,,,
699,27,113.393846706,,1736370675.0612874,0.0,0.5023803114891052,,,,,,
749,28,119.262874024,1e-05,1736370680.9301271,,,,,,,,
749,29,119.373482127,,1736370681.0408015,0.0,0.6770756840705872,,,,,,
799,30,125.243918097,1e-05,1736370686.9111655,,,,,,,,
799,31,125.352422982,,1736370687.019791,0.0,0.26757174730300903,,,,,,
849,32,131.24371774,1e-05,1736370692.9106696,,,,,,,,
849,33,131.354605658,,1736370693.0219252,0.0,0.5670390725135803,,,,,,
899,34,137.260513001,1e-05,1736370698.9275644,,,,,,,,
899,35,137.373628299,,1736370699.0409243,0.0,0.360235333442688,,,,,,
949,36,143.341916443,1e-05,1736370705.0089512,,,,,,,,
949,37,143.453710651,,1736370705.1209815,0.0,0.4484751224517822,,,,,,
999,38,149.40500118,1e-05,1736370711.0722473,,,,,,,,
999,39,149.516873485,,1736370711.1840348,0.0,0.3973151743412018,,,,,,
1049,40,155.425969878,1e-05,1736370717.093299,,,,,,,,
1049,41,155.534135815,,1736370717.2015665,0.0,0.6181156635284424,,,,,,
1099,42,161.413007567,1e-05,1736370723.0803797,,,,,,,,
1099,43,161.521905709,,1736370723.189258,0.0,0.26502367854118347,,,,,,
1149,44,167.440177581,1e-05,1736370729.1072311,,,,,,,,
1149,45,167.550268932,,1736370729.2175448,0.0,0.33386799693107605,,,,,,
1199,46,173.424289597,1e-05,1736370735.0916083,,,,,,,,
1199,47,173.53356669,,1736370735.200875,0.0,0.4481624662876129,,,,,,
1249,48,179.442191712,1e-05,1736370741.1090367,,,,,,,,
1249,49,179.55342178,,1736370741.2206001,0.0,0.4033719599246979,,,,,,
1299,50,185.477697727,1e-05,1736370747.144728,,,,,,,,
1299,51,185.588699837,,1736370747.2559128,0.0,0.482610821723938,,,,,,
1349,52,191.526520967,1e-05,1736370753.1934414,,,,,,,,
1349,53,191.637970787,,1736370753.3047516,0.0,0.40417224168777466,,,,,,
1399,54,197.549456466,1e-05,1736370759.216229,,,,,,,,
1399,55,197.659524122,,1736370759.3267343,0.0,0.3449019193649292,,,,,,
1449,56,203.578892475,1e-05,1736370765.2460625,,,,,,,,
1449,57,203.689042075,,1736370765.3563528,0.0,0.44359248876571655,,,,,,
1499,58,209.567156409,1e-05,1736370771.2344532,,,,,,,,
1499,59,209.676876061,,1736370771.3439326,0.0,0.29702994227409363,,,,,,
1549,60,215.551730917,1e-05,1736370777.2190373,,,,,,,,
1549,61,215.660114801,,1736370777.327516,0.0,0.4712999165058136,,,,,,
1599,62,221.508341399,1e-05,1736370783.1756852,,,,,,,,
1599,63,221.61652105,,1736370783.2839394,0.0,0.35886043310165405,,,,,,
1649,64,227.470057805,1e-05,1736370789.1372125,,,,,,,,
1649,65,227.581134413,,1736370789.2481403,0.0,0.370016485452652,,,,,,
1699,66,233.448703264,1e-05,1736370795.1160347,,,,,,,,
1699,67,233.559377798,,1736370795.2267,0.0,0.5573194622993469,,,,,,
1718,68,244.891522981,,1736370806.5586903,0.0,,0.8302000164985657,0.4628855586051941,,,,
1718,69,263.988465414,,1736370825.6413145,0.0,,,,0.7896000146865845,0.5936456918716431,,
1749,70,269.599573331,1e-05,1736370831.2667115,,,,,,,,
1749,71,269.709280819,,1736370831.3765812,1.0,0.16609010100364685,,,,,,
1799,72,275.567898614,1e-05,1736370837.235222,,,,,,,,
1799,73,275.67806912,,1736370837.3451815,1.0,0.784038245677948,,,,,,
1849,74,281.534991453,1e-05,1736370843.202305,,,,,,,,
1849,75,281.645500695,,1736370843.3122425,1.0,0.2878618836402893,,,,,,
1899,76,287.558078407,1e-05,1736370849.225385,,,,,,,,
1899,77,287.668718685,,1736370849.3355224,1.0,0.46165019273757935,,,,,,
1949,78,293.563718581,1e-05,1736370855.2308867,,,,,,,,
1949,79,293.676067015,,1736370855.3433547,1.0,0.42973512411117554,,,,,,
1999,80,299.561023587,1e-05,1736370861.2282584,,,,,,,,
1999,81,299.672105823,,1736370861.3390925,1.0,0.25088775157928467,,,,,,
2049,82,305.525429526,1e-05,1736370867.192744,,,,,,,,
2049,83,305.634526967,,1736370867.3019078,1.0,0.5441558957099915,,,,,,
2099,84,311.572969608,1e-05,1736370873.2400532,,,,,,,,
2099,85,311.68315998,,1736370873.3503604,1.0,0.5499708652496338,,,,,,
2149,86,317.577643178,1e-05,1736370879.2449033,,,,,,,,
2149,87,317.686572483,,1736370879.3539033,1.0,0.35614436864852905,,,,,,
2199,88,323.607026806,1e-05,1736370885.2742999,,,,,,,,
2199,89,323.717461237,,1736370885.3848946,1.0,0.2494083046913147,,,,,,
2249,90,329.634959996,1e-05,1736370891.30222,,,,,,,,
2249,91,329.748325617,,1736370891.4155943,1.0,0.33913061022758484,,,,,,
2299,92,335.665926885,1e-05,1736370897.333261,,,,,,,,
2299,93,335.775598686,,1736370897.4426465,1.0,0.31679582595825195,,,,,,
2349,94,341.632229896,1e-05,1736370903.299485,,,,,,,,
2349,95,341.742991933,,1736370903.410314,1.0,0.4070951044559479,,,,,,
2399,96,347.647838547,1e-05,1736370909.3148994,,,,,,,,
2399,97,347.758497969,,1736370909.4253469,1.0,0.243069589138031,,,,,,
2449,98,353.661859523,1e-05,1736370915.3291955,,,,,,,,
2449,99,353.771847813,,1736370915.4391959,1.0,0.316121906042099,,,,,,
2499,100,359.698746993,1e-05,1736370921.365839,,,,,,,,
2499,101,359.812133324,,1736370921.4794378,1.0,0.46738725900650024,,,,,,
2549,102,365.703262709,1e-05,1736370927.3703988,,,,,,,,
2549,103,365.815186021,,1736370927.482265,1.0,0.25572583079338074,,,,,,
2599,104,371.730057469,1e-05,1736370933.3973217,,,,,,,,
2599,105,371.840043862,,1736370933.5072868,1.0,0.36451050639152527,,,,,,
2649,106,377.8037858,1e-05,1736370939.4707541,,,,,,,,
2649,107,377.913418357,,1736370939.5808518,1.0,0.43792805075645447,,,,,,
2699,108,383.792383692,1e-05,1736370945.459418,,,,,,,,
2699,109,383.903096776,,1736370945.5702944,1.0,0.39880749583244324,,,,,,
2749,110,389.800706511,1e-05,1736370951.4679406,,,,,,,,
2749,111,389.911931185,,1736370951.5789804,1.0,0.46591776609420776,,,,,,
2799,112,395.768194391,1e-05,1736370957.4353216,,,,,,,,
2799,113,395.879027318,,1736370957.5462866,1.0,0.3032536208629608,,,,,,
2849,114,401.800674158,1e-05,1736370963.4679472,,,,,,,,
2849,115,401.91135631,,1736370963.5786307,1.0,0.20240645110607147,,,,,,
