trainer/global_step,_step,acc/val,_runtime,loss/val,epoch,_timestamp,acc/train_epoch,loss/train_epoch,lr-Adam,loss/train_step,acc/test,loss/test
28,0,0.8333333134651184,33.324706588,0.48138415813446045,0.0,1736382373.188356,,,,,,
28,1,,64.044007268,,0.0,1736382403.8789716,0.7440087199211121,0.9804144501686096,,,,
49,2,,68.50434916,,,1736382408.3676465,,,1e-05,,,
49,3,,68.617433627,,1.0,1736382408.481281,,,,0.07439108937978745,,
57,4,0.9215686321258545,71.182719806,0.2728525698184967,1.0,1736382411.0464764,,,,,,
57,5,,100.023506151,,1.0,1736382439.8872614,0.9651415944099426,0.16023437678813934,,,,
86,6,0.8725489974021912,107.330381248,0.4015302360057831,2.0,1736382447.1941028,,,,,,
86,7,,136.727509863,,2.0,1736382476.5912051,0.984749436378479,0.049157336354255676,,,,
99,8,,140.286889942,,,1736382480.1505523,,,1e-05,,,
99,9,,140.401214143,,3.0,1736382480.264739,,,,0.008552084676921368,,
115,10,0.8823529481887817,143.925815585,0.34717777371406555,3.0,1736382483.789511,,,,,,
115,11,,173.974088608,,3.0,1736382513.8377779,0.984749436378479,0.0469684936106205,,,,
144,12,0.8823529481887817,181.276860161,0.4721691310405731,4.0,1736382521.1405785,,,,,,
144,13,,211.712782325,,4.0,1736382551.5765488,0.9880174398422241,0.03147431090474129,,,,
149,14,,214.371342082,,,1736382554.2345703,,,1e-05,,,
149,15,,214.486852436,,5.0,1736382554.3507113,,,,0.02328438311815262,,
173,16,0.8823529481887817,219.010894576,0.4638931453227997,5.0,1736382558.8746283,,,,,,
173,17,,250.186879335,,5.0,1736382590.05055,0.9923747181892395,0.0284019336104393,,,,
199,18,,255.289746032,,,1736382595.1534717,,,1e-05,,,
199,19,,255.404210695,,6.0,1736382595.268049,,,,0.009544137865304947,,
202,20,0.8235294222831726,257.337017036,0.5128191113471985,6.0,1736382597.200739,,,,,,
202,21,,257.341286403,,6.0,1736382597.2051668,0.9891067743301392,0.03292476758360863,,,,
231,22,0.8725489974021912,264.566659281,0.601978063583374,7.0,1736382604.430419,,,,,,
231,23,,296.264929465,,7.0,1736382636.1286397,0.9945533871650696,0.021723847836256027,,,,
249,24,,300.618272394,,,1736382640.4818013,,,1e-05,,,
249,25,,300.73233374,,8.0,1736382640.5961144,,,,0.004073628224432468,,
260,26,0.8627451062202454,303.673413403,0.4655856192111969,8.0,1736382643.5371706,,,,,,
260,27,,334.495047669,,8.0,1736382674.3588383,0.9934640526771545,0.019494013860821724,,,,
289,28,0.843137264251709,341.66771805,0.6543118953704834,9.0,1736382681.5314705,,,,,,
289,29,,371.821919202,,9.0,1736382711.6855752,0.9978213310241699,0.008185036480426788,,,,
299,30,,375.153489787,,,1736382715.0171595,,,1e-05,,,
299,31,,375.267508443,,10.0,1736382715.1310766,,,,0.0007974656182341278,,
318,32,0.9117646813392639,379.150508655,0.3883574306964874,10.0,1736382719.0142627,,,,,,
318,33,,379.154701017,,10.0,1736382719.0185924,0.9956427216529846,0.025824682787060738,,,,
347,34,0.8921568393707275,386.362604787,0.3893859386444092,11.0,1736382726.2263136,,,,,,
347,35,,416.561406009,,11.0,1736382756.4251516,1.0,0.002742439042776823,,,,
349,36,,418.825272065,,,1736382758.6883228,,,1e-05,,,
349,37,,418.94602455,,12.0,1736382758.8093688,,,,0.010332178324460983,,
376,38,0.8921568393707275,423.780375277,0.42490845918655396,12.0,1736382763.644125,,,,,,
376,39,,454.585908802,,12.0,1736382794.449692,1.0,0.0022180306259542704,,,,
399,40,,459.521864096,,,1736382799.3855224,,,1e-05,,,
399,41,,459.635852435,,13.0,1736382799.4996355,,,,0.0006291100289672613,,
405,42,0.9117646813392639,461.966233151,0.3307855725288391,13.0,1736382801.8299952,,,,,,
405,43,,491.719580102,,13.0,1736382831.5833232,1.0,0.000821461551822722,,,,
434,44,0.9117646813392639,498.906942328,0.24603578448295593,14.0,1736382838.770696,,,,,,
434,45,,530.340400211,,14.0,1736382870.2041264,1.0,0.00024769423180259764,,,,
449,46,,534.061029658,,,1736382873.9246674,,,1e-05,,,
449,47,,534.174484976,,15.0,1736382874.0382662,,,,0.00018060157890431583,,
463,48,0.9215686321258545,537.474266046,0.23778949677944183,15.0,1736382877.3380117,,,,,,
463,49,,567.748550284,,15.0,1736382907.6122916,1.0,0.00014770955021958798,,,,
492,50,0.9215686321258545,575.020461634,0.24748758971691132,16.0,1736382914.884227,,,,,,
492,51,,606.278886803,,16.0,1736382946.1425135,1.0,0.00011775153689086437,,,,
499,52,,609.166091123,,,1736382949.0297623,,,1e-05,,,
499,53,,609.280001244,,17.0,1736382949.1438663,,,,6.542010669363663e-05,,
