trainer/global_step,_step,acc/val,_runtime,loss/val,epoch,_timestamp,acc/train_epoch,loss/train_epoch,lr-SGD,loss/train_step,acc/test,loss/test
28,0,0.656862735748291,37.663511573,1.3793516159057617,0.0,1736361211.6530218,,,,,,
28,1,,57.088609496,,0.0,1736361231.0791664,0.6906318068504333,1.282823920249939,,,,
49,2,,61.762363485,,,1736361235.7523928,,,1e-05,,,
49,3,,61.871604311,,1.0,1736361235.8618438,,,,1.3078620433807373,,
57,4,0.6666666865348816,64.575828109,1.3649053573608398,1.0,1736361238.5652444,,,,,,
57,5,,64.585696286,,1.0,1736361238.5761526,0.6960784196853638,1.2828381061553955,,,,
86,6,0.6470588445663452,72.323054219,1.3465701341629028,2.0,1736361246.3132212,,,,,,
86,7,,91.822138638,,2.0,1736361265.8125393,0.6906318068504333,1.277320384979248,,,,
99,8,,95.836103502,,,1736361269.826436,,,1e-05,,,
99,9,,95.947776274,,3.0,1736361269.9380236,,,,0.8615697026252747,,
115,10,0.6372548937797546,99.745149321,1.3539806604385376,3.0,1736361273.7354631,,,,,,
115,11,,120.155001621,,3.0,1736361294.1454153,0.6960784196853638,1.2685600519180298,,,,
144,12,0.6666666865348816,127.813914459,1.299562692642212,4.0,1736361301.804099,,,,,,
144,13,,147.443724878,,4.0,1736361321.4341455,0.6917211413383484,1.2661998271942139,,,,
149,14,,150.40997953,,,1736361324.400089,,,1e-05,,,
149,15,,150.522099223,,5.0,1736361324.5124874,,,,1.043061375617981,,
173,16,0.6764705777168274,155.391420215,1.2781829833984375,5.0,1736361329.3817236,,,,,,
173,17,,175.354777422,,5.0,1736361349.345121,0.6993464231491089,1.232588768005371,,,,
199,18,,180.800873708,,,1736361354.7911718,,,1e-05,,,
199,19,,180.910646828,,6.0,1736361354.901007,,,,1.394954800605774,,
202,20,0.656862735748291,183.320374553,1.3070954084396362,6.0,1736361357.3105772,,,,,,
202,21,,183.326013088,,6.0,1736361357.3164673,0.7015250325202942,1.2357343435287476,,,,
231,22,0.686274528503418,191.109987959,1.2656903266906738,7.0,1736361365.1002917,,,,,,
231,23,,212.066478101,,7.0,1736361386.0567815,0.7047930359840393,1.2181710004806519,,,,
249,24,,216.698241384,,,1736361390.6885192,,,1e-05,,,
249,25,,216.808807472,,8.0,1736361390.7990746,,,,1.4551533460617065,,
260,26,0.6764705777168274,220.050667048,1.2664811611175537,8.0,1736361394.0409377,,,,,,
