trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,35.195541188,1e-05,1736350807.1122324,,,,,,,,
49,1,35.310171681,,1736350807.227068,0.0,0.7465841770172119,,,,,,
99,2,41.297856832,1e-05,1736350813.2146668,,,,,,,,
99,3,41.412431618,,1736350813.3293123,0.0,0.47572436928749084,,,,,,
149,4,47.406998358,1e-05,1736350819.323765,,,,,,,,
149,5,47.521474805,,1736350819.438306,0.0,1.0489928722381592,,,,,,
199,6,53.524558457,1e-05,1736350825.4413888,,,,,,,,
199,7,53.638644761,,1736350825.5555458,0.0,0.4567359685897827,,,,,,
249,8,59.646170989,1e-05,1736350831.562997,,,,,,,,
249,9,59.761029993,,1736350831.677873,0.0,0.4570505619049072,,,,,,
299,10,65.74558983,1e-05,1736350837.6624362,,,,,,,,
299,11,65.859835432,,1736350837.776706,0.0,0.6969947218894958,,,,,,
349,12,71.858128898,1e-05,1736350843.7748914,,,,,,,,
349,13,71.972910478,,1736350843.8897338,0.0,1.3102935552597046,,,,,,
399,14,77.971105685,1e-05,1736350849.8878875,,,,,,,,
399,15,78.08648114,,1736350850.0032864,0.0,0.6139014363288879,,,,,,
449,16,84.082998983,1e-05,1736350855.999837,,,,,,,,
449,17,84.19707153,,1736350856.114005,0.0,0.7183364629745483,,,,,,
499,18,90.225080179,1e-05,1736350862.1418753,,,,,,,,
499,19,90.339578867,,1736350862.256413,0.0,0.5566044449806213,,,,,,
549,20,96.34964426,1e-05,1736350868.2664733,,,,,,,,
549,21,96.464478601,,1736350868.381426,0.0,0.472953200340271,,,,,,
599,22,102.470887662,1e-05,1736350874.387646,,,,,,,,
599,23,102.585508429,,1736350874.5023472,0.0,0.2715321481227875,,,,,,
649,24,108.596381862,1e-05,1736350880.513191,,,,,,,,
649,25,108.71158366,,1736350880.628381,0.0,0.8241890072822571,,,,,,
699,26,114.742075563,1e-05,1736350886.6588562,,,,,,,,
699,27,114.856975362,,1736350886.7738266,0.0,0.5915008187294006,,,,,,
749,28,120.889677504,1e-05,1736350892.8064811,,,,,,,,
749,29,121.004315959,,1736350892.9211998,0.0,0.4017714560031891,,,,,,
799,30,127.021382184,1e-05,1736350898.9381444,,,,,,,,
799,31,127.135823306,,1736350899.052692,0.0,0.5379185676574707,,,,,,
849,32,133.157578289,1e-05,1736350905.074475,,,,,,,,
849,33,133.271821326,,1736350905.1887531,0.0,0.5291858315467834,,,,,,
899,34,139.288004609,1e-05,1736350911.2047637,,,,,,,,
899,35,139.402665933,,1736350911.3194687,0.0,0.4223136603832245,,,,,,
949,36,145.419076329,1e-05,1736350917.3358593,,,,,,,,
949,37,145.533359992,,1736350917.450199,0.0,0.7142361998558044,,,,,,
999,38,151.546475046,1e-05,1736350923.4632058,,,,,,,,
999,39,151.661041041,,1736350923.5779111,0.0,0.125324085354805,,,,,,
1049,40,157.679866642,1e-05,1736350929.596679,,,,,,,,
1049,41,157.794881641,,1736350929.7116663,0.0,0.4614136219024658,,,,,,
1099,42,163.825241302,1e-05,1736350935.7420654,,,,,,,,
1099,43,163.940416005,,1736350935.8572571,0.0,0.6806589961051941,,,,,,
1149,44,169.985849282,1e-05,1736350941.9026442,,,,,,,,
1149,45,170.100675327,,1736350942.017547,0.0,0.6313661336898804,,,,,,
1199,46,176.121868327,1e-05,1736350948.038699,,,,,,,,
1199,47,176.236680111,,1736350948.1534786,0.0,0.5716326236724854,,,,,,
1249,48,182.247072994,1e-05,1736350954.1638777,,,,,,,,
1249,49,182.361499472,,1736350954.2784233,0.0,0.5506497621536255,,,,,,
1299,50,188.390597711,1e-05,1736350960.3073611,,,,,,,,
1299,51,188.505436053,,1736350960.4222596,0.0,0.6718173623085022,,,,,,
1349,52,194.537476679,1e-05,1736350966.4542966,,,,,,,,
1349,53,194.65231203,,1736350966.5691621,0.0,0.49197477102279663,,,,,,
1399,54,200.671125573,1e-05,1736350972.5879338,,,,,,,,
1399,55,200.785665877,,1736350972.7025766,0.0,0.6718689799308777,,,,,,
1449,56,206.802961802,1e-05,1736350978.719727,,,,,,,,
1449,57,206.918016272,,1736350978.8347776,0.0,0.8357328176498413,,,,,,
1499,58,212.951864821,1e-05,1736350984.8686352,,,,,,,,
1499,59,213.066332588,,1736350984.9832094,0.0,0.9247912168502808,,,,,,
1549,60,219.095250345,1e-05,1736350991.0121198,,,,,,,,
1549,61,219.210031492,,1736350991.1269252,0.0,0.6243733167648315,,,,,,
1599,62,225.244945723,1e-05,1736350997.1617503,,,,,,,,
1599,63,225.360196143,,1736350997.277116,0.0,0.3301065266132355,,,,,,
1649,64,231.397817035,1e-05,1736351003.3146396,,,,,,,,
1649,65,231.51247495,,1736351003.4292703,0.0,0.6221844553947449,,,,,,
1699,66,237.539213874,1e-05,1736351009.4560075,,,,,,,,
1699,67,237.654482436,,1736351009.5713727,0.0,0.9017954468727112,,,,,,
1749,68,243.683175288,1e-05,1736351015.6000116,,,,,,,,
1749,69,243.797414829,,1736351015.7142708,0.0,0.3613978922367096,,,,,,
1799,70,249.82640019,1e-05,1736351021.7432108,,,,,,,,
1799,71,249.941437878,,1736351021.8582537,0.0,0.8266896605491638,,,,,,
1849,72,255.972185825,1e-05,1736351027.8890357,,,,,,,,
1849,73,256.087059209,,1736351028.003954,0.0,0.6500586271286011,,,,,,
1899,74,262.127595377,1e-05,1736351034.0444179,,,,,,,,
1899,75,262.242147665,,1736351034.158983,0.0,0.2802348732948303,,,,,,
1949,76,268.282994699,1e-05,1736351040.1998355,,,,,,,,
1949,77,268.397965583,,1736351040.3148427,0.0,0.26866695284843445,,,,,,
1999,78,274.440046258,1e-05,1736351046.3568983,,,,,,,,
1999,79,274.555031533,,1736351046.4719353,0.0,1.1895971298217773,,,,,,
2049,80,280.584110666,1e-05,1736351052.5009375,,,,,,,,
2049,81,280.698789642,,1736351052.6155643,0.0,0.32167524099349976,,,,,,
2099,82,286.732658299,1e-05,1736351058.6494503,,,,,,,,
2099,83,286.846678798,,1736351058.7635248,0.0,0.6465418934822083,,,,,,
2149,84,292.874166568,1e-05,1736351064.7910154,,,,,,,,
2149,85,292.989383488,,1736351064.9061975,0.0,0.5446757674217224,,,,,,
2199,86,298.993350987,1e-05,1736351070.9101777,,,,,,,,
2199,87,299.107396389,,1736351071.024305,0.0,0.6678715944290161,,,,,,
2210,88,309.501579655,,1736351081.418412,0.0,,0.8450000286102295,0.5630436539649963,,,,
2210,89,341.911862233,,1736351113.8005695,0.0,,,,0.8269681930541992,0.6310956478118896,,
2211,90,353.925985075,,1736351125.8427744,1.0,,,,,,0.8393999934196472,0.5726951360702515
