trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,36.516309711,1e-05,1736344591.9098787,,,,,,,,
49,1,36.624845438,,1736344592.018591,0.0,0.5175186395645142,,,,,,
99,2,42.346963211,1e-05,1736344597.7406955,,,,,,,,
99,3,42.455532936,,1736344597.8492844,0.0,0.41635143756866455,,,,,,
149,4,48.17357566,1e-05,1736344603.5672657,,,,,,,,
149,5,48.28235894,,1736344603.6761286,0.0,0.8536301851272583,,,,,,
199,6,54.008193734,1e-05,1736344609.4019036,,,,,,,,
199,7,54.117124675,,1736344609.510849,0.0,0.42733511328697205,,,,,,
249,8,59.84886489,1e-05,1736344615.242533,,,,,,,,
249,9,59.958185226,,1736344615.3519037,0.0,0.5805851817131042,,,,,,
299,10,65.683171094,1e-05,1736344621.0768824,,,,,,,,
299,11,65.792262765,,1736344621.18601,0.0,0.6381328701972961,,,,,,
349,12,71.501846942,1e-05,1736344626.8955069,,,,,,,,
349,13,71.610297154,,1736344627.004155,0.0,0.6998119354248047,,,,,,
399,14,77.338770116,1e-05,1736344632.7324286,,,,,,,,
399,15,77.447566012,,1736344632.8413017,0.0,0.5880368947982788,,,,,,
449,16,83.173333707,1e-05,1736344638.5670352,,,,,,,,
449,17,83.281930012,,1736344638.675634,0.0,0.39578959345817566,,,,,,
499,18,89.022240253,1e-05,1736344644.4159641,,,,,,,,
499,19,89.131642444,,1736344644.5253718,0.0,0.5102521777153015,,,,,,
549,20,94.86646373,1e-05,1736344650.2601185,,,,,,,,
549,21,94.975445667,,1736344650.3691554,0.0,0.34431058168411255,,,,,,
599,22,100.703365572,1e-05,1736344656.0970776,,,,,,,,
599,23,100.81214785,,1736344656.2058842,0.0,0.28519704937934875,,,,,,
649,24,106.542025892,1e-05,1736344661.9357297,,,,,,,,
649,25,106.651233963,,1736344662.0449781,0.0,0.4305661618709564,,,,,,
699,26,112.375246896,1e-05,1736344667.7688513,,,,,,,,
699,27,112.483931109,,1736344667.87762,0.0,0.45237693190574646,,,,,,
749,28,118.213373508,1e-05,1736344673.607077,,,,,,,,
749,29,118.322288881,,1736344673.7160196,0.0,0.49275022745132446,,,,,,
799,30,124.056909348,1e-05,1736344679.4505718,,,,,,,,
799,31,124.165647733,,1736344679.5593848,0.0,0.4671749174594879,,,,,,
849,32,129.910097397,1e-05,1736344685.3038018,,,,,,,,
849,33,130.019520451,,1736344685.413256,0.0,0.5813060998916626,,,,,,
899,34,135.775780261,1e-05,1736344691.1694973,,,,,,,,
899,35,135.884654681,,1736344691.278448,0.0,0.5533657073974609,,,,,,
949,36,141.640583098,1e-05,1736344697.0342624,,,,,,,,
949,37,141.749551269,,1736344697.143318,0.0,0.47316616773605347,,,,,,
999,38,147.497880721,1e-05,1736344702.8915436,,,,,,,,
999,39,147.606928878,,1736344703.0006485,0.0,0.28332284092903137,,,,,,
1049,40,153.354135958,1e-05,1736344708.7478747,,,,,,,,
1049,41,153.463321157,,1736344708.8570936,0.0,0.495683878660202,,,,,,
1099,42,159.203966918,1e-05,1736344714.597655,,,,,,,,
1099,43,159.313090346,,1736344714.7068586,0.0,0.7386378645896912,,,,,,
1149,44,165.058615813,1e-05,1736344720.4522974,,,,,,,,
1149,45,165.167927299,,1736344720.5615883,0.0,0.5564845204353333,,,,,,
1199,46,170.91457183,1e-05,1736344726.3082561,,,,,,,,
1199,47,171.023943233,,1736344726.4176376,0.0,0.5721175670623779,,,,,,
1249,48,176.781391578,1e-05,1736344732.1750631,,,,,,,,
1249,49,176.890485987,,1736344732.2842865,0.0,0.4177650511264801,,,,,,
1299,50,182.642641933,1e-05,1736344738.036369,,,,,,,,
1299,51,182.751952423,,1736344738.1456757,0.0,0.6426177024841309,,,,,,
1349,52,188.494504646,1e-05,1736344743.8882177,,,,,,,,
1349,53,188.603582877,,1736344743.9973395,0.0,0.2583697736263275,,,,,,
1399,54,194.347698247,1e-05,1736344749.7414298,,,,,,,,
1399,55,194.457069983,,1736344749.850833,0.0,0.5242576599121094,,,,,,
1449,56,200.201108256,1e-05,1736344755.5947325,,,,,,,,
1449,57,200.311219656,,1736344755.7049072,0.0,0.5526941418647766,,,,,,
1499,58,206.058921141,1e-05,1736344761.452543,,,,,,,,
1499,59,206.167576856,,1736344761.5613456,0.0,0.947071373462677,,,,,,
1549,60,211.923460301,1e-05,1736344767.3171442,,,,,,,,
1549,61,212.033187881,,1736344767.4269161,0.0,0.6912525296211243,,,,,,
1599,62,217.784862849,1e-05,1736344773.1785798,,,,,,,,
1599,63,217.894345125,,1736344773.2880073,0.0,0.37066054344177246,,,,,,
1649,64,223.648299405,1e-05,1736344779.0420234,,,,,,,,
1649,65,223.757390132,,1736344779.1512046,0.0,0.6975168585777283,,,,,,
1699,66,229.502049519,1e-05,1736344784.8956733,,,,,,,,
1699,67,229.610654072,,1736344785.0043745,0.0,0.6474984884262085,,,,,,
1749,68,235.353150304,1e-05,1736344790.7468758,,,,,,,,
1749,69,235.463189272,,1736344790.8570173,0.0,0.44787508249282837,,,,,,
1799,70,241.203341735,1e-05,1736344796.59705,,,,,,,,
1799,71,241.313112476,,1736344796.7068324,0.0,0.4590773582458496,,,,,,
1849,72,247.070870076,1e-05,1736344802.46457,,,,,,,,
1849,73,247.180169258,,1736344802.573931,0.0,0.925906240940094,,,,,,
1899,74,252.92958851,1e-05,1736344808.3233087,,,,,,,,
1899,75,253.038779446,,1736344808.4325252,0.0,0.48636820912361145,,,,,,
1949,76,258.795875286,1e-05,1736344814.1895595,,,,,,,,
1949,77,258.905252948,,1736344814.2989705,0.0,0.29329222440719604,,,,,,
1999,78,264.650532194,1e-05,1736344820.0442367,,,,,,,,
1999,79,264.759924779,,1736344820.1536202,0.0,0.8087295293807983,,,,,,
2049,80,270.508619517,1e-05,1736344825.902352,,,,,,,,
2049,81,270.617682572,,1736344826.0114677,0.0,0.47311559319496155,,,,,,
2099,82,276.373945952,1e-05,1736344831.7676382,,,,,,,,
2099,83,276.483580925,,1736344831.8772116,0.0,0.5411402583122253,,,,,,
2149,84,282.245717381,1e-05,1736344837.639416,,,,,,,,
2149,85,282.354325504,,1736344837.74811,0.0,0.36608296632766724,,,,,,
2199,86,288.082951275,1e-05,1736344843.4766324,,,,,,,,
2199,87,288.191848537,,1736344843.5856338,0.0,0.5861659049987793,,,,,,
2210,88,298.986631753,,1736344854.3803592,0.0,,0.854200005531311,0.5248558521270752,,,,
2210,89,326.63726887,,1736344882.031105,0.0,,,,0.8479292988777161,0.5463092923164368,,
2211,90,338.899069204,,1736344894.2927446,1.0,,,,,,0.8546000123023987,0.5243549942970276
