trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,35.524672824,1e-05,1736391524.5736806,,,,,,,,
49,1,35.6384812,,1736391524.687665,0.0,0.7465841770172119,,,,,,
99,2,41.599528618,1e-05,1736391530.648606,,,,,,,,
99,3,41.714121055,,1736391530.7633235,0.0,0.47572436928749084,,,,,,
149,4,47.695733996,1e-05,1736391536.7448556,,,,,,,,
149,5,47.809763942000004,,1736391536.8589637,0.0,1.0489928722381592,,,,,,
199,6,53.789005978,1e-05,1736391542.8380942,,,,,,,,
199,7,53.903822699,,1736391542.9529326,0.0,0.4567359685897827,,,,,,
249,8,59.879922425,1e-05,1736391548.9290175,,,,,,,,
249,9,59.994582033,,1736391549.0437257,0.0,0.4570505619049072,,,,,,
299,10,65.970671092,1e-05,1736391555.0197554,,,,,,,,
299,11,66.084531496,,1736391555.1336823,0.0,0.6969947218894958,,,,,,
349,12,72.058357177,1e-05,1736391561.107467,,,,,,,,
349,13,72.173098092,,1736391561.2222092,0.0,1.3102935552597046,,,,,,
399,14,78.149668673,1e-05,1736391567.1987548,,,,,,,,
399,15,78.26400381,,1736391567.313146,0.0,0.6139014363288879,,,,,,
449,16,84.246850101,1e-05,1736391573.295938,,,,,,,,
449,17,84.361194196,,1736391573.4104059,0.0,0.7183364629745483,,,,,,
499,18,90.333958145,1e-05,1736391579.3830676,,,,,,,,
499,19,90.448121043,,1736391579.4972563,0.0,0.5566044449806213,,,,,,
549,20,96.435403476,1e-05,1736391585.484458,,,,,,,,
549,21,96.549892647,,1736391585.599023,0.0,0.472953200340271,,,,,,
599,22,102.54048901,1e-05,1736391591.5895233,,,,,,,,
599,23,102.655554802,,1736391591.7046921,0.0,0.2715321481227875,,,,,,
649,24,108.640518081,1e-05,1736391597.6895869,,,,,,,,
649,25,108.755523854,,1736391597.80464,0.0,0.8241890072822571,,,,,,
699,26,114.741334523,1e-05,1736391603.79043,,,,,,,,
699,27,114.856110145,,1736391603.9053304,0.0,0.5915008187294006,,,,,,
749,28,120.847763608,1e-05,1736391609.896918,,,,,,,,
749,29,120.962701075,,1736391610.0118568,0.0,0.4017714560031891,,,,,,
799,30,126.958044571,1e-05,1736391616.0070457,,,,,,,,
799,31,127.072363421,,1736391616.1215234,0.0,0.5379185676574707,,,,,,
849,32,133.065949886,1e-05,1736391622.115006,,,,,,,,
849,33,133.180594418,,1736391622.2297175,0.0,0.5291858315467834,,,,,,
899,34,139.178036572,1e-05,1736391628.2270985,,,,,,,,
899,35,139.29286994,,1736391628.341999,0.0,0.4223136603832245,,,,,,
949,36,145.292165543,1e-05,1736391634.3413005,,,,,,,,
949,37,145.407160745,,1736391634.4563441,0.0,0.7142361998558044,,,,,,
999,38,151.397467041,1e-05,1736391640.446574,,,,,,,,
999,39,151.512544048,,1736391640.5616245,0.0,0.125324085354805,,,,,,
1049,40,157.511332755,1e-05,1736391646.5604067,,,,,,,,
1049,41,157.626426395,,1736391646.6755497,0.0,0.4614136219024658,,,,,,
1099,42,163.621638369,1e-05,1736391652.670712,,,,,,,,
1099,43,163.73658226,,1736391652.7856832,0.0,0.6806589961051941,,,,,,
1149,44,169.731802774,1e-05,1736391658.7808404,,,,,,,,
1149,45,169.846654173,,1736391658.8957355,0.0,0.6313661336898804,,,,,,
1199,46,175.842525258,1e-05,1736391664.8915875,,,,,,,,
