trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,40.575958548,1e-05,1736369286.8194833,,,,,,,,
49,1,40.686211975,,1736369286.9299595,0.0,0.5175186395645142,,,,,,
99,2,46.614852139,1e-05,1736369292.8585742,,,,,,,,
99,3,46.725287735,,1736369292.9690382,0.0,0.41635143756866455,,,,,,
149,4,52.708067301,1e-05,1736369298.951749,,,,,,,,
149,5,52.81810741,,1736369299.0617328,0.0,0.8536301851272583,,,,,,
199,6,58.82265109,1e-05,1736369305.066408,,,,,,,,
199,7,58.932431036,,1736369305.175835,0.0,0.42733511328697205,,,,,,
249,8,64.937233114,1e-05,1736369311.1809697,,,,,,,,
249,9,65.049373453,,1736369311.2931075,0.0,0.5805851817131042,,,,,,
299,10,71.069350724,1e-05,1736369317.3127615,,,,,,,,
299,11,71.180319227,,1736369317.4239683,0.0,0.6381328701972961,,,,,,
349,12,77.184103153,1e-05,1736369323.427848,,,,,,,,
349,13,77.293542779,,1736369323.5373483,0.0,0.6998119354248047,,,,,,
399,14,83.303812662,1e-05,1736369329.5474572,,,,,,,,
399,15,83.414345239,,1736369329.6581483,0.0,0.5880368947982788,,,,,,
449,16,89.416086015,1e-05,1736369335.6599212,,,,,,,,
449,17,89.525340327,,1736369335.7691717,0.0,0.39578959345817566,,,,,,
499,18,95.522361377,1e-05,1736369341.766042,,,,,,,,
499,19,95.633877766,,1736369341.877618,0.0,0.5102521777153015,,,,,,
549,20,101.588973027,1e-05,1736369347.83273,,,,,,,,
549,21,101.698491488,,1736369347.942278,0.0,0.34431058168411255,,,,,,
599,22,107.643386341,1e-05,1736369353.8869383,,,,,,,,
599,23,107.754547347,,1736369353.9982212,0.0,0.28519704937934875,,,,,,
649,24,113.727280022,1e-05,1736369359.9709883,,,,,,,,
649,25,113.839923119,,1736369360.083529,0.0,0.4305661618709564,,,,,,
699,26,119.805890004,1e-05,1736369366.049667,,,,,,,,
699,27,119.916880182,,1736369366.1605852,0.0,0.45237693190574646,,,,,,
749,28,125.887232483,1e-05,1736369372.130974,,,,,,,,
749,29,125.997976365,,1736369372.24174,0.0,0.49275022745132446,,,,,,
799,30,131.956456735,1e-05,1736369378.200193,,,,,,,,
799,31,132.066933502,,1736369378.3107018,0.0,0.4671749174594879,,,,,,
849,32,138.041047548,1e-05,1736369384.2847703,,,,,,,,
849,33,138.151427651,,1736369384.3950398,0.0,0.5813060998916626,,,,,,
899,34,144.179833549,1e-05,1736369390.4235806,,,,,,,,
899,35,144.28926664,,1736369390.5330343,0.0,0.5533657073974609,,,,,,
949,36,150.269393142,1e-05,1736369396.513022,,,,,,,,
