trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,34.275664809,1e-05,1736269354.269414,,,,,,,,
49,1,34.389472597,,1736269354.3834488,0.0,0.5082869529724121,,,,,,
99,2,40.347061629,1e-05,1736269360.3410234,,,,,,,,
99,3,40.460739954,,1736269360.4547563,0.0,0.13671520352363586,,,,,,
149,4,46.416275599,1e-05,1736269366.4101865,,,,,,,,
149,5,46.5303145,,1736269366.5242872,0.0,0.019237305968999863,,,,,,
199,6,52.480746887,1e-05,1736269372.4746566,,,,,,,,
199,7,52.594710867,,1736269372.5886283,0.0,0.10803379863500595,,,,,,
249,8,58.544569949,1e-05,1736269378.5384994,,,,,,,,
249,9,58.658896939,,1736269378.652918,0.0,0.15510398149490356,,,,,,
299,10,64.61787525,1e-05,1736269384.6117687,,,,,,,,
299,11,64.733264639,,1736269384.7271852,0.0,0.013370594009757042,,,,,,
349,12,70.689955024,1e-05,1736269390.6838639,,,,,,,,
349,13,70.804190142,,1736269390.7981641,0.0,0.013476329855620861,,,,,,
399,14,76.776404801,1e-05,1736269396.7703044,,,,,,,,
399,15,76.891016444,,1736269396.8849425,0.0,0.12182431668043137,,,,,,
449,16,82.857213343,1e-05,1736269402.8511066,,,,,,,,
449,17,82.971993661,,1736269402.9659047,0.0,0.004603256471455097,,,,,,
499,18,88.939085035,1e-05,1736269408.9329991,,,,,,,,
499,19,89.053412074,,1736269409.0473669,0.0,0.004870837554335594,,,,,,
549,20,95.019696657,1e-05,1736269415.0135467,,,,,,,,
549,21,95.133969454,,1736269415.1279376,0.0,0.012398670427501202,,,,,,
599,22,101.098814522,1e-05,1736269421.0926836,,,,,,,,
599,23,101.212897423,,1736269421.2068245,0.0,0.0025613135658204556,,,,,,
649,24,107.175511161,1e-05,1736269427.1694221,,,,,,,,
649,25,107.289708437,,1736269427.2836647,0.0,0.015124635770916939,,,,,,
699,26,113.256013439,1e-05,1736269433.2499404,,,,,,,,
699,27,113.370317885,,1736269433.3643181,0.0,0.0059821149334311485,,,,,,
749,28,119.318585105,1e-05,1736269439.3125014,,,,,,,,
749,29,119.365477868,,1736269439.3594635,0.0,0.06629693508148193,,,,,,
749,30,124.924972023,,1736269444.9188666,0.0,,0.9924924969673157,0.027977822348475456,,,,
749,31,165.333883002,,1736269485.3108096,0.0,,,,0.9744327664375305,0.1021333634853363,,
750,32,173.985566279,,1736269493.9794402,1.0,,,,,,0.9917417168617249,0.030912917107343674
