trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,32.932036213,1e-05,1736274049.554582,,,,,,,,
49,1,33.040050939,,1736274049.662802,0.0,2.2566065788269043,,,,,,
99,2,38.695251345,1e-05,1736274055.317922,,,,,,,,
99,3,38.803148786,,1736274055.4258413,0.0,2.153913974761963,,,,,,
149,4,44.462938116,1e-05,1736274061.0855649,,,,,,,,
149,5,44.571054971,,1736274061.1937733,0.0,1.7733758687973022,,,,,,
199,6,50.238312459,1e-05,1736274066.8609676,,,,,,,,
199,7,50.346694263,,1736274066.9694583,0.0,2.0567190647125244,,,,,,
249,8,56.013087859,1e-05,1736274072.6356807,,,,,,,,
249,9,56.121675161,,1736274072.7443879,0.0,2.2109415531158447,,,,,,
299,10,61.788065387,1e-05,1736274078.4107027,,,,,,,,
299,11,61.897284824,,1736274078.5199463,0.0,1.735023856163025,,,,,,
349,12,67.574944923,1e-05,1736274084.1976058,,,,,,,,
349,13,67.683412009,,1736274084.3061137,0.0,1.2439453601837158,,,,,,
399,14,73.359800025,1e-05,1736274089.9825058,,,,,,,,
399,15,73.468504899,,1736274090.0911732,0.0,1.789510726928711,,,,,,
449,16,79.152225071,1e-05,1736274095.7748673,,,,,,,,
449,17,79.260322835,,1736274095.8830948,0.0,1.7730697393417358,,,,,,
499,18,84.942727048,1e-05,1736274101.5654366,,,,,,,,
499,19,85.051347722,,1736274101.674026,0.0,1.6524924039840698,,,,,,
549,20,90.737423449,1e-05,1736274107.3601058,,,,,,,,
549,21,90.845945283,,1736274107.4685283,0.0,1.7237508296966553,,,,,,
599,22,96.534429163,1e-05,1736274113.1570425,,,,,,,,
599,23,96.643222848,,1736274113.2659209,0.0,1.3437528610229492,,,,,,
649,24,102.346003024,1e-05,1736274118.9686286,,,,,,,,
649,25,102.454431401,,1736274119.0771875,0.0,1.4756429195404053,,,,,,
699,26,108.142198333,1e-05,1736274124.7648547,,,,,,,,
699,27,108.25065632,,1736274124.8733735,0.0,1.0531022548675537,,,,,,
749,28,113.914536489,1e-05,1736274130.5372226,,,,,,,,
749,29,113.962463958,,1736274130.5852547,0.0,1.912318468093872,,,,,,
749,30,119.169354334,,1736274135.7920368,0.0,,0.5762012004852295,1.4918544292449951,,,,
749,31,145.52620197,,1736274162.1302202,0.0,,,,0.5098848938941956,1.7639670372009277,,
750,32,153.328972908,,1736274169.9515932,1.0,,,,,,0.577327311038971,1.4922889471054077
