trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,34.1887868,1e-05,1736277964.951648,,,,,,,,
49,1,34.302924573,,1736277965.0659826,0.0,0.5082869529724121,,,,,,
99,2,40.267986984,1e-05,1736277971.0309722,,,,,,,,
99,3,40.382309714,,1736277971.1453974,0.0,0.13671520352363586,,,,,,
149,4,46.340000859,1e-05,1736277977.1029472,,,,,,,,
149,5,46.454458232,,1736277977.217406,0.0,0.019237305968999863,,,,,,
199,6,52.414611109,1e-05,1736277983.1775744,,,,,,,,
199,7,52.528795227,,1736277983.2918365,0.0,0.10803379863500595,,,,,,
249,8,58.499384321,1e-05,1736277989.2623503,,,,,,,,
249,9,58.61391954,,1736277989.3769948,0.0,0.15510398149490356,,,,,,
299,10,64.587360057,1e-05,1736277995.3503022,,,,,,,,
299,11,64.701992389,,1736277995.4650948,0.0,0.013370594009757042,,,,,,
349,12,70.678645937,1e-05,1736278001.441559,,,,,,,,
349,13,70.793226201,,1736278001.5562243,0.0,0.013476329855620861,,,,,,
399,14,76.763648771,1e-05,1736278007.5265293,,,,,,,,
399,15,76.878136711,,1736278007.6411939,0.0,0.12182431668043137,,,,,,
449,16,82.850251423,1e-05,1736278013.6132379,,,,,,,,
449,17,82.965452445,,1736278013.7285337,0.0,0.004603256471455097,,,,,,
499,18,88.942173004,1e-05,1736278019.705203,,,,,,,,
499,19,89.05742939,,1736278019.8205106,0.0,0.004870837554335594,,,,,,
549,20,95.030451924,1e-05,1736278025.7934,,,,,,,,
549,21,95.145265579,,1736278025.9083486,0.0,0.012398670427501202,,,,,,
599,22,101.122052639,1e-05,1736278031.8849673,,,,,,,,
599,23,101.236262038,,1736278031.9993365,0.0,0.0025613135658204556,,,,,,
649,24,107.202518137,1e-05,1736278037.9654524,,,,,,,,
649,25,107.316667062,,1736278038.079741,0.0,0.015124635770916939,,,,,,
699,26,113.284473076,1e-05,1736278044.0474207,,,,,,,,
699,27,113.399329171,,1736278044.1623025,0.0,0.0059821149334311485,,,,,,
749,28,119.366343641,1e-05,1736278050.1293273,,,,,,,,
749,29,119.413925977,,1736278050.176981,0.0,0.06629693508148193,,,,,,
749,30,124.526859047,,1736278055.289858,0.0,,0.9924924969673157,0.027977822348475456,,,,
749,31,163.238744939,,1736278093.9880545,0.0,,,,0.9744327664375305,0.1021333634853363,,
799,32,170.80335317,1e-05,1736278101.5662746,,,,,,,,
799,33,170.918115868,,1736278101.6811662,1.0,0.005022014025598764,,,,,,
849,34,176.91800889,1e-05,1736278107.6810136,,,,,,,,
849,35,177.032159009,,1736278107.7952094,1.0,0.004209466278553009,,,,,,
899,36,183.020551892,1e-05,1736278113.7834976,,,,,,,,
899,37,183.135447194,,1736278113.8984256,1.0,0.001000835094600916,,,,,,
949,38,189.135819333,1e-05,1736278119.8988082,,,,,,,,
949,39,189.250208126,,1736278120.0132113,1.0,0.0049918279983103275,,,,,,
999,40,195.248768806,1e-05,1736278126.0117311,,,,,,,,
999,41,195.363263068,,1736278126.126252,1.0,0.001697802566923201,,,,,,
1049,42,201.351690126,1e-05,1736278132.1146405,,,,,,,,
1049,43,201.466435151,,1736278132.2294998,1.0,0.0026479302905499935,,,,,,
1099,44,207.465228096,1e-05,1736278138.2282114,,,,,,,,
1099,45,207.579823071,,1736278138.3428571,1.0,0.009823030792176723,,,,,,
1149,46,213.575721498,1e-05,1736278144.3386476,,,,,,,,
