trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,34.88865063,1e-05,1736290834.2030442,,,,,,,,
49,1,34.996633153,,1736290834.3112,0.0,2.2566065788269043,,,,,,
99,2,40.674393812,1e-05,1736290839.9888713,,,,,,,,
99,3,40.782453499,,1736290840.0970733,0.0,2.153913974761963,,,,,,
149,4,46.464290973,1e-05,1736290845.7787583,,,,,,,,
149,5,46.572549605,,1736290845.887125,0.0,1.7733758687973022,,,,,,
199,6,52.255834427,1e-05,1736290851.5703099,,,,,,,,
199,7,52.364422556,,1736290851.6790404,0.0,2.0567190647125244,,,,,,
249,8,58.060254458,1e-05,1736290857.3747427,,,,,,,,
249,9,58.168632383,,1736290857.48323,0.0,2.2109415531158447,,,,,,
299,10,63.866820866,1e-05,1736290863.181369,,,,,,,,
299,11,63.975201347,,1736290863.2897954,0.0,1.735023856163025,,,,,,
349,12,69.671276384,1e-05,1736290868.985694,,,,,,,,
349,13,69.779536991,,1736290869.0940807,0.0,1.2439453601837158,,,,,,
399,14,75.473851914,1e-05,1736290874.7883902,,,,,,,,
399,15,75.582600436,,1736290874.897207,0.0,1.789510726928711,,,,,,
449,16,81.278112737,1e-05,1736290880.5926266,,,,,,,,
449,17,81.386437785,,1736290880.7009857,0.0,1.7730697393417358,,,,,,
499,18,87.077567558,1e-05,1736290886.3920708,,,,,,,,
499,19,87.186479777,,1736290886.501033,0.0,1.6524924039840698,,,,,,
549,20,92.879376204,1e-05,1736290892.1939073,,,,,,,,
549,21,92.988011765,,1736290892.3025992,0.0,1.7237508296966553,,,,,,
599,22,98.696043299,1e-05,1736290898.0105453,,,,,,,,
599,23,98.80447036,,1736290898.1190674,0.0,1.3437528610229492,,,,,,
649,24,104.508555493,1e-05,1736290903.8230197,,,,,,,,
649,25,104.617076991,,1736290903.9316452,0.0,1.4756429195404053,,,,,,
699,26,110.318432771,1e-05,1736290909.6329162,,,,,,,,
699,27,110.427090705,,1736290909.7416344,0.0,1.0531022548675537,,,,,,
749,28,116.103686816,1e-05,1736290915.4181876,,,,,,,,
749,29,116.1469474,,1736290915.4615173,0.0,1.912318468093872,,,,,,
749,30,121.649125417,,1736290920.9636314,0.0,,0.5762012004852295,1.4918544292449951,,,,
749,31,148.378143567,,1736290947.6927516,0.0,,,,0.5098848938941956,1.7639670372009277,,
799,32,156.099210944,1e-05,1736290955.4135888,,,,,,,,
799,33,156.207668757,,1736290955.5222611,1.0,1.1618958711624146,,,,,,
849,34,161.889840397,1e-05,1736290961.2043262,,,,,,,,
849,35,161.998391384,,1736290961.3129761,1.0,1.4759420156478882,,,,,,
899,36,167.682240729,1e-05,1736290966.9967332,,,,,,,,
899,37,167.790875794,,1736290967.1054351,1.0,1.4445335865020752,,,,,,
949,38,173.475031954,1e-05,1736290972.789515,,,,,,,,
949,39,173.583526697,,1736290972.8981247,1.0,1.1912645101547241,,,,,,
999,40,179.276907455,1e-05,1736290978.5913992,,,,,,,,
999,41,179.385647798,,1736290978.7002282,1.0,1.5959434509277344,,,,,,
1049,42,185.08384859,1e-05,1736290984.3982654,,,,,,,,
1049,43,185.192141325,,1736290984.5067403,1.0,1.6401216983795166,,,,,,
1099,44,190.888131011,1e-05,1736290990.2025492,,,,,,,,
1099,45,190.996387879,,1736290990.3110006,1.0,1.4550727605819702,,,,,,
1149,46,196.680810197,1e-05,1736290995.9953039,,,,,,,,
1149,47,196.789287018,,1736290996.1038728,1.0,1.4358652830123901,,,,,,
1199,48,202.47715423,1e-05,1736291001.7916703,,,,,,,,
1199,49,202.586149613,,1736291001.9007015,1.0,1.4495025873184204,,,,,,
1249,50,208.282412349,1e-05,1736291007.59688,,,,,,,,
1249,51,208.390772452,,1736291007.7053354,1.0,1.311246395111084,,,,,,
1299,52,214.08755456,1e-05,1736291013.40211,,,,,,,,
1299,53,214.196342505,,1736291013.5109062,1.0,1.1780802011489868,,,,,,
1349,54,219.895203998,1e-05,1736291019.2096615,,,,,,,,
1349,55,220.003858493,,1736291019.3184483,1.0,1.1035265922546387,,,,,,
1399,56,225.698510977,1e-05,1736291025.0129826,,,,,,,,
1399,57,225.806869477,,1736291025.1214406,1.0,1.0048850774765015,,,,,,
1449,58,231.506158699,1e-05,1736291030.820613,,,,,,,,
1449,59,231.614500148,,1736291030.9291189,1.0,1.0995508432388306,,,,,,
1499,60,237.301530413,1e-05,1736291036.6160395,,,,,,,,
1499,61,237.333613311,,1736291036.6482234,1.0,0.9161151647567749,,,,,,
1499,62,242.905854249,,1736291042.2200599,1.0,,0.6261261105537415,1.2081022262573242,,,,
1499,63,270.776953165,,1736291070.0914664,1.0,,,,0.6182432174682617,1.3001699447631836,,
1549,64,278.389024285,1e-05,1736291077.7034478,,,,,,,,
1549,65,278.497665118,,1736291077.8122194,2.0,1.25063955783844,,,,,,
1599,66,284.204161984,1e-05,1736291083.5186536,,,,,,,,
1599,67,284.312122562,,1736291083.6266415,2.0,1.292397379875183,,,,,,
1649,68,290.012828931,1e-05,1736291089.3273318,,,,,,,,
1649,69,290.120912731,,1736291089.4355228,2.0,1.1370010375976562,,,,,,
1699,70,295.814755623,1e-05,1736291095.129205,,,,,,,,
1699,71,295.923296118,,1736291095.2378974,2.0,0.9810891151428223,,,,,,
1749,72,301.637121116,1e-05,1736291100.9516258,,,,,,,,
1749,73,301.745853602,,1736291101.060468,2.0,0.9354917407035828,,,,,,
1799,74,307.438522475,1e-05,1736291106.7530124,,,,,,,,
1799,75,307.546556753,,1736291106.861167,2.0,0.8703405857086182,,,,,,
1849,76,313.238724031,1e-05,1736291112.5532155,,,,,,,,
1849,77,313.347540264,,1736291112.6620524,2.0,1.1150537729263306,,,,,,
1899,78,319.047841612,1e-05,1736291118.3623126,,,,,,,,
1899,79,319.156339339,,1736291118.470907,2.0,0.9888062477111816,,,,,,
1949,80,324.857828439,1e-05,1736291124.1723316,,,,,,,,
1949,81,324.966036964,,1736291124.2806468,2.0,1.206101417541504,,,,,,
1999,82,330.663860037,1e-05,1736291129.9783664,,,,,,,,
1999,83,330.77236048,,1736291130.0869215,2.0,1.0611402988433838,,,,,,
2049,84,336.469777978,1e-05,1736291135.7842681,,,,,,,,
2049,85,336.577933093,,1736291135.8924878,2.0,0.9078332781791687,,,,,,
2099,86,342.273635281,1e-05,1736291141.588097,,,,,,,,
2099,87,342.381764549,,1736291141.696356,2.0,1.086726427078247,,,,,,
2149,88,348.074035881,1e-05,1736291147.3885024,,,,,,,,
2149,89,348.18223536,,1736291147.4967992,2.0,0.9284116625785828,,,,,,
2199,90,353.878218823,1e-05,1736291153.1927142,,,,,,,,
2199,91,353.986437168,,1736291153.30104,2.0,1.0124322175979614,,,,,,
2249,92,359.677522195,1e-05,1736291158.9920733,,,,,,,,
2249,93,359.717591264,,1736291159.0321953,2.0,0.6578104496002197,,,,,,
2249,94,365.313780288,,1736291164.6282616,2.0,,0.6734234094619751,1.0418909788131714,,,,
2249,95,391.807943624,,1736291191.1224005,2.0,,,,0.6666666865348816,1.0875167846679688,,
2299,96,399.56563547,1e-05,1736291198.8800282,,,,,,,,
2299,97,399.674302978,,1736291198.9889019,3.0,1.0433813333511353,,,,,,
2349,98,405.370786639,1e-05,1736291204.6852727,,,,,,,,
2349,99,405.479213487,,1736291204.7937796,3.0,0.8891497254371643,,,,,,
2399,100,411.17684393,1e-05,1736291210.4913425,,,,,,,,
2399,101,411.285602269,,1736291210.60014,3.0,1.1881866455078125,,,,,,
2449,102,416.991379734,1e-05,1736291216.3058667,,,,,,,,
2449,103,417.100217934,,1736291216.414796,3.0,0.9448792338371277,,,,,,
2499,104,422.805939106,1e-05,1736291222.120424,,,,,,,,
2499,105,422.914310871,,1736291222.2289214,3.0,1.2578222751617432,,,,,,
2549,106,428.62126734,1e-05,1736291227.9357634,,,,,,,,
2549,107,428.729887211,,1736291228.0444896,3.0,0.8019938468933105,,,,,,
2599,108,434.441760598,1e-05,1736291233.7562518,,,,,,,,
2599,109,434.5501728,,1736291233.8647635,3.0,0.8900474309921265,,,,,,
2649,110,440.274591703,1e-05,1736291239.58913,,,,,,,,
2649,111,440.383688007,,1736291239.6982927,3.0,0.7892721891403198,,,,,,
2699,112,446.089450866,1e-05,1736291245.4039316,,,,,,,,
2699,113,446.197631484,,1736291245.5122333,3.0,0.6796055436134338,,,,,,
2749,114,451.8967441,1e-05,1736291251.2112417,,,,,,,,
2749,115,452.005381535,,1736291251.3199892,3.0,1.2081518173217773,,,,,,
2799,116,457.718954224,1e-05,1736291257.0334039,,,,,,,,
2799,117,457.827191629,,1736291257.1417518,3.0,0.8429102897644043,,,,,,
2849,118,463.551142261,1e-05,1736291262.8655822,,,,,,,,
2849,119,463.659820031,,1736291262.9743884,3.0,1.155602216720581,,,,,,
2899,120,469.382961147,1e-05,1736291268.6974695,,,,,,,,
