trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,31.976416846,1e-05,1736352742.074669,,,,,,,,
49,1,32.09016196,,1736352742.18858,0.0,0.2749890387058258,,,,,,
99,2,38.047197474,1e-05,1736352748.1455147,,,,,,,,
99,3,38.161394472,,1736352748.2597954,0.0,0.23077727854251862,,,,,,
149,4,44.104234575,1e-05,1736352754.2025304,,,,,,,,
149,5,44.217716769,,1736352754.3161695,0.0,0.10570242255926132,,,,,,
199,6,50.166683413,1e-05,1736352760.2650237,,,,,,,,
199,7,50.280912154,,1736352760.3793848,0.0,0.14170627295970917,,,,,,
249,8,56.235517606,1e-05,1736352766.333855,,,,,,,,
249,9,56.349741445,,1736352766.4482148,0.0,0.20976684987545013,,,,,,
299,10,62.301678604,1e-05,1736352772.4000516,,,,,,,,
299,11,62.415856865,,1736352772.514182,0.0,0.3155502378940582,,,,,,
349,12,68.381576078,1e-05,1736352778.4799416,,,,,,,,
349,13,68.496024362,,1736352778.5944128,0.0,0.09110350161790848,,,,,,
399,14,74.447116947,1e-05,1736352784.54544,,,,,,,,
399,15,74.56096881,,1736352784.6593418,0.0,0.061706069856882095,,,,,,
449,16,80.515837534,1e-05,1736352790.6141653,,,,,,,,
449,17,80.631590881,,1736352790.7298937,0.0,0.060295239090919495,,,,,,
499,18,86.599205531,1e-05,1736352796.6975677,,,,,,,,
499,19,86.713606849,,1736352796.8120084,0.0,0.037694692611694336,,,,,,
549,20,92.679309754,1e-05,1736352802.777661,,,,,,,,
549,21,92.793760401,,1736352802.8921268,0.0,0.07108177244663239,,,,,,
599,22,98.756464705,1e-05,1736352808.8547971,,,,,,,,
599,23,98.870945386,,1736352808.969395,0.0,0.03173459693789482,,,,,,
649,24,104.843944052,1e-05,1736352814.9422967,,,,,,,,
649,25,104.9582811,,1736352815.0566628,0.0,0.0025753057561814785,,,,,,
699,26,110.932831371,1e-05,1736352821.031158,,,,,,,,
699,27,111.047023224,,1736352821.1454291,0.0,0.01696205511689186,,,,,,
749,28,117.016108043,1e-05,1736352827.11447,,,,,,,,
749,29,117.130480763,,1736352827.2289002,0.0,0.003868469735607505,,,,,,
799,30,123.105091674,1e-05,1736352833.2034526,,,,,,,,
799,31,123.219339827,,1736352833.3177814,0.0,0.04916711151599884,,,,,,
849,32,129.192751801,1e-05,1736352839.2910373,,,,,,,,
849,33,129.306828119,,1736352839.4052746,0.0,0.19598446786403656,,,,,,
899,34,135.278358777,1e-05,1736352845.3766897,,,,,,,,
899,35,135.393135276,,1736352845.4915168,0.0,0.15776732563972473,,,,,,
949,36,141.366818364,1e-05,1736352851.4651592,,,,,,,,
949,37,141.481574573,,1736352851.579902,0.0,0.1313832551240921,,,,,,
999,38,147.461819863,1e-05,1736352857.560139,,,,,,,,
999,39,147.576313566,,1736352857.6747613,0.0,0.0020575730595737696,,,,,,
1049,40,153.553087263,1e-05,1736352863.6514566,,,,,,,,
1049,41,153.667891567,,1736352863.7663383,0.0,0.002254405291751027,,,,,,
1099,42,159.638253918,1e-05,1736352869.7365904,,,,,,,,
1099,43,159.75311225,,1736352869.8515112,0.0,0.16914555430412292,,,,,,
1149,44,165.725827285,1e-05,1736352875.8241901,,,,,,,,
1149,45,165.840401362,,1736352875.9388254,0.0,0.10188684612512589,,,,,,
1199,46,171.816767645,1e-05,1736352881.9150834,,,,,,,,
1199,47,171.930991743,,1736352882.0294323,0.0,0.1486012190580368,,,,,,
1249,48,177.896281218,1e-05,1736352887.9946325,,,,,,,,
1249,49,178.010632903,,1736352888.10904,0.0,0.0742749571800232,,,,,,
1299,50,183.97881667,1e-05,1736352894.0771358,,,,,,,,
1299,51,184.092954382,,1736352894.1913283,0.0,0.2357533872127533,,,,,,
1349,52,190.060903706,1e-05,1736352900.1592684,,,,,,,,
1349,53,190.175144288,,1736352900.2736027,0.0,0.038357000797986984,,,,,,
1399,54,196.138969537,1e-05,1736352906.2373607,,,,,,,,
1399,55,196.253085242,,1736352906.3515,0.0,0.21051764488220215,,,,,,
1449,56,202.211700852,1e-05,1736352912.31004,,,,,,,,
1449,57,202.325977106,,1736352912.4243827,0.0,0.19138391315937042,,,,,,
1499,58,208.302713796,1e-05,1736352918.4010592,,,,,,,,
1499,59,208.416902354,,1736352918.515292,0.0,0.03677857294678688,,,,,,
1549,60,214.389663542,1e-05,1736352924.487999,,,,,,,,
1549,61,214.503914063,,1736352924.6023486,0.0,0.013737399131059647,,,,,,
1599,62,220.481724492,1e-05,1736352930.5800803,,,,,,,,
1599,63,220.596276016,,1736352930.6945815,0.0,0.14143599569797516,,,,,,
1649,64,226.58004906,1e-05,1736352936.6784124,,,,,,,,
1649,65,226.694478482,,1736352936.7928572,0.0,0.0024113713297992945,,,,,,
1699,66,232.673769578,1e-05,1736352942.7721171,,,,,,,,
1699,67,232.788248472,,1736352942.8866322,0.0,0.0015268431743606925,,,,,,
1718,68,243.323114636,,1736352953.4214935,0.0,,0.991599977016449,0.03506508842110634,,,,
1718,69,288.865998653,,1736352998.9644635,0.0,,,,0.9587636590003967,0.1393125057220459,,
1719,70,299.725601477,,1736353009.8239279,1.0,,,,,,0.9908000230789185,0.03780137747526169
