trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.474488466,1e-05,1736346445.5112202,,,,,,,,
49,1,33.582478106,,1736346445.6193328,0.0,2.465515375137329,,,,,,
99,2,39.251975889,1e-05,1736346451.2887268,,,,,,,,
99,3,39.360562208,,1736346451.3973794,0.0,2.3515141010284424,,,,,,
149,4,45.037125741,1e-05,1736346457.073916,,,,,,,,
149,5,45.145669212,,1736346457.1825347,0.0,2.4416611194610596,,,,,,
199,6,50.828525808,1e-05,1736346462.8653362,,,,,,,,
199,7,50.937048967,,1736346462.9738398,0.0,2.326521396636963,,,,,,
249,8,56.613050986,1e-05,1736346468.6498353,,,,,,,,
249,9,56.721854847,,1736346468.7586434,0.0,2.3442726135253906,,,,,,
299,10,62.403255352,1e-05,1736346474.4400299,,,,,,,,
299,11,62.511642691,,1736346474.5484571,0.0,2.3145511150360107,,,,,,
349,12,68.183477486,1e-05,1736346480.2202759,,,,,,,,
349,13,68.291858938,,1736346480.328705,0.0,2.3471741676330566,,,,,,
399,14,73.967930457,1e-05,1736346486.0047455,,,,,,,,
399,15,74.076360924,,1736346486.1132064,0.0,2.238140821456909,,,,,,
449,16,79.746464261,1e-05,1736346491.7832685,,,,,,,,
449,17,79.854617992,,1736346491.8914373,0.0,2.204141139984131,,,,,,
499,18,85.525270889,1e-05,1736346497.5620782,,,,,,,,
499,19,85.633944637,,1736346497.6707473,0.0,2.2903432846069336,,,,,,
549,20,91.319379689,1e-05,1736346503.356179,,,,,,,,
549,21,91.427858002,,1736346503.464708,0.0,2.089977741241455,,,,,,
599,22,97.118059136,1e-05,1736346509.154861,,,,,,,,
599,23,97.226744534,,1736346509.263601,0.0,2.112009286880493,,,,,,
649,24,102.919311387,1e-05,1736346514.9561093,,,,,,,,
649,25,103.028219,,1736346515.0650508,0.0,2.067152738571167,,,,,,
699,26,108.721752216,1e-05,1736346520.758515,,,,,,,,
699,27,108.830568653,,1736346520.8674326,0.0,2.1069178581237793,,,,,,
749,28,114.524619838,1e-05,1736346526.5614014,,,,,,,,
749,29,114.633190507,,1736346526.669979,0.0,2.184555768966675,,,,,,
799,30,120.327027051,1e-05,1736346532.3637834,,,,,,,,
799,31,120.435537561,,1736346532.4723823,0.0,1.9947419166564941,,,,,,
849,32,126.137136484,1e-05,1736346538.173941,,,,,,,,
849,33,126.245810027,,1736346538.282574,0.0,2.0972652435302734,,,,,,
899,34,131.932308711,1e-05,1736346543.9690588,,,,,,,,
899,35,132.040936714,,1736346544.0777547,0.0,2.0781726837158203,,,,,,
949,36,137.74185794,1e-05,1736346549.7786005,,,,,,,,
949,37,137.85029453,,1736346549.8870971,0.0,1.9920240640640259,,,,,,
999,38,143.547936676,1e-05,1736346555.584777,,,,,,,,
999,39,143.656625877,,1736346555.6934893,0.0,2.0919387340545654,,,,,,
1049,40,149.359096741,1e-05,1736346561.3959296,,,,,,,,
1049,41,149.4680308,,1736346561.504811,0.0,2.1340861320495605,,,,,,
1099,42,155.173374058,1e-05,1736346567.21013,,,,,,,,
1099,43,155.282042413,,1736346567.318881,0.0,2.1447415351867676,,,,,,
1149,44,160.98897892,1e-05,1736346573.025786,,,,,,,,
1149,45,161.097729085,,1736346573.1345863,0.0,2.0294461250305176,,,,,,
1199,46,166.799473799,1e-05,1736346578.8362784,,,,,,,,
1199,47,166.908170922,,1736346578.9449997,0.0,1.8795157670974731,,,,,,
1249,48,172.601627795,1e-05,1736346584.638397,,,,,,,,
1249,49,172.71009359,,1736346584.7469845,0.0,2.0923845767974854,,,,,,
1299,50,178.419821715,1e-05,1736346590.4565573,,,,,,,,
1299,51,178.52832707,,1736346590.565143,0.0,2.029448986053467,,,,,,
1349,52,184.232029327,1e-05,1736346596.26876,,,,,,,,
1349,53,184.340927469,,1736346596.3777082,0.0,1.8682187795639038,,,,,,
1399,54,190.038404901,1e-05,1736346602.0751927,,,,,,,,
1399,55,190.147464665,,1736346602.1842556,0.0,1.8950880765914917,,,,,,
1449,56,195.846917782,1e-05,1736346607.8836653,,,,,,,,
1449,57,195.955902163,,1736346607.99271,0.0,1.880018949508667,,,,,,
1499,58,201.651272756,1e-05,1736346613.6880574,,,,,,,,
1499,59,201.75974515,,1736346613.7965899,0.0,1.8615425825119019,,,,,,
1549,60,207.46034641,1e-05,1736346619.4971433,,,,,,,,
1549,61,207.568887491,,1736346619.605705,0.0,1.9591377973556519,,,,,,
1599,62,213.27981816,1e-05,1736346625.3166246,,,,,,,,
1599,63,213.388581006,,1736346625.4254444,0.0,1.7920653820037842,,,,,,
1649,64,219.100859556,1e-05,1736346631.1375992,,,,,,,,
1649,65,219.209791548,,1736346631.2466252,0.0,1.8173950910568237,,,,,,
1699,66,224.928902828,1e-05,1736346636.9656572,,,,,,,,
1699,67,225.037698513,,1736346637.0745995,0.0,1.97012460231781,,,,,,
1718,68,235.831851541,,1736346647.8685904,0.0,,0.430400013923645,1.8428786993026733,,,,
1718,69,262.340132016,,1736346674.3525405,0.0,,,,0.2674545347690582,2.093370199203491,,
1719,70,273.85645606,,1736346685.893247,1.0,,,,,,0.42739999294281006,1.8464322090148926
