trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,32.944398548,1e-05,1736398005.8263466,,,,,,,,
49,1,33.058795506,,1736398005.9408696,0.0,0.2749890387058258,,,,,,
99,2,39.020077883,1e-05,1736398011.9022129,,,,,,,,
99,3,39.133819079,,1736398012.0159912,0.0,0.23077727854251862,,,,,,
149,4,45.083870788,1e-05,1736398017.96599,,,,,,,,
149,5,45.197997324,,1736398018.080163,0.0,0.10570242255926132,,,,,,
199,6,51.148713349,1e-05,1736398024.0307822,,,,,,,,
199,7,51.262589474,,1736398024.1447787,0.0,0.14170627295970917,,,,,,
249,8,57.216191346,1e-05,1736398030.0982916,,,,,,,,
249,9,57.330532731,,1736398030.2126813,0.0,0.20976684987545013,,,,,,
299,10,63.290416083,1e-05,1736398036.1724892,,,,,,,,
299,11,63.404560256,,1736398036.286728,0.0,0.3155502378940582,,,,,,
349,12,69.363362833,1e-05,1736398042.245484,,,,,,,,
349,13,69.477380787,,1736398042.359536,0.0,0.09110350161790848,,,,,,
399,14,75.430374799,1e-05,1736398048.3124518,,,,,,,,
399,15,75.544687705,,1736398048.4268494,0.0,0.061706069856882095,,,,,,
449,16,81.503479342,1e-05,1736398054.3856268,,,,,,,,
449,17,81.617715802,,1736398054.4999573,0.0,0.060295239090919495,,,,,,
499,18,87.574049975,1e-05,1736398060.4562051,,,,,,,,
499,19,87.688269461,,1736398060.5704424,0.0,0.037694692611694336,,,,,,
549,20,93.649250953,1e-05,1736398066.5313783,,,,,,,,
549,21,93.763421456,,1736398066.6455014,0.0,0.07108177244663239,,,,,,
599,22,99.728478554,1e-05,1736398072.610524,,,,,,,,
599,23,99.843128174,,1736398072.7252958,0.0,0.03173459693789482,,,,,,
649,24,105.807718538,1e-05,1736398078.6897984,,,,,,,,
649,25,105.921943248,,1736398078.804138,0.0,0.0025753057561814785,,,,,,
699,26,111.889588305,1e-05,1736398084.7716472,,,,,,,,
699,27,112.00375193,,1736398084.8859153,0.0,0.01696205511689186,,,,,,
749,28,117.972256091,1e-05,1736398090.8543715,,,,,,,,
749,29,118.086553064,,1736398090.9687376,0.0,0.003868469735607505,,,,,,
799,30,124.058442672,1e-05,1736398096.9405496,,,,,,,,
799,31,124.172502107,,1736398097.054633,0.0,0.04916711151599884,,,,,,
849,32,130.137987713,1e-05,1736398103.0201154,,,,,,,,
849,33,130.252390631,,1736398103.1342838,0.0,0.19598446786403656,,,,,,
899,34,136.22474418,1e-05,1736398109.106799,,,,,,,,
899,35,136.33898938,,1736398109.2211711,0.0,0.15776732563972473,,,,,,
949,36,142.312327714,1e-05,1736398115.1943955,,,,,,,,
949,37,142.426393656,,1736398115.30859,0.0,0.1313832551240921,,,,,,
999,38,148.400114736,1e-05,1736398121.282233,,,,,,,,
999,39,148.514311171,,1736398121.3964846,0.0,0.0020575730595737696,,,,,,
1049,40,154.484543094,1e-05,1736398127.36663,,,,,,,,
