trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.469427208,1e-05,1736375653.774494,,,,,,,,
49,1,33.578108836,,1736375653.8834393,0.0,2.465515375137329,,,,,,
99,2,39.255520356,1e-05,1736375659.560722,,,,,,,,
99,3,39.364108179,,1736375659.6694083,0.0,2.3515141010284424,,,,,,
149,4,45.044138386,1e-05,1736375665.3493767,,,,,,,,
149,5,45.152661137,,1736375665.457959,0.0,2.4416611194610596,,,,,,
199,6,50.831448219,1e-05,1736375671.1367078,,,,,,,,
199,7,50.939859412,,1736375671.245204,0.0,2.326521396636963,,,,,,
249,8,56.620077643,1e-05,1736375676.9253218,,,,,,,,
249,9,56.728218098,,1736375677.0335424,0.0,2.3442726135253906,,,,,,
299,10,62.410308325,1e-05,1736375682.7155325,,,,,,,,
299,11,62.518844063,,1736375682.824186,0.0,2.3145511150360107,,,,,,
349,12,68.203506519,1e-05,1736375688.5087457,,,,,,,,
349,13,68.312134871,,1736375688.6174343,0.0,2.3471741676330566,,,,,,
399,14,73.993114063,1e-05,1736375694.2983067,,,,,,,,
399,15,74.101169671,,1736375694.4064856,0.0,2.238140821456909,,,,,,
449,16,79.771953115,1e-05,1736375700.077183,,,,,,,,
449,17,79.879885253,,1736375700.185198,0.0,2.204141139984131,,,,,,
499,18,85.562264377,1e-05,1736375705.867491,,,,,,,,
499,19,85.670754302,,1736375705.9758844,0.0,2.2903432846069336,,,,,,
549,20,91.360456464,1e-05,1736375711.6657023,,,,,,,,
549,21,91.46919189,,1736375711.7745285,0.0,2.089977741241455,,,,,,
599,22,97.159642899,1e-05,1736375717.4648547,,,,,,,,
599,23,97.268100835,,1736375717.5734458,0.0,2.112009286880493,,,,,,
649,24,102.954236764,1e-05,1736375723.2595105,,,,,,,,
649,25,103.062663983,,1736375723.367974,0.0,2.067152738571167,,,,,,
699,26,108.752878994,1e-05,1736375729.0581048,,,,,,,,
699,27,108.861613089,,1736375729.1669152,0.0,2.1069178581237793,,,,,,
749,28,114.550759929,1e-05,1736375734.8559854,,,,,,,,
749,29,114.659200945,,1736375734.9644992,0.0,2.184555768966675,,,,,,
799,30,120.347980938,1e-05,1736375740.6531925,,,,,,,,
799,31,120.456355119,,1736375740.7616765,0.0,1.9947419166564941,,,,,,
849,32,126.144305587,1e-05,1736375746.4495122,,,,,,,,
849,33,126.252849317,,1736375746.5581572,0.0,2.0972652435302734,,,,,,
899,34,131.937070431,1e-05,1736375752.242292,,,,,,,,
899,35,132.045713547,,1736375752.3510475,0.0,2.0781726837158203,,,,,,
949,36,137.74091175,1e-05,1736375758.046164,,,,,,,,
949,37,137.849717603,,1736375758.1549625,0.0,1.9920240640640259,,,,,,
999,38,143.53611005,1e-05,1736375763.841302,,,,,,,,
999,39,143.644590703,,1736375763.9499443,0.0,2.0919387340545654,,,,,,
1049,40,149.330566007,1e-05,1736375769.6358306,,,,,,,,
1049,41,149.438625431,,1736375769.7439606,0.0,2.1340861320495605,,,,,,
