trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.864893267,1e-05,1736270382.9608436,,,,,,,,
49,1,33.978977454,,1736270383.0751238,0.0,0.2605974078178406,,,,,,
99,2,39.921714554,1e-05,1736270389.0177975,,,,,,,,
99,3,40.035596354,,1736270389.1317518,0.0,0.19022637605667114,,,,,,
149,4,45.974334435,1e-05,1736270395.0704072,,,,,,,,
149,5,46.088347011,,1736270395.1844904,0.0,0.1691851019859314,,,,,,
199,6,52.022999401,1e-05,1736270401.1190395,,,,,,,,
199,7,52.136722917,,1736270401.23283,0.0,0.021033458411693573,,,,,,
249,8,58.074255299,1e-05,1736270407.1702828,,,,,,,,
249,9,58.18805603,,1736270407.2841465,0.0,0.018689695745706558,,,,,,
299,10,64.130153036,1e-05,1736270413.2261903,,,,,,,,
299,11,64.243975078,,1736270413.3400607,0.0,0.15579573810100555,,,,,,
349,12,70.186483564,1e-05,1736270419.282572,,,,,,,,
349,13,70.300382532,,1736270419.396506,0.0,0.015372078865766525,,,,,,
399,14,76.247598868,1e-05,1736270425.3436105,,,,,,,,
399,15,76.361646455,,1736270425.4577703,0.0,0.012045692652463913,,,,,,
449,16,82.304747942,1e-05,1736270431.4007897,,,,,,,,
449,17,82.418951772,,1736270431.5150945,0.0,0.02276105433702469,,,,,,
499,18,88.360262608,1e-05,1736270437.4563253,,,,,,,,
499,19,88.47422658,,1736270437.5703466,0.0,0.010707315057516098,,,,,,
549,20,94.420067972,1e-05,1736270443.5160887,,,,,,,,
549,21,94.53432287,,1736270443.6304173,0.0,0.051589835435152054,,,,,,
599,22,100.483736454,1e-05,1736270449.5798554,,,,,,,,
599,23,100.597814892,,1736270449.6939745,0.0,0.016508005559444427,,,,,,
649,24,106.543720239,1e-05,1736270455.6397517,,,,,,,,
649,25,106.657765567,,1736270455.7539005,0.0,0.01912548765540123,,,,,,
699,26,112.604177307,1e-05,1736270461.70022,,,,,,,,
699,27,112.71794113,,1736270461.8140328,0.0,0.02205090969800949,,,,,,
749,28,118.664239103,1e-05,1736270467.7602787,,,,,,,,
749,29,118.77851242,,1736270467.8745992,0.0,0.03185873478651047,,,,,,
799,30,124.729185426,1e-05,1736270473.8252406,,,,,,,,
799,31,124.843422085,,1736270473.9395542,0.0,0.01669292338192463,,,,,,
849,32,130.790917459,1e-05,1736270479.8869562,,,,,,,,
849,33,130.904740766,,1736270480.0008113,0.0,0.009162615053355694,,,,,,
899,34,136.855781258,1e-05,1736270485.9518366,,,,,,,,
899,35,136.969646745,,1736270486.0657578,0.0,0.0234929621219635,,,,,,
949,36,142.92486046,1e-05,1736270492.0209339,,,,,,,,
949,37,143.039315311,,1736270492.135449,0.0,0.01309044286608696,,,,,,
999,38,149.001740022,1e-05,1736270498.097769,,,,,,,,
999,39,149.115944696,,1736270498.2120492,0.0,0.08011238276958466,,,,,,
1049,40,155.074605677,1e-05,1736270504.170604,,,,,,,,
1049,41,155.189010727,,1736270504.285175,0.0,0.0043175979517400265,,,,,,
1099,42,161.156130228,1e-05,1736270510.252204,,,,,,,,
1099,43,161.270457843,,1736270510.3666224,0.0,0.013214482925832272,,,,,,
1149,44,167.240400539,1e-05,1736270516.3363924,,,,,,,,
1149,45,167.35484805,,1736270516.4509492,0.0,0.015098629519343376,,,,,,
1199,46,173.32546601,1e-05,1736270522.4215329,,,,,,,,
1199,47,173.439931766,,1736270522.5360284,0.0,0.008890291675925255,,,,,,
1249,48,179.40602541,1e-05,1736270528.502094,,,,,,,,
1249,49,179.520051915,,1736270528.6161401,0.0,0.19980943202972412,,,,,,
1299,50,185.489635649,1e-05,1736270534.5856512,,,,,,,,
1299,51,185.604098181,,1736270534.7002149,0.0,0.012639944441616535,,,,,,
1349,52,191.566796068,1e-05,1736270540.662853,,,,,,,,
1349,53,191.681335564,,1736270540.7774584,0.0,0.19753117859363556,,,,,,
1399,54,197.651596513,1e-05,1736270546.7476554,,,,,,,,
1399,55,197.76599163,,1736270546.862167,0.0,0.1133226603269577,,,,,,
1449,56,203.732985993,1e-05,1736270552.8291125,,,,,,,,
1449,57,203.847229047,,1736270552.9433436,0.0,0.2601326107978821,,,,,,
1499,58,209.814780019,1e-05,1736270558.9108822,,,,,,,,
1499,59,209.929121288,,1736270559.025208,0.0,0.24288718402385712,,,,,,
1549,60,215.888509971,1e-05,1736270564.984527,,,,,,,,
1549,61,216.002661445,,1736270565.0987315,0.0,0.056667327880859375,,,,,,
1599,62,221.960708544,1e-05,1736270571.0567763,,,,,,,,
1599,63,222.074877913,,1736270571.171043,0.0,0.014639732427895069,,,,,,
1649,64,228.038447171,1e-05,1736270577.1345258,,,,,,,,
1649,65,228.152414222,,1736270577.2485206,0.0,0.1581735908985138,,,,,,
1699,66,234.110485286,1e-05,1736270583.2065752,,,,,,,,
1699,67,234.224840615,,1736270583.3209474,0.0,0.08766123652458191,,,,,,
1718,68,245.017166812,,1736270594.1132176,0.0,,0.9869999885559082,0.07498893141746521,,,,
1718,69,284.417031776,,1736270633.487193,0.0,,,,0.9822909235954285,0.08544991910457611,,
1719,70,295.882961227,,1736270644.9789739,1.0,,,,,,0.9872000217437744,0.07418905943632126
