trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.736275234,1e-05,1736407300.5542216,,,,,,,,
49,1,33.844437195,,1736407300.6625292,0.0,1.2729127407073975,,,,,,
99,2,39.512357215,1e-05,1736407306.3304296,,,,,,,,
99,3,39.620859852,,1736407306.4389098,0.0,1.3389601707458496,,,,,,
149,4,45.276074779,1e-05,1736407312.0941162,,,,,,,,
149,5,45.384151101,,1736407312.2023132,0.0,1.285758137702942,,,,,,
199,6,51.048268434,1e-05,1736407317.866276,,,,,,,,
199,7,51.156089488,,1736407317.974235,0.0,1.4315283298492432,,,,,,
249,8,56.816171324,1e-05,1736407323.6342533,,,,,,,,
249,9,56.924132782,,1736407323.7422476,0.0,1.0282201766967773,,,,,,
299,10,62.586119644,1e-05,1736407329.4041805,,,,,,,,
299,11,62.694348351,,1736407329.512438,0.0,1.2085285186767578,,,,,,
349,12,68.352605257,1e-05,1736407335.1706574,,,,,,,,
349,13,68.461000496,,1736407335.2791703,0.0,1.0547833442687988,,,,,,
399,14,74.132606049,1e-05,1736407340.9506745,,,,,,,,
399,15,74.24079342,,1736407341.058948,0.0,1.029198408126831,,,,,,
449,16,79.925618339,1e-05,1736407346.7436578,,,,,,,,
449,17,80.033984755,,1736407346.852061,0.0,1.0240733623504639,,,,,,
499,18,85.718415702,1e-05,1736407352.5365155,,,,,,,,
499,19,85.826785224,,1736407352.6448884,0.0,0.7665031552314758,,,,,,
549,20,91.500692175,1e-05,1736407358.318724,,,,,,,,
549,21,91.608642383,,1736407358.4267673,0.0,0.8270540833473206,,,,,,
599,22,97.304105955,1e-05,1736407364.1222103,,,,,,,,
599,23,97.411737558,,1736407364.2298992,0.0,0.8410264849662781,,,,,,
649,24,103.097454885,1e-05,1736407369.9155354,,,,,,,,
649,25,103.205506413,,1736407370.0236423,0.0,0.5492367744445801,,,,,,
699,26,108.896395561,1e-05,1736407375.7144363,,,,,,,,
699,27,109.004701756,,1736407375.8227713,0.0,0.7486128807067871,,,,,,
749,28,114.687525873,1e-05,1736407381.5055478,,,,,,,,
749,29,114.795847426,,1736407381.6139488,0.0,0.7528839111328125,,,,,,
799,30,120.485759607,1e-05,1736407387.3037875,,,,,,,,
799,31,120.594291674,,1736407387.4124153,0.0,0.645369827747345,,,,,,
849,32,126.269934264,1e-05,1736407393.0880291,,,,,,,,
849,33,126.378432419,,1736407393.1965187,0.0,0.5928265452384949,,,,,,
899,34,132.051193146,1e-05,1736407398.869253,,,,,,,,
899,35,132.159719142,,1736407398.9778526,0.0,0.6649119853973389,,,,,,
949,36,137.842004097,1e-05,1736407404.6600957,,,,,,,,
949,37,137.950398327,,1736407404.7685623,0.0,0.6185640692710876,,,,,,
999,38,143.63512013,1e-05,1736407410.4531739,,,,,,,,
999,39,143.743850249,,1736407410.5619812,0.0,0.46523821353912354,,,,,,
1049,40,149.433245321,1e-05,1736407416.2512982,,,,,,,,
1049,41,149.541608644,,1736407416.359663,0.0,0.4316242039203644,,,,,,
1099,42,155.241555263,1e-05,1736407422.0596137,,,,,,,,
1099,43,155.34978653,,1736407422.1679473,0.0,0.41367340087890625,,,,,,
1149,44,161.035938195,1e-05,1736407427.8540437,,,,,,,,
1149,45,161.144954329,,1736407427.9630976,0.0,0.4991104006767273,,,,,,
1199,46,166.837535677,1e-05,1736407433.6555429,,,,,,,,
1199,47,166.945898159,,1736407433.764081,0.0,0.49740347266197205,,,,,,
1249,48,172.633744218,1e-05,1736407439.4518075,,,,,,,,
1249,49,172.742305211,,1736407439.5604553,0.0,0.6905285120010376,,,,,,
1299,50,178.431807028,1e-05,1736407445.2499177,,,,,,,,
1299,51,178.540204015,,1736407445.3583157,0.0,0.5587131381034851,,,,,,
1349,52,184.224351875,1e-05,1736407451.0424407,,,,,,,,
1349,53,184.332514335,,1736407451.1505153,0.0,0.5521350502967834,,,,,,
1399,54,190.018441964,1e-05,1736407456.8365197,,,,,,,,
1399,55,190.126833682,,1736407456.944961,0.0,0.3858950138092041,,,,,,
1449,56,195.80207612,1e-05,1736407462.6201584,,,,,,,,
1449,57,195.910430729,,1736407462.7285974,0.0,0.4804801642894745,,,,,,
1499,58,201.585869105,1e-05,1736407468.4039547,,,,,,,,
1499,59,201.693767862,,1736407468.5119,0.0,0.4186245799064636,,,,,,
1549,60,207.374240922,1e-05,1736407474.1923187,,,,,,,,
1549,61,207.482743948,,1736407474.3008893,0.0,0.44238176941871643,,,,,,
1599,62,213.161646434,1e-05,1736407479.979647,,,,,,,,
1599,63,213.269469019,,1736407480.0876358,0.0,0.27887091040611267,,,,,,
1649,64,218.943415211,1e-05,1736407485.7615056,,,,,,,,
1649,65,219.051701873,,1736407485.8697786,0.0,0.5757274031639099,,,,,,
1699,66,224.7341336,1e-05,1736407491.5522232,,,,,,,,
1699,67,224.842432184,,1736407491.6605635,0.0,0.37314125895500183,,,,,,
1718,68,235.194992234,,1736407502.0130465,0.0,,0.9002000093460083,0.45646190643310547,,,,
1718,69,254.150652991,,1736407520.9435716,0.0,,,,0.8483272790908813,0.7594208717346191,,
1719,70,264.482660127,,1736407531.3007166,1.0,,,,,,0.8948000073432922,0.4573212265968323
