trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,34.890964508,1e-05,1736284170.1442327,,,,,,,,
49,1,35.005131296,,1736284170.2580833,0.0,0.2605974078178406,,,,,,
99,2,40.945880774,1e-05,1736284176.1992354,,,,,,,,
99,3,41.059452693,,1736284176.3129032,0.0,0.19022637605667114,,,,,,
149,4,47.002340317,1e-05,1736284182.255661,,,,,,,,
149,5,47.116022992,,1736284182.3694937,0.0,0.1691851019859314,,,,,,
199,6,53.054722063,1e-05,1736284188.3080578,,,,,,,,
199,7,53.168319676,,1736284188.4217398,0.0,0.021033458411693573,,,,,,
249,8,59.108298536,1e-05,1736284194.361649,,,,,,,,
249,9,59.222537541,,1736284194.4758863,0.0,0.018689695745706558,,,,,,
299,10,65.169217543,1e-05,1736284200.4224942,,,,,,,,
299,11,65.283491311,,1736284200.53686,0.0,0.15579573810100555,,,,,,
349,12,71.226294542,1e-05,1736284206.4796681,,,,,,,,
349,13,71.340358324,,1736284206.5937037,0.0,0.015372078865766525,,,,,,
399,14,77.287733756,1e-05,1736284212.541085,,,,,,,,
399,15,77.401846016,,1736284212.6552577,0.0,0.012045692652463913,,,,,,
449,16,83.344048288,1e-05,1736284218.5973673,,,,,,,,
449,17,83.458014413,,1736284218.7114716,0.0,0.02276105433702469,,,,,,
499,18,89.406370967,1e-05,1736284224.659643,,,,,,,,
499,19,89.520577039,,1736284224.7739902,0.0,0.010707315057516098,,,,,,
549,20,95.475426991,1e-05,1736284230.7286966,,,,,,,,
549,21,95.589825663,,1736284230.8432267,0.0,0.051589835435152054,,,,,,
599,22,101.546460148,1e-05,1736284236.7998104,,,,,,,,
599,23,101.66073795,,1736284236.9142048,0.0,0.016508005559444427,,,,,,
649,24,107.616087678,1e-05,1736284242.8694293,,,,,,,,
649,25,107.730289206,,1736284242.983737,0.0,0.01912548765540123,,,,,,
