trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,32.629002194,1e-05,1736296835.9298964,,,,,,,,
49,1,32.737478833,,1736296836.0385613,0.0,1.2729127407073975,,,,,,
99,2,38.398291296,1e-05,1736296841.699265,,,,,,,,
99,3,38.506452704,,1736296841.8075771,0.0,1.3389601707458496,,,,,,
149,4,44.164586773,1e-05,1736296847.465544,,,,,,,,
149,5,44.272744333,,1736296847.5738833,0.0,1.285758137702942,,,,,,
199,6,49.932374758,1e-05,1736296853.2334146,,,,,,,,
199,7,50.040298829,,1736296853.3414252,0.0,1.4315283298492432,,,,,,
249,8,55.702643486,1e-05,1736296859.0035715,,,,,,,,
249,9,55.810861888,,1736296859.1119478,0.0,1.0282201766967773,,,,,,
299,10,61.468907693,1e-05,1736296864.7699845,,,,,,,,
299,11,61.577226553,,1736296864.8783557,0.0,1.2085285186767578,,,,,,
349,12,67.23608311,1e-05,1736296870.5370739,,,,,,,,
349,13,67.34429597,,1736296870.6454144,0.0,1.0547833442687988,,,,,,
399,14,73.019408425,1e-05,1736296876.3204246,,,,,,,,
399,15,73.128208896,,1736296876.429293,0.0,1.029198408126831,,,,,,
449,16,78.799369442,1e-05,1736296882.100333,,,,,,,,
449,17,78.907570699,,1736296882.2086043,0.0,1.0240733623504639,,,,,,
499,18,84.575905899,1e-05,1736296887.8769336,,,,,,,,
499,19,84.68454171,,1736296887.985512,0.0,0.7665031552314758,,,,,,
549,20,90.357467842,1e-05,1736296893.6585,,,,,,,,
549,21,90.465957989,,1736296893.7670379,0.0,0.8270540833473206,,,,,,
599,22,96.13790592,1e-05,1736296899.4389007,,,,,,,,
599,23,96.246265792,,1736296899.5473795,0.0,0.8410264849662781,,,,,,
649,24,101.917368512,1e-05,1736296905.2183776,,,,,,,,
649,25,102.02575331,,1736296905.3268414,0.0,0.5492367744445801,,,,,,
699,26,107.689344969,1e-05,1736296910.990314,,,,,,,,
699,27,107.797673551,,1736296911.0987997,0.0,0.7486128807067871,,,,,,
749,28,113.47549597,1e-05,1736296916.776514,,,,,,,,
749,29,113.583968502,,1736296916.885075,0.0,0.7528839111328125,,,,,,
799,30,119.256132806,1e-05,1736296922.5571148,,,,,,,,
799,31,119.364686068,,1736296922.6657677,0.0,0.645369827747345,,,,,,
849,32,125.039186589,1e-05,1736296928.3402212,,,,,,,,
849,33,125.147687091,,1736296928.4487565,0.0,0.5928265452384949,,,,,,
899,34,130.827441641,1e-05,1736296934.1284003,,,,,,,,
899,35,130.935826065,,1736296934.2369404,0.0,0.6649119853973389,,,,,,
949,36,136.605205393,1e-05,1736296939.9061813,,,,,,,,
949,37,136.713425549,,1736296940.0145533,0.0,0.6185640692710876,,,,,,
999,38,142.387855585,1e-05,1736296945.688928,,,,,,,,
999,39,142.496270255,,1736296945.7973871,0.0,0.46523821353912354,,,,,,
1049,40,148.171389421,1e-05,1736296951.472416,,,,,,,,
1049,41,148.27979918,,1736296951.5809236,0.0,0.4316242039203644,,,,,,
1099,42,153.952359415,1e-05,1736296957.2533357,,,,,,,,
1099,43,154.060711946,,1736296957.361835,0.0,0.41367340087890625,,,,,,
1149,44,159.743380274,1e-05,1736296963.0444381,,,,,,,,
1149,45,159.852192146,,1736296963.1532972,0.0,0.4991104006767273,,,,,,
1199,46,165.538274384,1e-05,1736296968.8392196,,,,,,,,
1199,47,165.646887543,,1736296968.9479573,0.0,0.49740347266197205,,,,,,
1249,48,171.331062361,1e-05,1736296974.6320903,,,,,,,,
1249,49,171.440050894,,1736296974.7411206,0.0,0.6905285120010376,,,,,,
1299,50,177.124171519,1e-05,1736296980.4252048,,,,,,,,
1299,51,177.232886118,,1736296980.534011,0.0,0.5587131381034851,,,,,,
1349,52,182.917458149,1e-05,1736296986.2184947,,,,,,,,
1349,53,183.026043835,,1736296986.327132,0.0,0.5521350502967834,,,,,,
1399,54,188.707989179,1e-05,1736296992.0089648,,,,,,,,
1399,55,188.816500665,,1736296992.1175358,0.0,0.3858950138092041,,,,,,
1449,56,194.500527773,1e-05,1736296997.8015451,,,,,,,,
1449,57,194.608883106,,1736296997.9099662,0.0,0.4804801642894745,,,,,,
1499,58,200.289657394,1e-05,1736297003.590685,,,,,,,,
1499,59,200.398154061,,1736297003.6992774,0.0,0.4186245799064636,,,,,,
1549,60,206.081680991,1e-05,1736297009.382642,,,,,,,,
1549,61,206.190241037,,1736297009.4913177,0.0,0.44238176941871643,,,,,,
1599,62,211.872258838,1e-05,1736297015.1732209,,,,,,,,
1599,63,211.981053262,,1736297015.2821336,0.0,0.27887091040611267,,,,,,
1649,64,217.669931339,1e-05,1736297020.9709678,,,,,,,,
1649,65,217.778296558,,1736297021.0793905,0.0,0.5757274031639099,,,,,,
1699,66,223.455208055,1e-05,1736297026.7562683,,,,,,,,
1699,67,223.564047924,,1736297026.8648925,0.0,0.37314125895500183,,,,,,
1718,68,234.004946208,,1736297037.3059332,0.0,,0.9002000093460083,0.45646190643310547,,,,
1718,69,259.482292513,,1736297062.7834198,0.0,,,,0.8483272790908813,0.7594208717346191,,
1749,70,264.651478654,1e-05,1736297067.952446,,,,,,,,
1749,71,264.760123213,,1736297068.0612032,1.0,0.35411354899406433,,,,,,
1799,72,270.432847487,1e-05,1736297073.7338574,,,,,,,,
1799,73,270.541355099,,1736297073.8424127,1.0,0.7740286588668823,,,,,,
1849,74,276.222533861,1e-05,1736297079.5235171,,,,,,,,
1849,75,276.331148954,,1736297079.632222,1.0,0.4675603210926056,,,,,,
1899,76,282.009140644,1e-05,1736297085.3101776,,,,,,,,
1899,77,282.117307957,,1736297085.4184046,1.0,0.3676416277885437,,,,,,
1949,78,287.796058465,1e-05,1736297091.0970614,,,,,,,,
1949,79,287.904608996,,1736297091.2057176,1.0,0.3738589882850647,,,,,,
1999,80,293.585448836,1e-05,1736297096.8865004,,,,,,,,
1999,81,293.694159797,,1736297096.9952435,1.0,0.39226219058036804,,,,,,
2049,82,299.375531872,1e-05,1736297102.6765804,,,,,,,,
2049,83,299.484285853,,1736297102.7853394,1.0,0.43873652815818787,,,,,,
2099,84,305.160576715,1e-05,1736297108.4615765,,,,,,,,
2099,85,305.269008621,,1736297108.5701225,1.0,0.5158668160438538,,,,,,
2149,86,310.954678416,1e-05,1736297114.255727,,,,,,,,
2149,87,311.06329584,,1736297114.3644073,1.0,0.47331851720809937,,,,,,
2199,88,316.744910366,1e-05,1736297120.0458615,,,,,,,,
2199,89,316.852857683,,1736297120.1539757,1.0,0.3690635859966278,,,,,,
2249,90,322.536422342,1e-05,1736297125.8374457,,,,,,,,
2249,91,322.644703044,,1736297125.9458292,1.0,0.31251969933509827,,,,,,
2299,92,328.32445471,1e-05,1736297131.625452,,,,,,,,
2299,93,328.432669879,,1736297131.733758,1.0,0.45893117785453796,,,,,,
2349,94,334.109032317,1e-05,1736297137.4100158,,,,,,,,
2349,95,334.217569469,,1736297137.5186505,1.0,0.5494012236595154,,,,,,
2399,96,339.903703356,1e-05,1736297143.2047386,,,,,,,,
2399,97,340.012101136,,1736297143.313194,1.0,0.3295552134513855,,,,,,
2449,98,345.696622438,1e-05,1736297148.9976785,,,,,,,,
2449,99,345.805192089,,1736297149.1062899,1.0,0.37489062547683716,,,,,,
2499,100,351.485114435,1e-05,1736297154.7861533,,,,,,,,
2499,101,351.593589709,,1736297154.8946586,1.0,0.3861328363418579,,,,,,
2549,102,357.269202561,1e-05,1736297160.570208,,,,,,,,
2549,103,357.377684208,,1736297160.67876,1.0,0.27504947781562805,,,,,,
2599,104,363.056078974,1e-05,1736297166.3570473,,,,,,,,
2599,105,363.164074529,,1736297166.4652076,1.0,0.34314221143722534,,,,,,
2649,106,368.842133374,1e-05,1736297172.1431248,,,,,,,,
2649,107,368.950428489,,1736297172.2515147,1.0,0.3945131301879883,,,,,,
2699,108,374.632678553,1e-05,1736297177.933721,,,,,,,,
2699,109,374.741174304,,1736297178.0422916,1.0,0.48786500096321106,,,,,,
2749,110,380.430494002,1e-05,1736297183.7314837,,,,,,,,
2749,111,380.539205508,,1736297183.8403058,1.0,0.38849249482154846,,,,,,
2799,112,386.229185283,1e-05,1736297189.5301828,,,,,,,,
2799,113,386.337714145,,1736297189.6388395,1.0,0.6284151673316956,,,,,,
2849,114,392.020744439,1e-05,1736297195.321724,,,,,,,,
2849,115,392.129062706,,1736297195.4301507,1.0,0.36740756034851074,,,,,,
2899,116,397.812330294,1e-05,1736297201.1132987,,,,,,,,
2899,117,397.920942963,,1736297201.2220557,1.0,0.2804080843925476,,,,,,
2949,118,403.600976928,1e-05,1736297206.9019628,,,,,,,,
2949,119,403.709455475,,1736297207.010591,1.0,0.27143576741218567,,,,,,
2999,120,409.396529019,1e-05,1736297212.6975143,,,,,,,,
2999,121,409.504508079,,1736297212.805644,1.0,0.406831294298172,,,,,,
3049,122,415.184959326,1e-05,1736297218.4859948,,,,,,,,
3049,123,415.293490411,,1736297218.594557,1.0,0.3395225405693054,,,,,,
3099,124,420.970679602,1e-05,1736297224.271706,,,,,,,,
3099,125,421.079202291,,1736297224.3802767,1.0,0.2548390328884125,,,,,,
3149,126,426.766808566,1e-05,1736297230.0677695,,,,,,,,
3149,127,426.875524757,,1736297230.1766105,1.0,0.27927449345588684,,,,,,
3199,128,432.55630878,1e-05,1736297235.8573112,,,,,,,,
3199,129,432.664359473,,1736297235.9654746,1.0,0.2518422603607178,,,,,,
3249,130,438.338809852,1e-05,1736297241.6398664,,,,,,,,
3249,131,438.446939983,,1736297241.7480326,1.0,0.2808665931224823,,,,,,
3299,132,444.132470399,1e-05,1736297247.4334757,,,,,,,,
3299,133,444.241035235,,1736297247.542118,1.0,0.4094467759132385,,,,,,
3349,134,449.930022414,1e-05,1736297253.231003,,,,,,,,
3349,135,450.038789259,,1736297253.3398693,1.0,0.5319298505783081,,,,,,
3399,136,455.725822065,1e-05,1736297259.0268726,,,,,,,,
3399,137,455.834052113,,1736297259.1350448,1.0,0.24098646640777588,,,,,,
3437,138,468.530135295,,1736297271.8311443,1.0,,0.9228000044822693,0.3247682452201843,,,,
3437,139,493.992062436,,1736297297.2929785,1.0,,,,0.9065272808074951,0.37886735796928406,,
3449,140,497.049213262,1e-05,1736297300.3501577,,,,,,,,
3449,141,497.15779668,,1736297300.458819,2.0,0.4660070538520813,,,,,,
3499,142,502.85003161,1e-05,1736297306.1509783,,,,,,,,
3499,143,502.958667185,,1736297306.2597558,2.0,0.22354631125926971,,,,,,
3549,144,508.642609559,1e-05,1736297311.9435632,,,,,,,,
3549,145,508.750920195,,1736297312.0520086,2.0,0.33577674627304077,,,,,,
3599,146,514.436354039,1e-05,1736297317.7373664,,,,,,,,
3599,147,514.54476362,,1736297317.8458564,2.0,0.20168636739253998,,,,,,
3649,148,520.237797188,1e-05,1736297323.5387943,,,,,,,,
3649,149,520.346297198,,1736297323.6473904,2.0,0.43609389662742615,,,,,,
3699,150,526.027667822,1e-05,1736297329.3286893,,,,,,,,
3699,151,526.135930617,,1736297329.4370282,2.0,0.15912175178527832,,,,,,
3749,152,531.833168626,1e-05,1736297335.1342297,,,,,,,,
3749,153,531.941604155,,1736297335.2426696,2.0,0.2592635154724121,,,,,,
3799,154,537.641715597,1e-05,1736297340.9427273,,,,,,,,
3799,155,537.750261683,,1736297341.0513558,2.0,0.20966914296150208,,,,,,
3849,156,543.440663313,1e-05,1736297346.741604,,,,,,,,
3849,157,543.549145138,,1736297346.8502915,2.0,0.23297524452209473,,,,,,
3899,158,549.248573318,1e-05,1736297352.5495298,,,,,,,,
3899,159,549.357036358,,1736297352.6581655,2.0,0.21938404440879822,,,,,,
3949,160,555.059066601,1e-05,1736297358.3600814,,,,,,,,
3949,161,555.167479877,,1736297358.4682553,2.0,0.21452856063842773,,,,,,
3999,162,560.86978984,1e-05,1736297364.1707835,,,,,,,,
3999,163,560.978368937,,1736297364.279478,2.0,0.2655709683895111,,,,,,
4049,164,566.677755854,1e-05,1736297369.9787717,,,,,,,,
4049,165,566.78629729,,1736297370.0874026,2.0,0.12100575119256973,,,,,,
4099,166,572.489403788,1e-05,1736297375.790408,,,,,,,,
4099,167,572.598016467,,1736297375.899137,2.0,0.5381068587303162,,,,,,
4149,168,578.302193126,1e-05,1736297381.603172,,,,,,,,
4149,169,578.411502431,,1736297381.7125518,2.0,0.3223237693309784,,,,,,
4199,170,584.117492987,1e-05,1736297387.4185188,,,,,,,,
4199,171,584.225952248,,1736297387.5271149,2.0,0.25659993290901184,,,,,,
4249,172,589.93252448,1e-05,1736297393.233507,,,,,,,,
4249,173,590.041062027,,1736297393.342154,2.0,0.17256230115890503,,,,,,
4299,174,595.744394792,1e-05,1736297399.0454106,,,,,,,,
