trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,32.986621718,1e-05,1736380521.7668393,,,,,,,,
49,1,33.101026386,,1736380521.8813798,0.0,0.2970503866672516,,,,,,
99,2,39.042630985,1e-05,1736380527.8229492,,,,,,,,
99,3,39.156798297,,1736380527.936884,0.0,0.5910294055938721,,,,,,
103,4,41.598850667,,1736380530.3791714,0.0,,0.91847825050354,0.2798464894294739,,,,
103,5,72.659457696,,1736380561.4090142,0.0,,,,0.8864734172821045,0.34880581498146057,,
149,6,79.865342989,1e-05,1736380568.6454957,,,,,,,,
149,7,79.980030595,,1736380568.760382,1.0,0.06430894881486893,,,,,,
199,8,85.93935837,1e-05,1736380574.7196658,,,,,,,,
199,9,86.053420162,,1736380574.8337932,1.0,0.056075457483530045,,,,,,
207,10,88.925527888,,1736380577.7057674,1.0,,0.9130434989929199,0.26116976141929626,,,,
207,11,118.956807102,,1736380607.7365785,1.0,,,,0.9601449370384216,0.1306236982345581,,
249,12,125.708287713,1e-05,1736380614.488498,,,,,,,,
249,13,125.823277483,,1736380614.6034956,2.0,0.011351343244314194,,,,,,
299,14,131.796600976,1e-05,1736380620.5767336,,,,,,,,
299,15,131.910204986,,1736380620.6905205,2.0,0.08585948497056961,,,,,,
311,16,135.271124268,,1736380624.0513678,2.0,,0.9130434989929199,0.40590953826904297,,,,
311,17,165.414067474,,1736380654.1943352,2.0,,,,0.977053165435791,0.06918708235025406,,
349,18,171.617859062,1e-05,1736380660.39809,,,,,,,,
349,19,171.732351888,,1736380660.512685,3.0,0.09572134912014008,,,,,,
399,20,177.699775223,1e-05,1736380666.4800956,,,,,,,,
399,21,177.813993133,,1736380666.5941386,3.0,0.008438214659690857,,,,,,
415,22,181.698295176,,1736380670.4785626,3.0,,0.8994565010070801,0.4317070543766022,,,,
415,23,211.682938921,,1736380700.4632323,3.0,,,,0.9861111044883728,0.03699351102113724,,
449,24,217.412166255,1e-05,1736380706.1923933,,,,,,,,
449,25,217.525888263,,1736380706.3061998,4.0,0.0009411841747350991,,,,,,
499,26,223.497370228,1e-05,1736380712.277685,,,,,,,,
499,27,223.611336344,,1736380712.3913858,4.0,0.14163677394390106,,,,,,
519,28,227.943558935,,1736380716.7237864,4.0,,0.91576087474823,0.33545488119125366,,,,
519,29,227.949704851,,1736380716.730079,4.0,,,,0.9864130616188049,0.042597442865371704,,
549,30,233.205679358,1e-05,1736380721.9858732,,,,,,,,
549,31,233.319758756,,1736380722.1000857,5.0,0.00039584492333233356,,,,,,
599,32,239.297662473,1e-05,1736380728.0776978,,,,,,,,
599,33,239.411840726,,1736380728.1919405,5.0,0.00043334101792424917,,,,,,
623,34,244.274278028,,1736380733.0545523,5.0,,0.904891312122345,0.43868371844291687,,,,
623,35,274.896050723,,1736380763.6761773,5.0,,,,0.991847813129425,0.029847025871276855,,
649,36,279.640772642,1e-05,1736380768.421003,,,,,,,,
649,37,279.755118969,,1736380768.5354946,6.0,0.0005507988971658051,,,,,,
699,38,285.733554582,1e-05,1736380774.5139146,,,,,,,,
699,39,285.847716492,,1736380774.6280901,6.0,0.0002721922064665705,,,,,,
727,40,291.122738362,,1736380779.9030366,6.0,,0.9021739363670349,0.4469970166683197,,,,
727,41,320.819582005,,1736380809.5998914,6.0,,,,0.9924516677856445,0.028803395107388496,,
749,42,325.142162155,1e-05,1736380813.9223626,,,,,,,,
749,43,325.256360313,,1736380814.036768,7.0,0.002207365119829774,,,,,,
799,44,331.234701867,1e-05,1736380820.0149827,,,,,,,,
799,45,331.349149842,,1736380820.1295507,7.0,0.001864612684585154,,,,,,
831,46,337.170153862,,1736380825.950378,7.0,,0.8885869383811951,0.46426257491111755,,,,
831,47,337.175852249,,1736380825.9562588,7.0,,,,0.9930555820465088,0.028851555660367012,,
849,48,340.99482352,1e-05,1736380829.775031,,,,,,,,
849,49,341.108933652,,1736380829.8892848,8.0,0.0052487533539533615,,,,,,
899,50,347.088449802,1e-05,1736380835.8687146,,,,,,,,
899,51,347.203052668,,1736380835.983403,8.0,0.00018917569832410663,,,,,,
935,52,353.495110333,,1736380842.2753897,8.0,,0.926630437374115,0.3529898226261139,,,,
