trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,39.056035183,1e-05,1736358336.4376695,,,,,,,,
49,1,39.167731173,,1736358336.5497868,0.0,0.27945026755332947,,,,,,
99,2,45.038290148,1e-05,1736358342.4203265,,,,,,,,
99,3,45.14794397,,1736358342.5299933,0.0,0.7224568128585815,,,,,,
103,4,48.344160412,,1736358345.725945,0.0,,0.842391312122345,0.46675053238868713,,,,
103,5,68.845218325,,1736358366.22751,0.0,,,,0.8571860194206238,0.41558125615119934,,
149,6,76.860395238,1e-05,1736358374.2413394,,,,,,,,
149,7,76.967710006,,1736358374.3498805,1.0,0.5290060639381409,,,,,,
199,8,82.835125916,1e-05,1736358380.2172115,,,,,,,,
199,9,82.944697554,,1736358380.326876,1.0,0.4599257707595825,,,,,,
207,10,86.682238395,,1736358384.0643773,1.0,,0.8586956262588501,0.44413188099861145,,,,
207,11,107.679452757,,1736358405.0614412,1.0,,,,0.8602052927017212,0.3991568386554718,,
249,12,115.309314101,1e-05,1736358412.6913466,,,,,,,,
249,13,115.420652249,,1736358412.8027184,2.0,0.3906809389591217,,,,,,
299,14,121.315258062,1e-05,1736358418.6974442,,,,,,,,
299,15,121.426655391,,1736358418.8088539,2.0,0.2565467059612274,,,,,,
311,16,125.648502301,,1736358423.030574,2.0,,0.85326087474823,0.42916521430015564,,,,
311,17,146.298321391,,1736358443.6804998,2.0,,,,0.8650362491607666,0.3818337023258209,,
349,18,153.373030113,1e-05,1736358450.755033,,,,,,,,
349,19,153.484561132,,1736358450.8665762,3.0,0.4537917673587799,,,,,,
399,20,159.38089935,1e-05,1736358456.7630703,,,,,,,,
399,21,159.490967037,,1736358456.8730316,3.0,0.4007481038570404,,,,,,
415,22,164.046889919,,1736358461.4291217,3.0,,0.864130437374115,0.41644954681396484,,,,
415,23,183.971584582,,1736358481.3536618,3.0,,,,0.8740941882133484,0.3646714985370636,,
449,24,190.300317459,1e-05,1736358487.6824105,,,,,,,,
449,25,190.411894454,,1736358487.7933557,4.0,0.34190237522125244,,,,,,
499,26,196.306275115,1e-05,1736358493.688455,,,,,,,,
499,27,196.414383108,,1736358493.7965846,4.0,0.40216052532196045,,,,,,
519,28,201.638324968,,1736358499.020556,4.0,,0.8695651888847351,0.4082454741001129,,,,
519,29,223.143437371,,1736358520.5256474,4.0,,,,0.8819444179534912,0.34973767399787903,,
549,30,229.25655679,1e-05,1736358526.6386366,,,,,,,,
549,31,229.365940864,,1736358526.7477884,5.0,0.3866995871067047,,,,,,
599,32,235.313800601,1e-05,1736358532.6959012,,,,,,,,
599,33,235.424706277,,1736358532.8069098,5.0,0.26848530769348145,,,,,,
623,34,240.945655466,,1736358538.327574,5.0,,0.8722826242446899,0.3959800601005554,,,,
623,35,260.902398014,,1736358558.284531,5.0,,,,0.883152186870575,0.34527504444122314,,
649,36,266.431982466,1e-05,1736358563.813991,,,,,,,,
649,37,266.544804563,,1736358563.9269059,6.0,0.20516696572303772,,,,,,
699,38,272.47220524,1e-05,1736358569.8542142,,,,,,,,
699,39,272.581592791,,1736358569.9637582,6.0,0.33340516686439514,,,,,,
727,40,278.498663407,,1736358575.8804038,6.0,,0.8777173757553101,0.3848634362220764,,,,
727,41,298.375449886,,1736358595.7575946,6.0,,,,0.8931159377098083,0.32902154326438904,,
749,42,303.57788505,1e-05,1736358600.9599857,,,,,,,,
749,43,303.686598748,,1736358601.068939,7.0,0.4425783157348633,,,,,,
799,44,309.570756889,1e-05,1736358606.9526765,,,,,,,,
799,45,309.680653096,,1736358607.0628114,7.0,0.20545603334903717,,,,,,
831,46,316.159430402,,1736358613.5413215,7.0,,0.866847813129425,0.37375470995903015,,,,
831,47,337.167630382,,1736358634.5498247,7.0,,,,0.8943236470222473,0.31936633586883545,,
849,48,341.694978299,1e-05,1736358639.077034,,,,,,,,
