trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,32.937828378,1e-05,1736347871.6384163,,,,,,,,
49,1,33.052220971,,1736347871.75297,0.0,0.2526240646839142,,,,,,
99,2,39.035988124,1e-05,1736347877.7365777,,,,,,,,
99,3,39.150564881,,1736347877.8512135,0.0,0.19986088573932648,,,,,,
149,4,45.157619184,1e-05,1736347883.8582563,,,,,,,,
149,5,45.272295587,,1736347883.9729507,0.0,0.2658064365386963,,,,,,
199,6,51.275554684,1e-05,1736347889.9761884,,,,,,,,
199,7,51.389800157,,1736347890.0904999,0.0,0.15530209243297577,,,,,,
249,8,57.391748217,1e-05,1736347896.0924258,,,,,,,,
249,9,57.505662719,,1736347896.2063594,0.0,0.4521561861038208,,,,,,
299,10,63.501410805,1e-05,1736347902.2021315,,,,,,,,
299,11,63.615822487,,1736347902.316534,0.0,0.3673480749130249,,,,,,
349,12,69.614154842,1e-05,1736347908.3147736,,,,,,,,
349,13,69.728594846,,1736347908.429346,0.0,0.05919228866696358,,,,,,
399,14,75.72569849,1e-05,1736347914.4263227,,,,,,,,
399,15,75.839840555,,1736347914.540569,0.0,0.061860643327236176,,,,,,
449,16,81.837891159,1e-05,1736347920.5386012,,,,,,,,
449,17,81.951938185,,1736347920.6526961,0.0,0.07963808625936508,,,,,,
499,18,87.946458083,1e-05,1736347926.647098,,,,,,,,
499,19,88.060620393,,1736347926.7613468,0.0,0.20888523757457733,,,,,,
549,20,94.064450956,1e-05,1736347932.765111,,,,,,,,
549,21,94.179118684,,1736347932.8798933,0.0,0.42062515020370483,,,,,,
599,22,100.186743648,1e-05,1736347938.8873703,,,,,,,,
599,23,100.301372141,,1736347939.0020998,0.0,0.07888719439506531,,,,,,
649,24,106.303262819,1e-05,1736347945.0039496,,,,,,,,
649,25,106.418515642,,1736347945.1192446,0.0,0.33681297302246094,,,,,,
699,26,112.426873013,1e-05,1736347951.1275034,,,,,,,,
699,27,112.541429319,,1736347951.2421792,0.0,0.3942584693431854,,,,,,
749,28,118.543765608,1e-05,1736347957.2444236,,,,,,,,
749,29,118.658337331,,1736347957.3590703,0.0,0.19952994585037231,,,,,,
799,30,124.658177167,1e-05,1736347963.3588517,,,,,,,,
799,31,124.772632481,,1736347963.4733195,0.0,0.22437547147274017,,,,,,
849,32,130.780725392,1e-05,1736347969.481369,,,,,,,,
849,33,130.895712172,,1736347969.5964162,0.0,0.41790539026260376,,,,,,
899,34,136.8909244,1e-05,1736347975.5915837,,,,,,,,
899,35,137.005039845,,1736347975.705756,0.0,0.2515852749347687,,,,,,
949,36,142.998474329,1e-05,1736347981.6991062,,,,,,,,
949,37,143.112756435,,1736347981.813482,0.0,0.2715572714805603,,,,,,
999,38,149.111223848,1e-05,1736347987.8118749,,,,,,,,
999,39,149.225204258,,1736347987.9259765,0.0,0.07855051755905151,,,,,,
1049,40,155.232829645,1e-05,1736347993.9335067,,,,,,,,
1049,41,155.347354595,,1736347994.048074,0.0,0.1289510726928711,,,,,,
1099,42,161.356009956,1e-05,1736348000.056655,,,,,,,,
1099,43,161.470664928,,1736348000.1714015,0.0,0.027278101071715355,,,,,,
1149,44,167.488464598,1e-05,1736348006.1891189,,,,,,,,
1149,45,167.602688431,,1736348006.30342,0.0,0.09838709980249405,,,,,,
1199,46,173.615562929,1e-05,1736348012.3162284,,,,,,,,
1199,47,173.73002043,,1736348012.430769,0.0,0.08074731379747391,,,,,,
1249,48,179.736294775,1e-05,1736348018.436902,,,,,,,,
1249,49,179.850937913,,1736348018.5516741,0.0,0.2731720507144928,,,,,,
1299,50,185.860740418,1e-05,1736348024.5613945,,,,,,,,
1299,51,185.975279891,,1736348024.676009,0.0,0.2219386100769043,,,,,,
1349,52,191.98038339,1e-05,1736348030.6810608,,,,,,,,
1349,53,192.094869622,,1736348030.7955549,0.0,0.4008641541004181,,,,,,
1399,54,198.100587007,1e-05,1736348036.8011887,,,,,,,,
1399,55,198.214997056,,1736348036.9157217,0.0,0.19473037123680115,,,,,,
1449,56,204.230264534,1e-05,1736348042.9309149,,,,,,,,
1449,57,204.344931303,,1736348043.0456648,0.0,0.435591459274292,,,,,,
1499,58,210.357274875,1e-05,1736348049.0579114,,,,,,,,
1499,59,210.472175241,,1736348049.1729505,0.0,0.2732447385787964,,,,,,
1549,60,216.490320018,1e-05,1736348055.190992,,,,,,,,
1549,61,216.60423739,,1736348055.304971,0.0,0.14251843094825745,,,,,,
1599,62,222.62084974,1e-05,1736348061.3214343,,,,,,,,
1599,63,222.736232059,,1736348061.4369104,0.0,0.0894569456577301,,,,,,
1649,64,228.748180542,1e-05,1736348067.4488466,,,,,,,,
1649,65,228.862602108,,1736348067.5633798,0.0,0.23338919878005981,,,,,,
1699,66,234.875050627,1e-05,1736348073.5757182,,,,,,,,
1699,67,234.989997648,,1736348073.6906936,0.0,0.18810489773750305,,,,,,
1749,68,241.002238056,1e-05,1736348079.7029529,,,,,,,,
1749,69,241.116867089,,1736348079.8175619,0.0,0.048018842935562134,,,,,,
1799,70,247.120841077,1e-05,1736348085.8215158,,,,,,,,
1799,71,247.234822264,,1736348085.9355052,0.0,0.21406972408294678,,,,,,
1849,72,253.242161352,1e-05,1736348091.94284,,,,,,,,
1849,73,253.356525607,,1736348092.0573013,0.0,0.16999347507953644,,,,,,
1899,74,259.363056439,1e-05,1736348098.0637023,,,,,,,,
1899,75,259.477910993,,1736348098.17857,0.0,0.15249121189117432,,,,,,
1949,76,265.486775622,1e-05,1736348104.1874082,,,,,,,,
1949,77,265.600987861,,1736348104.301728,0.0,0.1987714320421219,,,,,,
1999,78,271.594690342,1e-05,1736348110.2952824,,,,,,,,
1999,79,271.708716922,,1736348110.4094367,0.0,0.3774701654911041,,,,,,
2049,80,277.704491751,1e-05,1736348116.4051347,,,,,,,,
2049,81,277.818484476,,1736348116.5191944,0.0,0.1559813916683197,,,,,,
2099,82,283.829766494,1e-05,1736348122.5304313,,,,,,,,
2099,83,283.944102943,,1736348122.6447504,0.0,0.3464295268058777,,,,,,
2149,84,289.930664783,1e-05,1736348128.6313193,,,,,,,,
2149,85,290.045366887,,1736348128.7461245,0.0,0.07066725939512253,,,,,,
2199,86,296.043524583,1e-05,1736348134.744194,,,,,,,,
2199,87,296.158543841,,1736348134.8591952,0.0,0.28260329365730286,,,,,,
2249,88,302.16886193,1e-05,1736348140.8694918,,,,,,,,
2249,89,302.283467673,,1736348140.9841993,0.0,0.23440951108932495,,,,,,
2299,90,308.28582496,1e-05,1736348146.9864497,,,,,,,,
2299,91,308.400351132,,1736348147.1011178,0.0,0.17447608709335327,,,,,,
2349,92,314.410327279,1e-05,1736348153.1109953,,,,,,,,
2349,93,314.524652674,,1736348153.225407,0.0,0.07273038476705551,,,,,,
2399,94,320.525629202,1e-05,1736348159.2262876,,,,,,,,
2399,95,320.640663696,,1736348159.3413591,0.0,0.29172036051750183,,,,,,
2449,96,326.668597172,1e-05,1736348165.3693066,,,,,,,,
2449,97,326.783480322,,1736348165.4841936,0.0,0.1012507900595665,,,,,,
2499,98,332.797663983,1e-05,1736348171.498289,,,,,,,,
2499,99,332.912464397,,1736348171.6131206,0.0,0.21900776028633118,,,,,,
2549,100,338.930572943,1e-05,1736348177.6312468,,,,,,,,
2549,101,339.044763262,,1736348177.7454884,0.0,0.18212811648845673,,,,,,
2599,102,345.060108163,1e-05,1736348183.7607484,,,,,,,,
2599,103,345.174692821,,1736348183.8754237,0.0,0.029086215421557426,,,,,,
2649,104,351.1908064,1e-05,1736348189.891451,,,,,,,,
2649,105,351.305181935,,1736348190.0058975,0.0,0.16170667111873627,,,,,,
2699,106,357.319601565,1e-05,1736348196.0202358,,,,,,,,
2699,107,357.43479309,,1736348196.1354578,0.0,0.08871215581893921,,,,,,
2749,108,363.449052888,1e-05,1736348202.1497123,,,,,,,,
2749,109,363.563941093,,1736348202.2646427,0.0,0.09177643805742264,,,,,,
2799,110,369.566039197,1e-05,1736348208.266677,,,,,,,,
2799,111,369.680422846,,1736348208.3811839,0.0,0.08356907218694687,,,,,,
2849,112,375.692667272,1e-05,1736348214.3932912,,,,,,,,
2849,113,375.806846086,,1736348214.5075796,0.0,0.017368335276842117,,,,,,
2899,114,381.833179897,1e-05,1736348220.533835,,,,,,,,
2899,115,381.94837677,,1736348220.6490552,0.0,0.05083024501800537,,,,,,
2949,116,387.97058833,1e-05,1736348226.671231,,,,,,,,
2949,117,388.085610996,,1736348226.7863107,0.0,0.5775145292282104,,,,,,
2999,118,394.095408551,1e-05,1736348232.7960472,,,,,,,,
2999,119,394.210413322,,1736348232.9111197,0.0,0.21996639668941498,,,,,,
3049,120,400.232640191,1e-05,1736348238.9332926,,,,,,,,
3049,121,400.347818357,,1736348239.0484746,0.0,0.03618822246789932,,,,,,
3099,122,406.374521899,1e-05,1736348245.0751305,,,,,,,,
3099,123,406.48940983,,1736348245.1900992,0.0,0.14434696733951569,,,,,,
3149,124,412.503082,1e-05,1736348251.2036936,,,,,,,,
3149,125,412.617308861,,1736348251.318056,0.0,0.3677547574043274,,,,,,
3199,126,418.631842117,1e-05,1736348257.3324976,,,,,,,,
3199,127,418.746201506,,1736348257.446913,0.0,0.04242929816246033,,,,,,
3249,128,424.763683842,1e-05,1736348263.4643228,,,,,,,,
3249,129,424.878314299,,1736348263.5790477,0.0,0.1846836805343628,,,,,,
3299,130,430.888334947,1e-05,1736348269.5889368,,,,,,,,
3299,131,431.003529661,,1736348269.704197,0.0,0.043969959020614624,,,,,,
3349,132,437.030646183,1e-05,1736348275.7312531,,,,,,,,
3349,133,437.14528794,,1736348275.8460186,0.0,0.03979814797639847,,,,,,
3399,134,443.168849349,1e-05,1736348281.8694756,,,,,,,,
3399,135,443.283514018,,1736348281.9842284,0.0,0.3313286602497101,,,,,,
3449,136,449.308575523,1e-05,1736348288.0092115,,,,,,,,
3449,137,449.423210235,,1736348288.1239684,0.0,0.107138492166996,,,,,,
3499,138,455.449146883,1e-05,1736348294.1496954,,,,,,,,
3499,139,455.564325064,,1736348294.26504,0.0,0.11194571852684021,,,,,,
3549,140,461.578627363,1e-05,1736348300.2792692,,,,,,,,
3549,141,461.693096964,,1736348300.3938286,0.0,0.3545593023300171,,,,,,
3599,142,467.70715581,1e-05,1736348306.4078093,,,,,,,,
3599,143,467.821136385,,1736348306.521868,0.0,0.15925228595733643,,,,,,
3649,144,473.832314614,1e-05,1736348312.5329354,,,,,,,,
3649,145,473.946965434,,1736348312.6475759,0.0,0.0872020274400711,,,,,,
3699,146,479.955866288,1e-05,1736348318.6565003,,,,,,,,
3699,147,480.070562824,,1736348318.7712507,0.0,0.24472029507160187,,,,,,
3749,148,486.093389741,1e-05,1736348324.7940552,,,,,,,,
3749,149,486.207998151,,1736348324.9087572,0.0,0.3419841527938843,,,,,,
3799,150,492.2340346,1e-05,1736348330.9346106,,,,,,,,
3799,151,492.348255473,,1736348331.0489876,0.0,0.045985594391822815,,,,,,
3849,152,498.374174146,1e-05,1736348337.0748093,,,,,,,,
3849,153,498.489699094,,1736348337.190399,0.0,0.16163000464439392,,,,,,
3899,154,504.508921198,1e-05,1736348343.2095585,,,,,,,,
3899,155,504.623629143,,1736348343.324346,0.0,0.16156253218650818,,,,,,
3949,156,510.631375227,1e-05,1736348349.3320704,,,,,,,,
3949,157,510.74641844,,1736348349.4471016,0.0,0.2737058699131012,,,,,,
3999,158,516.762476103,1e-05,1736348355.4631293,,,,,,,,
3999,159,516.876729996,,1736348355.5775032,0.0,0.10762665420770645,,,,,,
4049,160,522.890986875,1e-05,1736348361.5916271,,,,,,,,
4049,161,523.005297869,,1736348361.706003,0.0,0.3300603926181793,,,,,,
4099,162,529.021242432,1e-05,1736348367.7218728,,,,,,,,
4099,163,529.136341425,,1736348367.837083,0.0,0.08323642611503601,,,,,,
4149,164,535.156823186,1e-05,1736348373.857494,,,,,,,,
4149,165,535.271306534,,1736348373.9720411,0.0,0.06462947279214859,,,,,,
4199,166,541.28110752,1e-05,1736348379.981741,,,,,,,,
4199,167,541.395357429,,1736348380.096047,0.0,0.06629805266857147,,,,,,
4249,168,547.412288181,1e-05,1736348386.1129138,,,,,,,,
4249,169,547.527368298,,1736348386.228009,0.0,0.12977001070976257,,,,,,
4299,170,553.552126199,1e-05,1736348392.2527559,,,,,,,,
4299,171,553.666839075,,1736348392.3675785,0.0,0.0181904099881649,,,,,,
4349,172,559.702955183,1e-05,1736348398.4035676,,,,,,,,
4349,173,559.817238752,,1736348398.5179634,0.0,0.049497365951538086,,,,,,
4399,174,565.875316671,1e-05,1736348404.5759654,,,,,,,,
4399,175,565.990022055,,1736348404.6906724,0.0,0.060942407697439194,,,,,,
4449,176,572.013356609,1e-05,1736348410.7139356,,,,,,,,
4449,177,572.127659877,,1736348410.8283896,0.0,0.06829560548067093,,,,,,
4499,178,578.152393628,1e-05,1736348416.8530042,,,,,,,,
4499,179,578.267400677,,1736348416.968159,0.0,0.17103321850299835,,,,,,
4549,180,584.284172839,1e-05,1736348422.9848201,,,,,,,,
4549,181,584.398915409,,1736348423.0995946,0.0,0.02407902106642723,,,,,,
4599,182,590.425707009,1e-05,1736348429.1263554,,,,,,,,
4599,183,590.540128685,,1736348429.2408922,0.0,0.1943153291940689,,,,,,
4649,184,596.566021554,1e-05,1736348435.2666621,,,,,,,,
4649,185,596.680604537,,1736348435.3813586,0.0,0.18016083538532257,,,,,,
4699,186,602.702712295,1e-05,1736348441.4033284,,,,,,,,
4699,187,602.817735616,,1736348441.5184817,0.0,0.3012844920158386,,,,,,
4749,188,608.84706949,1e-05,1736348447.5477118,,,,,,,,
4749,189,608.961715251,,1736348447.6624393,0.0,0.021476471796631813,,,,,,
4799,190,614.989170291,1e-05,1736348453.6898394,,,,,,,,
4799,191,615.103957732,,1736348453.804676,0.0,0.40697547793388367,,,,,,
4849,192,621.129289858,1e-05,1736348459.8299656,,,,,,,,
4849,193,621.243689138,,1736348459.9444194,0.0,0.21037770807743073,,,,,,
4899,194,627.268855658,1e-05,1736348465.9695132,,,,,,,,
4899,195,627.383785967,,1736348466.0845387,0.0,0.06805893778800964,,,,,,
4949,196,633.409116943,1e-05,1736348472.1097615,,,,,,,,
4949,197,633.523480136,,1736348472.224235,0.0,0.027441365644335747,,,,,,
4999,198,639.556146128,1e-05,1736348478.2567837,,,,,,,,
4999,199,639.671157219,,1736348478.3719225,0.0,0.3836956024169922,,,,,,
5049,200,645.708418538,1e-05,1736348484.4090521,,,,,,,,
5049,201,645.823322823,,1736348484.5240605,0.0,0.04667802155017853,,,,,,
5099,202,651.859731478,1e-05,1736348490.5603628,,,,,,,,
5099,203,651.973726037,,1736348490.6743848,0.0,0.14963258802890778,,,,,,
5149,204,657.991066226,1e-05,1736348496.6917095,,,,,,,,
5149,205,658.105982764,,1736348496.806664,0.0,0.12536878883838654,,,,,,
5199,206,664.142972731,1e-05,1736348502.8436706,,,,,,,,
5199,207,664.257447387,,1736348502.9581037,0.0,0.14625519514083862,,,,,,
5249,208,670.286754115,1e-05,1736348508.987429,,,,,,,,
5249,209,670.401118911,,1736348509.1018488,0.0,0.2055978626012802,,,,,,
5299,210,676.434026382,1e-05,1736348515.134645,,,,,,,,
5299,211,676.548847616,,1736348515.249557,0.0,0.12593930959701538,,,,,,
5349,212,682.574638,1e-05,1736348521.2752998,,,,,,,,
5349,213,682.689482242,,1736348521.3901892,0.0,0.13056284189224243,,,,,,
5399,214,688.727356522,1e-05,1736348527.4280298,,,,,,,,
5399,215,688.841601938,,1736348527.5422814,0.0,0.11445898562669754,,,,,,
