trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,34.20424208,1e-05,1736343096.8966534,,,,,,,,
49,1,34.313871165,,1736343097.006373,0.0,0.7890984416007996,,,,,,
99,2,40.031205015,1e-05,1736343102.7236528,,,,,,,,
99,3,40.14010567,,1736343102.8325722,0.0,0.6676624417304993,,,,,,
149,4,45.858809166,1e-05,1736343108.5512166,,,,,,,,
149,5,45.967502906,,1736343108.660001,0.0,0.7335860729217529,,,,,,
199,6,51.712836079,1e-05,1736343114.405316,,,,,,,,
199,7,51.821033933,,1736343114.5135622,0.0,0.6355009078979492,,,,,,
249,8,57.528743618,1e-05,1736343120.2212257,,,,,,,,
249,9,57.636979345,,1736343120.3295455,0.0,0.6100115180015564,,,,,,
299,10,63.333614549,1e-05,1736343126.0260522,,,,,,,,
299,11,63.442161358999996,,1736343126.1346717,0.0,0.5750066041946411,,,,,,
349,12,69.136454919,1e-05,1736343131.8289287,,,,,,,,
349,13,69.244751892,,1736343131.9372919,0.0,0.440377414226532,,,,,,
399,14,74.972499364,1e-05,1736343137.6649876,,,,,,,,
399,15,75.081536022,,1736343137.7740579,0.0,0.5336037278175354,,,,,,
449,16,80.809236106,1e-05,1736343143.501716,,,,,,,,
449,17,80.918371119,,1736343143.6109335,0.0,0.5406485199928284,,,,,,
499,18,86.637486204,1e-05,1736343149.3298824,,,,,,,,
499,19,86.745927622,,1736343149.4384878,0.0,0.459255576133728,,,,,,
549,20,92.462977987,1e-05,1736343155.1554503,,,,,,,,
549,21,92.571785451,,1736343155.264321,0.0,0.49098828434944153,,,,,,
599,22,98.285292721,1e-05,1736343160.9777684,,,,,,,,
599,23,98.393898128,,1736343161.0864172,0.0,0.3682747483253479,,,,,,
649,24,104.105640215,1e-05,1736343166.7981591,,,,,,,,
649,25,104.214279687,,1736343166.9068186,0.0,0.48868778347969055,,,,,,
699,26,109.938329562,1e-05,1736343172.6307943,,,,,,,,
699,27,110.04729807,,1736343172.7397652,0.0,0.5316818952560425,,,,,,
749,28,115.763960952,1e-05,1736343178.4563851,,,,,,,,
749,29,115.872482656,,1736343178.5650334,0.0,0.5250176191329956,,,,,,
799,30,121.591300892,1e-05,1736343184.2837443,,,,,,,,
799,31,121.700210793,,1736343184.3927443,0.0,0.6516544818878174,,,,,,
849,32,127.416559387,1e-05,1736343190.1090336,,,,,,,,
849,33,127.524836737,,1736343190.2173676,0.0,0.49840226769447327,,,,,,
899,34,133.243602003,1e-05,1736343195.9360988,,,,,,,,
899,35,133.352656618,,1736343196.0451887,0.0,0.47937700152397156,,,,,,
949,36,139.0644427,1e-05,1736343201.7568717,,,,,,,,
949,37,139.172876865,,1736343201.865428,0.0,0.36624807119369507,,,,,,
999,38,144.896750328,1e-05,1736343207.5892277,,,,,,,,
999,39,145.005866981,,1736343207.6984372,0.0,0.4961826801300049,,,,,,
1049,40,150.722791936,1e-05,1736343213.4152255,,,,,,,,
1049,41,150.831567582,,1736343213.5240455,0.0,0.3555281460285187,,,,,,
1099,42,156.554106283,1e-05,1736343219.2465334,,,,,,,,
1099,43,156.663228959,,1736343219.3557904,0.0,0.4607611298561096,,,,,,
1149,44,162.386817353,1e-05,1736343225.0792685,,,,,,,,
1149,45,162.495311035,,1736343225.187831,0.0,0.4131489396095276,,,,,,
1199,46,168.219998525,1e-05,1736343230.91248,,,,,,,,
1199,47,168.328518326,,1736343231.021041,0.0,0.2614434063434601,,,,,,
1249,48,174.051175891,1e-05,1736343236.7436788,,,,,,,,
1249,49,174.159764803,,1736343236.8523028,0.0,0.41012144088745117,,,,,,
1299,50,179.88315785,1e-05,1736343242.5755696,,,,,,,,
1299,51,179.99214636,,1736343242.6846287,0.0,0.36657997965812683,,,,,,
1349,52,185.70881904,1e-05,1736343248.4013042,,,,,,,,
1349,53,185.81727161,,1736343248.509739,0.0,0.45957180857658386,,,,,,
1399,54,191.538062948,1e-05,1736343254.230585,,,,,,,,
1399,55,191.647048665,,1736343254.339607,0.0,0.37316930294036865,,,,,,
1449,56,197.366324076,1e-05,1736343260.0587623,,,,,,,,
1449,57,197.474855986,,1736343260.1673837,0.0,0.5025267601013184,,,,,,
1499,58,203.195295449,1e-05,1736343265.8877828,,,,,,,,
1499,59,203.303791032,,1736343265.9963696,0.0,0.45082998275756836,,,,,,
1549,60,209.025733971,1e-05,1736343271.7182198,,,,,,,,
1549,61,209.134382371,,1736343271.8268218,0.0,0.35125240683555603,,,,,,
1599,62,214.868186183,1e-05,1736343277.560658,,,,,,,,
1599,63,214.976812522,,1736343277.6693842,0.0,0.48269665241241455,,,,,,
1649,64,220.704426985,1e-05,1736343283.3969278,,,,,,,,
1649,65,220.813313642,,1736343283.5059106,0.0,0.48280707001686096,,,,,,
1699,66,226.538032905,1e-05,1736343289.2304714,,,,,,,,
1699,67,226.646829946,,1736343289.3393643,0.0,0.36898887157440186,,,,,,
1749,68,232.372203967,1e-05,1736343295.0646615,,,,,,,,
1749,69,232.481062153,,1736343295.1736333,0.0,0.4743556082248688,,,,,,
1799,70,238.193610716,1e-05,1736343300.8860784,,,,,,,,
1799,71,238.301793289,,1736343300.9943027,0.0,0.38876259326934814,,,,,,
1849,72,244.018880791,1e-05,1736343306.7112648,,,,,,,,
1849,73,244.128153363,,1736343306.8206437,0.0,0.4245568811893463,,,,,,
1899,74,249.84998933399999,1e-05,1736343312.5424836,,,,,,,,
1899,75,249.958293978,,1736343312.6508067,0.0,0.2429565042257309,,,,,,
1949,76,255.669468145,1e-05,1736343318.3619535,,,,,,,,
1949,77,255.778155966,,1736343318.4706924,0.0,0.33870622515678406,,,,,,
1999,78,261.504071836,1e-05,1736343324.1965232,,,,,,,,
1999,79,261.612905,,1736343324.3053877,0.0,0.2074858695268631,,,,,,
2049,80,267.331977745,1e-05,1736343330.0244842,,,,,,,,
2049,81,267.441480461,,1736343330.1340563,0.0,0.34398239850997925,,,,,,
2099,82,273.163348882,1e-05,1736343335.8558288,,,,,,,,
2099,83,273.272623173,,1736343335.965193,0.0,0.43898820877075195,,,,,,
2149,84,278.984566163,1e-05,1736343341.6770682,,,,,,,,
2149,85,279.093673502,,1736343341.7862086,0.0,0.3110738694667816,,,,,,
2199,86,284.813954801,1e-05,1736343347.5063968,,,,,,,,
2199,87,284.92266568,,1736343347.6151667,0.0,0.36624959111213684,,,,,,
2249,88,290.64686896,1e-05,1736343353.339368,,,,,,,,
2249,89,290.755950463,,1736343353.4485266,0.0,0.38874953985214233,,,,,,
2299,90,296.489496869,1e-05,1736343359.1819603,,,,,,,,
2299,91,296.59850177,,1736343359.2910142,0.0,0.48561158776283264,,,,,,
2349,92,302.327000395,1e-05,1736343365.0194755,,,,,,,,
2349,93,302.436212874,,1736343365.1287813,0.0,0.33646273612976074,,,,,,
2399,94,308.171912088,1e-05,1736343370.8643928,,,,,,,,
2399,95,308.281203426,,1736343370.9737298,0.0,0.29934218525886536,,,,,,
2449,96,314.021877678,1e-05,1736343376.7143497,,,,,,,,
2449,97,314.131434043,,1736343376.8239696,0.0,0.5042586326599121,,,,,,
2499,98,319.875796156,1e-05,1736343382.568259,,,,,,,,
2499,99,319.984530494,,1736343382.6770146,0.0,0.4643779397010803,,,,,,
2549,100,325.741880307,1e-05,1736343388.434313,,,,,,,,
2549,101,325.850513046,,1736343388.5430338,0.0,0.49020150303840637,,,,,,
2599,102,331.595265826,1e-05,1736343394.2877092,,,,,,,,
2599,103,331.704384825,,1736343394.3969524,0.0,0.43844708800315857,,,,,,
2649,104,337.441060157,1e-05,1736343400.1335275,,,,,,,,
2649,105,337.550234089,,1736343400.2428024,0.0,0.3574485182762146,,,,,,
2699,106,343.279323417,1e-05,1736343405.9718049,,,,,,,,
2699,107,343.388340367,,1736343406.0808241,0.0,0.4446365535259247,,,,,,
2749,108,349.124680446,1e-05,1736343411.81708,,,,,,,,
2749,109,349.233887381,,1736343411.9264498,0.0,0.32030531764030457,,,,,,
2799,110,354.959409334,1e-05,1736343417.6518748,,,,,,,,
2799,111,355.068491898,,1736343417.7610438,0.0,0.2928837239742279,,,,,,
2849,112,360.802919376,1e-05,1736343423.495404,,,,,,,,
2849,113,360.911684697,,1736343423.604159,0.0,0.3846776485443115,,,,,,
2899,114,366.638565464,1e-05,1736343429.3310192,,,,,,,,
2899,115,366.747295871,,1736343429.4397972,0.0,0.3270321190357208,,,,,,
2949,116,372.471981362,1e-05,1736343435.164445,,,,,,,,
2949,117,372.580391932,,1736343435.2729504,0.0,0.5621006488800049,,,,,,
2999,118,378.295178653,1e-05,1736343440.987621,,,,,,,,
2999,119,378.40378506,,1736343441.0963476,0.0,0.28732848167419434,,,,,,
3049,120,384.130426548,1e-05,1736343446.822893,,,,,,,,
3049,121,384.239630293,,1736343446.932142,0.0,0.2611367106437683,,,,,,
3099,122,389.974909082,1e-05,1736343452.667336,,,,,,,,
3099,123,390.084592043,,1736343452.777127,0.0,0.20911334455013275,,,,,,
3149,124,395.816889806,1e-05,1736343458.5093381,,,,,,,,
3149,125,395.925698003,,1736343458.6181765,0.0,0.6123520135879517,,,,,,
3199,126,401.660576479,1e-05,1736343464.3530414,,,,,,,,
3199,127,401.770069597,,1736343464.4625096,0.0,0.30902624130249023,,,,,,
3249,128,407.504691162,1e-05,1736343470.197137,,,,,,,,
3249,129,407.613034811,,1736343470.305569,0.0,0.42845970392227173,,,,,,
3299,130,413.33301321,1e-05,1736343476.0254576,,,,,,,,
3299,131,413.441689582,,1736343476.134195,0.0,0.37151214480400085,,,,,,
3349,132,419.16659952,1e-05,1736343481.8590436,,,,,,,,
3349,133,419.275573179,,1736343481.9680777,0.0,0.22710610926151276,,,,,,
3399,134,424.998794135,1e-05,1736343487.691233,,,,,,,,
3399,135,425.107784315,,1736343487.8002458,0.0,0.5397293567657471,,,,,,
3449,136,430.839240307,1e-05,1736343493.531702,,,,,,,,
3449,137,430.948228584,,1736343493.6408308,0.0,0.408456027507782,,,,,,
3499,138,436.672152466,1e-05,1736343499.3646195,,,,,,,,
3499,139,436.781099988,,1736343499.473546,0.0,0.4099693298339844,,,,,,
3549,140,442.515759461,1e-05,1736343505.2082288,,,,,,,,
3549,141,442.624378539,,1736343505.3169475,0.0,0.5148370265960693,,,,,,
3599,142,448.346435029,1e-05,1736343511.0389183,,,,,,,,
3599,143,448.455444358,,1736343511.1479695,0.0,0.3961801528930664,,,,,,
3649,144,454.190168201,1e-05,1736343516.8825927,,,,,,,,
3649,145,454.298773965,,1736343516.991329,0.0,0.395930677652359,,,,,,
3699,146,460.035050796,1e-05,1736343522.7275298,,,,,,,,
3699,147,460.143794159,,1736343522.836316,0.0,0.4434758424758911,,,,,,
3749,148,465.878603109,1e-05,1736343528.571098,,,,,,,,
3749,149,465.987893305,,1736343528.6803932,0.0,0.4209274351596832,,,,,,
3799,150,471.720201241,1e-05,1736343534.4126585,,,,,,,,
3799,151,471.829291614,,1736343534.521864,0.0,0.3845902681350708,,,,,,
3849,152,477.555858797,1e-05,1736343540.248364,,,,,,,,
3849,153,477.664148403,,1736343540.356695,0.0,0.379511296749115,,,,,,
3899,154,483.39648623,1e-05,1736343546.088982,,,,,,,,
3899,155,483.505330734,,1736343546.1978874,0.0,0.303313285112381,,,,,,
3949,156,489.240654267,1e-05,1736343551.9331193,,,,,,,,
3949,157,489.35006947,,1736343552.042606,0.0,0.37935635447502136,,,,,,
3999,158,495.094446725,1e-05,1736343557.786894,,,,,,,,
3999,159,495.203206783,,1736343557.895684,0.0,0.3725143373012543,,,,,,
4049,160,500.939408261,1e-05,1736343563.6318877,,,,,,,,
4049,161,501.048376328,,1736343563.74086,0.0,0.332936555147171,,,,,,
4099,162,506.789526732,1e-05,1736343569.4819968,,,,,,,,
4099,163,506.898333117,,1736343569.590865,0.0,0.408176988363266,,,,,,
4149,164,512.664231433,1e-05,1736343575.356726,,,,,,,,
4149,165,512.772569303,,1736343575.4651432,0.0,0.36123135685920715,,,,,,
4199,166,518.495146656,1e-05,1736343581.1876218,,,,,,,,
4199,167,518.603886438,,1736343581.2964525,0.0,0.3812914788722992,,,,,,
4249,168,524.322335932,1e-05,1736343587.0148368,,,,,,,,
4249,169,524.430994632,,1736343587.1235414,0.0,0.3994424343109131,,,,,,
4299,170,530.160608164,1e-05,1736343592.853094,,,,,,,,
4299,171,530.269703792,,1736343592.962236,0.0,0.2147766798734665,,,,,,
4349,172,535.989988907,1e-05,1736343598.6824334,,,,,,,,
4349,173,536.099031577,,1736343598.7915716,0.0,0.1822856366634369,,,,,,
4399,174,541.844181781,1e-05,1736343604.5366185,,,,,,,,
4399,175,541.952864148,,1736343604.6454206,0.0,0.3840005695819855,,,,,,
4449,176,547.687700523,1e-05,1736343610.3801737,,,,,,,,
4449,177,547.796315444,,1736343610.4888642,0.0,0.3953106701374054,,,,,,
4499,178,553.530186001,1e-05,1736343616.2226179,,,,,,,,
4499,179,553.639144325,,1736343616.3316088,0.0,0.31482070684432983,,,,,,
4549,180,559.383007056,1e-05,1736343622.0754595,,,,,,,,
4549,181,559.492456569,,1736343622.184913,0.0,0.3039935827255249,,,,,,
4599,182,565.23193523,1e-05,1736343627.9244003,,,,,,,,
4599,183,565.34119564,,1736343628.0337298,0.0,0.22325463593006134,,,,,,
4649,184,571.077155898,1e-05,1736343633.7696218,,,,,,,,
4649,185,571.186159268,,1736343633.8787105,0.0,0.3108505606651306,,,,,,
4699,186,576.928489977,1e-05,1736343639.6209447,,,,,,,,
4699,187,577.037589647,,1736343639.7301257,0.0,0.2652905583381653,,,,,,
4749,188,582.780621755,1e-05,1736343645.4730897,,,,,,,,
4749,189,582.889795995,,1736343645.5823677,0.0,0.2505307197570801,,,,,,
4799,190,588.624177602,1e-05,1736343651.316593,,,,,,,,
4799,191,588.732804549,,1736343651.4253376,0.0,0.3115933835506439,,,,,,
4849,192,594.456232197,1e-05,1736343657.1486497,,,,,,,,
4849,193,594.565405256,,1736343657.2579842,0.0,0.24323992431163788,,,,,,
4899,194,600.308416032,1e-05,1736343663.000838,,,,,,,,
4899,195,600.417308607,,1736343663.1097715,0.0,0.18986812233924866,,,,,,
4949,196,606.1519136,1e-05,1736343668.8443751,,,,,,,,
4949,197,606.260826263,,1736343668.953394,0.0,0.3523786664009094,,,,,,
4999,198,611.991383781,1e-05,1736343674.683857,,,,,,,,
4999,199,612.100391793,,1736343674.7929525,0.0,0.45056089758872986,,,,,,
5049,200,617.835570458,1e-05,1736343680.5280504,,,,,,,,
5049,201,617.944130443,,1736343680.6366954,0.0,0.31653276085853577,,,,,,
5099,202,623.689416415,1e-05,1736343686.3818889,,,,,,,,
5099,203,623.798256624,,1736343686.490788,0.0,0.36846843361854553,,,,,,
5149,204,629.530978774,1e-05,1736343692.223487,,,,,,,,
5149,205,629.639625121,,1736343692.3321717,0.0,0.3269800543785095,,,,,,
5199,206,635.366521351,1e-05,1736343698.058951,,,,,,,,
5199,207,635.475010945,,1736343698.1675541,0.0,0.3691122233867645,,,,,,
5249,208,641.192476191,1e-05,1736343703.8849497,,,,,,,,
5249,209,641.301137236,,1736343703.993668,0.0,0.32133615016937256,,,,,,
5299,210,647.037665827,1e-05,1736343709.7301197,,,,,,,,
5299,211,647.146486231,,1736343709.8388038,0.0,0.3671489953994751,,,,,,
5349,212,652.885323273,1e-05,1736343715.5777907,,,,,,,,
5349,213,652.994736526,,1736343715.6872456,0.0,0.377443790435791,,,,,,
5399,214,658.727056733,1e-05,1736343721.419502,,,,,,,,
5399,215,658.836528115,,1736343721.5290222,0.0,0.28737136721611023,,,,,,
5449,216,664.574630869,1e-05,1736343727.267175,,,,,,,,
5449,217,664.683216606,,1736343727.3757946,0.0,0.41782665252685547,,,,,,
5499,218,670.416602311,1e-05,1736343733.10908,,,,,,,,
5499,219,670.525717117,,1736343733.218289,0.0,0.31983283162117004,,,,,,
5549,220,676.264539843,1e-05,1736343738.9570541,,,,,,,,
5549,221,676.373427024,,1736343739.0659785,0.0,0.4215729534626007,,,,,,
5599,222,682.109205629,1e-05,1736343744.8016324,,,,,,,,
5599,223,682.217652407,,1736343744.9102361,0.0,0.22905896604061127,,,,,,
5649,224,687.937008329,1e-05,1736343750.6294749,,,,,,,,
5649,225,688.045687472,,1736343750.7382112,0.0,0.22624795138835907,,,,,,
5699,226,693.765283957,1e-05,1736343756.4577854,,,,,,,,
5699,227,693.874846742,,1736343756.5673554,0.0,0.25596150755882263,,,,,,
5749,228,699.603016532,1e-05,1736343762.2955039,,,,,,,,
5749,229,699.711615726,,1736343762.4041364,0.0,0.32343608140945435,,,,,,
5799,230,705.455074981,1e-05,1736343768.1475804,,,,,,,,
5799,231,705.564445187,,1736343768.2569351,0.0,0.44097045063972473,,,,,,
5849,232,711.305311835,1e-05,1736343773.9977815,,,,,,,,
5849,233,711.414129428,,1736343774.1066515,0.0,0.29579004645347595,,,,,,
5899,234,717.155316153,1e-05,1736343779.8478036,,,,,,,,
5899,235,717.264156238,,1736343779.9566815,0.0,0.4271506667137146,,,,,,
5949,236,722.990867072,1e-05,1736343785.6833506,,,,,,,,
5949,237,723.09923754,,1736343785.7917893,0.0,0.2730882465839386,,,,,,
5999,238,728.843490191,1e-05,1736343791.5359988,,,,,,,,
5999,239,728.952296093,,1736343791.644871,0.0,0.40992337465286255,,,,,,
6049,240,734.684951876,1e-05,1736343797.3774054,,,,,,,,
6049,241,734.79396193,,1736343797.4864051,0.0,0.431667298078537,,,,,,
6099,242,740.534745553,1e-05,1736343803.227202,,,,,,,,
6099,243,740.64440908,,1736343803.336932,0.0,0.21380555629730225,,,,,,
6149,244,746.378061105,1e-05,1736343809.070557,,,,,,,,
6149,245,746.486828747,,1736343809.1793783,0.0,0.2732888460159302,,,,,,
6199,246,752.224295115,1e-05,1736343814.9167502,,,,,,,,
6199,247,752.333440053,,1736343815.0259535,0.0,0.4741264283657074,,,,,,
6249,248,758.067279697,1e-05,1736343820.7597392,,,,,,,,
6249,249,758.177097233,,1736343820.8696015,0.0,0.5598970055580139,,,,,,
6299,250,763.916363856,1e-05,1736343826.6088576,,,,,,,,
6299,251,764.02461336,,1736343826.7171357,0.0,0.3748597502708435,,,,,,
6349,252,769.75271508,1e-05,1736343832.445207,,,,,,,,
6349,253,769.861345326,,1736343832.553917,0.0,0.3901042342185974,,,,,,
6399,254,775.591532295,1e-05,1736343838.284036,,,,,,,,
6399,255,775.700473313,,1736343838.3930297,0.0,0.22359441220760345,,,,,,
6449,256,781.436965933,1e-05,1736343844.129499,,,,,,,,
6449,257,781.546503918,,1736343844.2389853,0.0,0.4133279323577881,,,,,,
6499,258,787.280824524,1e-05,1736343849.973265,,,,,,,,
6499,259,787.389397504,,1736343850.0819662,0.0,0.4177592098712921,,,,,,
6549,260,793.117227157,1e-05,1736343855.8097084,,,,,,,,
6549,261,793.225734916,,1736343855.9183426,0.0,0.380996972322464,,,,,,
6599,262,798.952376896,1e-05,1736343861.644805,,,,,,,,
6599,263,799.061269945,,1736343861.7538466,0.0,0.4496871531009674,,,,,,
6649,264,804.792371684,1e-05,1736343867.484919,,,,,,,,
6649,265,804.90068513,,1736343867.5932765,0.0,0.43773406744003296,,,,,,
6699,266,810.627723886,1e-05,1736343873.3201733,,,,,,,,
6699,267,810.735988491,,1736343873.4284775,0.0,0.2531258463859558,,,,,,
6749,268,816.464061509,1e-05,1736343879.156504,,,,,,,,
6749,269,816.572600387,,1736343879.265175,0.0,0.36298897862434387,,,,,,
6799,270,822.312228813,1e-05,1736343885.0046766,,,,,,,,
6799,271,822.420783381,,1736343885.113307,0.0,0.2968748211860657,,,,,,
6849,272,828.16336645,1e-05,1736343890.8558023,,,,,,,,
6849,273,828.272018701,,1736343890.9645748,0.0,0.2615189254283905,,,,,,
6899,274,834.025968626,1e-05,1736343896.7184026,,,,,,,,
6899,275,834.134885522,,1736343896.827366,0.0,0.3268679976463318,,,,,,
6949,276,839.875377082,1e-05,1736343902.5678217,,,,,,,,
6949,277,839.984095828,,1736343902.6766126,0.0,0.2791832983493805,,,,,,
6999,278,845.715193194,1e-05,1736343908.4076252,,,,,,,,
6999,279,845.824504048,,1736343908.5171077,0.0,0.2642909586429596,,,,,,
7049,280,851.563914658,1e-05,1736343914.2563987,,,,,,,,
7049,281,851.67256174,,1736343914.365097,0.0,0.3768971264362335,,,,,,
7099,282,857.388362268,1e-05,1736343920.080766,,,,,,,,
7099,283,857.497133103,,1736343920.1896827,0.0,0.3919311463832855,,,,,,
7149,284,863.227707047,1e-05,1736343925.9201956,,,,,,,,
7149,285,863.337331177,,1736343926.0298188,0.0,0.32755962014198303,,,,,,
7199,286,869.070048957,1e-05,1736343931.7625608,,,,,,,,
7199,287,869.179371183,,1736343931.871855,0.0,0.25260815024375916,,,,,,
7249,288,874.922654728,1e-05,1736343937.6151257,,,,,,,,
7249,289,875.031345644,,1736343937.7238855,0.0,0.3429798185825348,,,,,,
7299,290,880.760769362,1e-05,1736343943.4532616,,,,,,,,
7299,291,880.869704845,,1736343943.562163,0.0,0.24726027250289917,,,,,,
7349,292,886.610550981,1e-05,1736343949.3030012,,,,,,,,
7349,293,886.71913642,,1736343949.4116948,0.0,0.3464994430541992,,,,,,
7399,294,892.462207292,1e-05,1736343955.154654,,,,,,,,
7399,295,892.57094743,,1736343955.2634487,0.0,0.393841952085495,,,,,,
7449,296,898.295526199,1e-05,1736343960.9879494,,,,,,,,
7449,297,898.404204922,,1736343961.0966854,0.0,0.43574267625808716,,,,,,
7499,298,904.141103127,1e-05,1736343966.833555,,,,,,,,
7499,299,904.24963154,,1736343966.9421992,0.0,0.3674449920654297,,,,,,
7549,300,909.985306302,1e-05,1736343972.6778095,,,,,,,,
7549,301,910.09435592,,1736343972.786928,0.0,0.23536311089992523,,,,,,
7599,302,915.838823212,1e-05,1736343978.5313473,,,,,,,,
7599,303,915.948163365,,1736343978.6406631,0.0,0.5067813992500305,,,,,,
7649,304,921.689653743,1e-05,1736343984.382138,,,,,,,,
7649,305,921.798446571,,1736343984.4909961,0.0,0.19391223788261414,,,,,,
7699,306,927.55092887,1e-05,1736343990.2433977,,,,,,,,
7699,307,927.659696532,,1736343990.3521967,0.0,0.37332648038864136,,,,,,
7749,308,933.398251957,1e-05,1736343996.0907636,,,,,,,,
7749,309,933.507059153,,1736343996.1996393,0.0,0.21775929629802704,,,,,,
7799,310,939.248910055,1e-05,1736344001.9413764,,,,,,,,
7799,311,939.357505505,,1736344002.0500765,0.0,0.23698033392429352,,,,,,
7849,312,945.095871713,1e-05,1736344007.7883947,,,,,,,,
7849,313,945.205065813,,1736344007.8976068,0.0,0.39098939299583435,,,,,,
7899,314,950.941473621,1e-05,1736344013.6339135,,,,,,,,
7899,315,951.050886971,,1736344013.743415,0.0,0.22789457440376282,,,,,,
7949,316,956.785637522,1e-05,1736344019.4780884,,,,,,,,
7949,317,956.894229697,,1736344019.5867512,0.0,0.36951014399528503,,,,,,
7999,318,962.627903297,1e-05,1736344025.3203387,,,,,,,,
7999,319,962.737134357,,1736344025.4296632,0.0,0.23734904825687408,,,,,,
8035,320,976.100787088,,1736344038.7932212,0.0,,0.8826000094413757,0.2903273403644562,,,,
8035,321,1006.893055798,,1736344069.5856464,0.0,,,,0.8342990875244141,0.37244710326194763,,
8036,322,1019.127668832,,1736344081.8200958,1.0,,,,,,0.881600022315979,0.291395902633667
