trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.229863755,1e-05,1736386533.0722353,,,,,,,,
49,1,33.343706161,,1736386533.1862938,0.0,0.2526240646839142,,,,,,
99,2,39.286048945,1e-05,1736386539.1285357,,,,,,,,
99,3,39.400488629,,1736386539.2430565,0.0,0.19986088573932648,,,,,,
149,4,45.343754931,1e-05,1736386545.1862917,,,,,,,,
149,5,45.457646039,,1736386545.300254,0.0,0.2658064365386963,,,,,,
199,6,51.408112569,1e-05,1736386551.2506313,,,,,,,,
199,7,51.522312637,,1736386551.3649142,0.0,0.15530209243297577,,,,,,
249,8,57.470771604,1e-05,1736386557.3133209,,,,,,,,
249,9,57.584749407,,1736386557.4273918,0.0,0.4521561861038208,,,,,,
299,10,63.547580008,1e-05,1736386563.390095,,,,,,,,
299,11,63.661676304,,1736386563.5042744,0.0,0.3673480749130249,,,,,,
349,12,69.623663392,1e-05,1736386569.4662068,,,,,,,,
349,13,69.737843225,,1736386569.5804942,0.0,0.05919228866696358,,,,,,
399,14,75.702375604,1e-05,1736386575.544901,,,,,,,,
399,15,75.816400157,,1736386575.6590002,0.0,0.061860643327236176,,,,,,
449,16,81.787523591,1e-05,1736386581.6300054,,,,,,,,
449,17,81.901530803,,1736386581.7441256,0.0,0.07963808625936508,,,,,,
499,18,87.877787984,1e-05,1736386587.720333,,,,,,,,
499,19,87.99192549,,1736386587.8345325,0.0,0.20888523757457733,,,,,,
549,20,93.956308013,1e-05,1736386593.7988114,,,,,,,,
549,21,94.070319063,,1736386593.912989,0.0,0.42062515020370483,,,,,,
599,22,100.043071911,1e-05,1736386599.8855956,,,,,,,,
599,23,100.157604058,,1736386600.0002222,0.0,0.07888719439506531,,,,,,
649,24,106.139940322,1e-05,1736386605.982434,,,,,,,,
649,25,106.254110551,,1736386606.096698,0.0,0.33681297302246094,,,,,,
699,26,112.233041974,1e-05,1736386612.0755467,,,,,,,,
699,27,112.347192007,,1736386612.189842,0.0,0.3942584693431854,,,,,,
749,28,118.325924559,1e-05,1736386618.1684833,,,,,,,,
749,29,118.440360187,,1736386618.2829714,0.0,0.19952994585037231,,,,,,
799,30,124.417920246,1e-05,1736386624.260447,,,,,,,,
799,31,124.532280414,,1736386624.3748841,0.0,0.22437547147274017,,,,,,
849,32,130.522812521,1e-05,1736386630.3652976,,,,,,,,
849,33,130.637249704,,1736386630.4798582,0.0,0.41790539026260376,,,,,,
899,34,136.627585415,1e-05,1736386636.4701595,,,,,,,,
899,35,136.741590129,,1736386636.5842142,0.0,0.2515852749347687,,,,,,
949,36,142.730525879,1e-05,1736386642.5730243,,,,,,,,
949,37,142.84474215,,1736386642.6873941,0.0,0.2715572714805603,,,,,,
999,38,148.834015222,1e-05,1736386648.6765044,,,,,,,,
999,39,148.947963592,,1736386648.7906063,0.0,0.07855051755905151,,,,,,
1049,40,154.937574436,1e-05,1736386654.780106,,,,,,,,
1049,41,155.051874405,,1736386654.8945136,0.0,0.1289510726928711,,,,,,
1099,42,161.041124993,1e-05,1736386660.883586,,,,,,,,
1099,43,161.155558633,,1736386660.9981623,0.0,0.027278101071715355,,,,,,
1149,44,167.148274138,1e-05,1736386666.9907901,,,,,,,,
1149,45,167.262847781,,1736386667.105417,0.0,0.09838709980249405,,,,,,
1199,46,173.257349798,1e-05,1736386673.0998814,,,,,,,,
1199,47,173.371610465,,1736386673.2142208,0.0,0.08074731379747391,,,,,,
1249,48,179.364751794,1e-05,1736386679.2072313,,,,,,,,
1249,49,179.479115445,,1736386679.3216896,0.0,0.2731720507144928,,,,,,
1299,50,185.478700184,1e-05,1736386685.3211682,,,,,,,,
1299,51,185.592938341,,1736386685.4355445,0.0,0.2219386100769043,,,,,,
1349,52,191.585625131,1e-05,1736386691.4281898,,,,,,,,
1349,53,191.70037639,,1736386691.5430336,0.0,0.4008641541004181,,,,,,
1399,54,197.696198907,1e-05,1736386697.538746,,,,,,,,
