trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,39.019654507,1e-05,1736364487.2331522,,,,,,,,
49,1,39.130638207,,1736364487.34431,0.0,0.7890984416007996,,,,,,
99,2,45.132327274,1e-05,1736364493.3458896,,,,,,,,
99,3,45.242621099,,1736364493.4562228,0.0,0.6676624417304993,,,,,,
149,4,51.29313949,1e-05,1736364499.5067508,,,,,,,,
149,5,51.402387191,,1736364499.6159263,0.0,0.7335860729217529,,,,,,
199,6,57.356994636,1e-05,1736364505.570593,,,,,,,,
199,7,57.466673356,,1736364505.680213,0.0,0.6355009078979492,,,,,,
249,8,63.449581462,1e-05,1736364511.663226,,,,,,,,
249,9,63.558755946,,1736364511.7724216,0.0,0.6100115180015564,,,,,,
299,10,69.467351793,1e-05,1736364517.6810431,,,,,,,,
299,11,69.57826018,,1736364517.7918572,0.0,0.5750066041946411,,,,,,
349,12,75.529809898,1e-05,1736364523.7432685,,,,,,,,
349,13,75.640551211,,1736364523.8540804,0.0,0.440377414226532,,,,,,
399,14,81.588560503,1e-05,1736364529.8021383,,,,,,,,
399,15,81.698168079,,1736364529.9117107,0.0,0.5336037278175354,,,,,,
449,16,87.646937268,1e-05,1736364535.8602118,,,,,,,,
449,17,87.756566394,,1736364535.9702194,0.0,0.5406485199928284,,,,,,
499,18,93.667338325,1e-05,1736364541.880988,,,,,,,,
499,19,93.778687339,,1736364541.992339,0.0,0.459255576133728,,,,,,
549,20,99.720064707,1e-05,1736364547.9336517,,,,,,,,
549,21,99.830331509,,1736364548.0440068,0.0,0.49098828434944153,,,,,,
599,22,105.766966297,1e-05,1736364553.9805534,,,,,,,,
599,23,105.876489814,,1736364554.0901709,0.0,0.3682747483253479,,,,,,
649,24,111.787378186,1e-05,1736364560.001004,,,,,,,,
649,25,111.897984025,,1736364560.1116223,0.0,0.48868778347969055,,,,,,
699,26,117.809984746,1e-05,1736364566.0236485,,,,,,,,
699,27,117.920784618,,1736364566.1344297,0.0,0.5316818952560425,,,,,,
749,28,123.880288085,1e-05,1736364572.0939362,,,,,,,,
749,29,123.992781515,,1736364572.2063441,0.0,0.5250176191329956,,,,,,
799,30,129.924413328,1e-05,1736364578.1379817,,,,,,,,
799,31,130.035775956,,1736364578.249093,0.0,0.6516544818878174,,,,,,
849,32,135.993264253,1e-05,1736364584.2069013,,,,,,,,
849,33,136.103735498,,1736364584.3168895,0.0,0.49840226769447327,,,,,,
899,34,142.015839436,1e-05,1736364590.229448,,,,,,,,
899,35,142.12641135,,1736364590.3400724,0.0,0.47937700152397156,,,,,,
949,36,148.029887258,1e-05,1736364596.2435374,,,,,,,,
949,37,148.138642352,,1736364596.3523765,0.0,0.36624807119369507,,,,,,
999,38,154.06495636,1e-05,1736364602.278462,,,,,,,,
999,39,154.175504709,,1736364602.3890421,0.0,0.4961826801300049,,,,,,
1049,40,160.124128867,1e-05,1736364608.3375967,,,,,,,,
1049,41,160.23364535,,1736364608.447243,0.0,0.3555281460285187,,,,,,
1099,42,166.189610746,1e-05,1736364614.4030964,,,,,,,,
1099,43,166.301574941,,1736364614.5150266,0.0,0.4607611298561096,,,,,,
1149,44,172.282997723,1e-05,1736364620.4965756,,,,,,,,
1149,45,172.395155302,,1736364620.6086962,0.0,0.4131489396095276,,,,,,
1199,46,178.351244504,1e-05,1736364626.5648394,,,,,,,,
1199,47,178.461062141,,1736364626.6747384,0.0,0.2614434063434601,,,,,,
1249,48,184.333292824,1e-05,1736364632.5469587,,,,,,,,
1249,49,184.442978403,,1736364632.6566691,0.0,0.41012144088745117,,,,,,
1299,50,190.374746116,1e-05,1736364638.5881248,,,,,,,,
1299,51,190.48555342,,1736364638.699053,0.0,0.36657997965812683,,,,,,
1349,52,196.454789049,1e-05,1736364644.6684294,,,,,,,,
1349,53,196.564665166,,1736364644.7783468,0.0,0.45957180857658386,,,,,,
1399,54,202.493967517,1e-05,1736364650.7075832,,,,,,,,
1399,55,202.605491165,,1736364650.8191192,0.0,0.37316930294036865,,,,,,
1449,56,208.541708175,1e-05,1736364656.7553,,,,,,,,
1449,57,208.654031062,,1736364656.8675687,0.0,0.5025267601013184,,,,,,
1499,58,214.617273772,1e-05,1736364662.8309457,,,,,,,,
1499,59,214.727397052,,1736364662.941031,0.0,0.45082998275756836,,,,,,
1549,60,220.710213415,1e-05,1736364668.923871,,,,,,,,
1549,61,220.820614136,,1736364669.0339513,0.0,0.35125240683555603,,,,,,
1599,62,226.721558028,1e-05,1736364674.935004,,,,,,,,
1599,63,226.832669542,,1736364675.046201,0.0,0.48269665241241455,,,,,,
1649,64,232.75316056,1e-05,1736364680.9668057,,,,,,,,
1649,65,232.864258689,,1736364681.0775936,0.0,0.48280707001686096,,,,,,
1699,66,238.765045672,1e-05,1736364686.9781911,,,,,,,,
1699,67,238.875576136,,1736364687.0887024,0.0,0.36898887157440186,,,,,,
1749,68,244.778412218,1e-05,1736364692.9920883,,,,,,,,
