trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.717868903,1e-05,1736269859.6079068,,,,,,,,
49,1,33.832008265,,1736269859.722255,0.0,0.7468198537826538,,,,,,
99,2,39.786908122,1e-05,1736269865.6770954,,,,,,,,
99,3,39.900772453,,1736269865.7909937,0.0,0.4080946445465088,,,,,,
149,4,45.858809986,1e-05,1736269871.7489681,,,,,,,,
149,5,45.972787372,,1736269871.8630674,0.0,0.3477644622325897,,,,,,
199,6,51.930448629,1e-05,1736269877.8206313,,,,,,,,
199,7,52.044178105,,1736269877.9344308,0.0,0.19834592938423157,,,,,,
249,8,58.004922673,1e-05,1736269883.8950884,,,,,,,,
249,9,58.119362079,,1736269884.0095704,0.0,0.30021238327026367,,,,,,
299,10,64.077293721,1e-05,1736269889.9673896,,,,,,,,
299,11,64.191621322,,1736269890.081843,0.0,0.19562795758247375,,,,,,
349,12,70.156656487,1e-05,1736269896.046831,,,,,,,,
349,13,70.270781402,,1736269896.1610217,0.0,0.05829434096813202,,,,,,
399,14,76.228184186,1e-05,1736269902.1183646,,,,,,,,
399,15,76.342271645,,1736269902.232517,0.0,0.1839364767074585,,,,,,
449,16,82.306845936,1e-05,1736269908.1970236,,,,,,,,
449,17,82.420959156,,1736269908.3112252,0.0,0.030934281647205353,,,,,,
499,18,88.374115654,1e-05,1736269914.264267,,,,,,,,
499,19,88.488559726,,1736269914.3787773,0.0,0.3209218978881836,,,,,,
531,20,96.49503165,,1736269922.3851404,0.0,,0.9333333373069763,0.21131157875061035,,,,
531,21,136.884430257,,1736269962.7746918,0.0,,,,0.8867725133895874,0.3733391761779785,,
532,22,144.197930332,,1736269970.088047,1.0,,,,,,0.9343915581703186,0.21057043969631195
