trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,32.671192271,1e-05,1736407585.1339493,,,,,,,,
49,1,32.779631251,,1736407585.2425592,0.0,0.81251460313797,,,,,,
99,2,38.459377235,1e-05,1736407590.9222178,,,,,,,,
99,3,38.567485788,,1736407591.0304215,0.0,1.0448024272918701,,,,,,
149,4,44.255705472,1e-05,1736407596.7185588,,,,,,,,
149,5,44.365154872,,1736407596.8279262,0.0,0.9676079750061035,,,,,,
199,6,50.048020726,1e-05,1736407602.5109112,,,,,,,,
199,7,50.15635395,,1736407602.6191676,0.0,0.8965790867805481,,,,,,
249,8,55.834934052,1e-05,1736407608.297743,,,,,,,,
249,9,55.943074836,,1736407608.405976,0.0,0.7969459891319275,,,,,,
299,10,61.631402168,1e-05,1736407614.0942287,,,,,,,,
299,11,61.739585923,,1736407614.2024913,0.0,0.7629507780075073,,,,,,
349,12,67.433455705,1e-05,1736407619.8962674,,,,,,,,
349,13,67.541801362,,1736407620.004646,0.0,0.7213857173919678,,,,,,
399,14,73.241363053,1e-05,1736407625.7042217,,,,,,,,
399,15,73.34977798,,1736407625.812699,0.0,1.0885578393936157,,,,,,
449,16,79.047852901,1e-05,1736407631.5106754,,,,,,,,
449,17,79.15658422,,1736407631.6194842,0.0,1.0353293418884277,,,,,,
499,18,84.858797064,1e-05,1736407637.321569,,,,,,,,
499,19,84.967379946,,1736407637.430308,0.0,1.0568708181381226,,,,,,
531,20,92.922423089,,1736407645.3852723,0.0,,0.7195767164230347,0.9100646376609802,,,,
531,21,112.364926645,,1736407664.801865,0.0,,,,0.6764844059944153,1.0517185926437378,,
532,22,118.800553014,,1736407671.2633946,1.0,,,,,,0.7137566208839417,0.9078468084335327
