trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,34.156295537,1e-05,1736281234.643249,,,,,,,,
49,1,34.271092866,,1736281234.7581308,0.0,0.7468198537826538,,,,,,
99,2,40.239290869,1e-05,1736281240.7262862,,,,,,,,
99,3,40.353524892,,1736281240.8406286,0.0,0.4080946445465088,,,,,,
149,4,46.325318821,1e-05,1736281246.812309,,,,,,,,
149,5,46.440126038,,1736281246.927152,0.0,0.3477644622325897,,,,,,
199,6,52.409794381,1e-05,1736281252.896746,,,,,,,,
199,7,52.524333004,,1736281253.0114424,0.0,0.19834592938423157,,,,,,
249,8,58.493683568,1e-05,1736281258.9806361,,,,,,,,
249,9,58.608441873,,1736281259.0953958,0.0,0.30021238327026367,,,,,,
299,10,64.586082261,1e-05,1736281265.0730398,,,,,,,,
299,11,64.700428984,,1736281265.1874976,0.0,0.19562795758247375,,,,,,
349,12,70.67290966,1e-05,1736281271.15991,,,,,,,,
349,13,70.787359085,,1736281271.2744257,0.0,0.05829434096813202,,,,,,
399,14,76.759757314,1e-05,1736281277.2467277,,,,,,,,
399,15,76.874747903,,1736281277.361857,0.0,0.1839364767074585,,,,,,
449,16,82.852472332,1e-05,1736281283.3394587,,,,,,,,
449,17,82.96717279800001,,1736281283.4542446,0.0,0.030934281647205353,,,,,,
499,18,88.941963866,1e-05,1736281289.4289434,,,,,,,,
499,19,89.056381992,,1736281289.5434847,0.0,0.3209218978881836,,,,,,
531,20,97.024318752,,1736281297.5113006,0.0,,0.9333333373069763,0.21131157875061035,,,,
531,21,135.931466413,,1736281336.4185674,0.0,,,,0.8867725133895874,0.3733391761779785,,
549,22,139.556372811,1e-05,1736281340.0432835,,,,,,,,
549,23,139.670634422,,1736281340.157681,1.0,0.23545387387275696,,,,,,
599,24,145.660388128,1e-05,1736281346.1473858,,,,,,,,
599,25,145.776055143,,1736281346.2630727,1.0,0.18034081161022186,,,,,,
649,26,151.762678371,1e-05,1736281352.249631,,,,,,,,
649,27,151.877299175,,1736281352.364376,1.0,0.1959708333015442,,,,,,
699,28,157.850392244,1e-05,1736281358.3373914,,,,,,,,
699,29,157.964464129,,1736281358.451521,1.0,0.20625467598438263,,,,,,
749,30,163.93952779,1e-05,1736281364.426572,,,,,,,,
749,31,164.054013841,,1736281364.541071,1.0,0.17011672258377075,,,,,,
799,32,170.034907159,1e-05,1736281370.5219252,,,,,,,,
799,33,170.149501893,,1736281370.6364846,1.0,0.0767124816775322,,,,,,
849,34,176.144295653,1e-05,1736281376.631251,,,,,,,,
849,35,176.258866953,,1736281376.7459052,1.0,0.17578870058059692,,,,,,
899,36,182.242939589,1e-05,1736281382.729922,,,,,,,,
899,37,182.357619973,,1736281382.8446188,1.0,0.21123959124088287,,,,,,
949,38,188.341262884,1e-05,1736281388.8282712,,,,,,,,
949,39,188.455445666,,1736281388.9425366,1.0,0.20070111751556396,,,,,,
999,40,194.437225805,1e-05,1736281394.92421,,,,,,,,
999,41,194.551230683,,1736281395.0382955,1.0,0.028548935428261757,,,,,,
1049,42,200.517094984,1e-05,1736281401.00411,,,,,,,,
1049,43,200.631628382,,1736281401.1186604,1.0,0.21924567222595215,,,,,,
1063,44,206.367321947,,1736281406.854303,1.0,,0.9333333373069763,0.23411503434181213,,,,
1063,45,246.126323739,,1736281446.6132817,1.0,,,,0.9477366209030151,0.16438190639019012,,
1099,46,252.003986935,1e-05,1736281452.4909043,,,,,,,,
1099,47,252.118024152,,1736281452.6051025,2.0,0.10220547765493393,,,,,,
1149,48,258.091608736,1e-05,1736281458.578599,,,,,,,,
1149,49,258.207615594,,1736281458.6946466,2.0,0.18851910531520844,,,,,,
1199,50,264.193569631,1e-05,1736281464.6805642,,,,,,,,
1199,51,264.308706489,,1736281464.795716,2.0,0.12059538066387177,,,,,,
1249,52,270.296263271,1e-05,1736281470.7832267,,,,,,,,
1249,53,270.410753336,,1736281470.897845,2.0,0.0362887978553772,,,,,,
