trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,34.690255272,1e-05,1736294037.2650583,,,,,,,,
49,1,34.798094786,,1736294037.3731654,0.0,0.81251460313797,,,,,,
99,2,40.473887145,1e-05,1736294043.048885,,,,,,,,
99,3,40.582242696,,1736294043.1573224,0.0,1.0448024272918701,,,,,,
149,4,46.262945441,1e-05,1736294048.8380208,,,,,,,,
149,5,46.371365452,,1736294048.9464426,0.0,0.9676079750061035,,,,,,
199,6,52.047812228,1e-05,1736294054.6227748,,,,,,,,
199,7,52.156491505,,1736294054.7315664,0.0,0.8965790867805481,,,,,,
249,8,57.831070005,1e-05,1736294060.406066,,,,,,,,
249,9,57.939873506,,1736294060.514962,0.0,0.7969459891319275,,,,,,
299,10,63.620147673,1e-05,1736294066.1951125,,,,,,,,
299,11,63.728481152,,1736294066.3035169,0.0,0.7629507780075073,,,,,,
349,12,69.413734995,1e-05,1736294071.9886925,,,,,,,,
349,13,69.522827307,,1736294072.0978632,0.0,0.7213857173919678,,,,,,
399,14,75.203059261,1e-05,1736294077.7781081,,,,,,,,
399,15,75.311858759,,1736294077.88692,0.0,1.0885578393936157,,,,,,
449,16,80.989159045,1e-05,1736294083.5642161,,,,,,,,
449,17,81.097876853,,1736294083.6729286,0.0,1.0353293418884277,,,,,,
499,18,86.779476189,1e-05,1736294089.354436,,,,,,,,
499,19,86.887978547,,1736294089.4630342,0.0,1.0568708181381226,,,,,,
531,20,95.067297117,,1736294097.6422615,0.0,,0.7195767164230347,0.9100646376609802,,,,
531,21,120.936640343,,1736294123.511726,0.0,,,,0.6764844059944153,1.0517185926437378,,
549,22,124.927243952,1e-05,1736294127.5020962,,,,,,,,
549,23,125.035867627,,1736294127.610895,1.0,1.040500521659851,,,,,,
599,24,130.719857268,1e-05,1736294133.2948267,,,,,,,,
599,25,130.827808103,,1736294133.402826,1.0,1.0212146043777466,,,,,,
649,26,136.523513736,1e-05,1736294139.0984712,,,,,,,,
649,27,136.632226479,,1736294139.207248,1.0,0.9264576435089111,,,,,,
699,28,142.334858138,1e-05,1736294144.9098468,,,,,,,,
699,29,142.443320807,,1736294145.0183723,1.0,0.9130368232727051,,,,,,
749,30,148.138703262,1e-05,1736294150.7137384,,,,,,,,
749,31,148.247335374,,1736294150.8223872,1.0,0.9619215130805969,,,,,,
799,32,153.945477576,1e-05,1736294156.520452,,,,,,,,
799,33,154.054087382,,1736294156.6291556,1.0,0.8448737263679504,,,,,,
849,34,159.750302613,1e-05,1736294162.3252857,,,,,,,,
849,35,159.859015968,,1736294162.4341085,1.0,1.142814040184021,,,,,,
899,36,165.5490978,1e-05,1736294168.1241255,,,,,,,,
899,37,165.657787888,,1736294168.232812,1.0,0.9602402448654175,,,,,,
949,38,171.35144132,1e-05,1736294173.9264395,,,,,,,,
949,39,171.460198318,,1736294174.0352786,1.0,0.8652075529098511,,,,,,
999,40,177.155732346,1e-05,1736294179.7306848,,,,,,,,
999,41,177.264480874,,1736294179.8395224,1.0,0.7425535321235657,,,,,,
1049,42,182.951969381,1e-05,1736294185.526959,,,,,,,,
1049,43,183.060700252,,1736294185.6353815,1.0,1.001067876815796,,,,,,
1063,44,189.052910492,,1736294191.627842,1.0,,0.7476190328598022,0.8221206068992615,,,,
1063,45,214.397808381,,1736294216.9727063,1.0,,,,0.7164021134376526,0.9163565039634705,,
1099,46,220.584403215,1e-05,1736294223.1593025,,,,,,,,
1099,47,220.693561162,,1736294223.2686412,2.0,0.8282169699668884,,,,,,
1149,48,226.381860955,1e-05,1736294228.9568741,,,,,,,,
1149,49,226.490668039,,1736294229.0657454,2.0,0.8793773055076599,,,,,,
1199,50,232.186062491,1e-05,1736294234.7610528,,,,,,,,
1199,51,232.294422482,,1736294234.869515,2.0,0.8982794880867004,,,,,,
1249,52,238.000344019,1e-05,1736294240.5753376,,,,,,,,
1249,53,238.108953585,,1736294240.6840441,2.0,0.6480402946472168,,,,,,
1299,54,243.81606148,1e-05,1736294246.3910482,,,,,,,,
1299,55,243.924951859,,1736294246.4999561,2.0,0.7189100384712219,,,,,,
1349,56,249.632997279,1e-05,1736294252.207934,,,,,,,,
1349,57,249.742628084,,1736294252.3176553,2.0,0.7138027548789978,,,,,,
1399,58,255.445615344,1e-05,1736294258.020588,,,,,,,,
1399,59,255.554244105,,1736294258.1292806,2.0,0.696539044380188,,,,,,
1449,60,261.264736522,1e-05,1736294263.8397775,,,,,,,,
1449,61,261.373638743,,1736294263.9487152,2.0,0.7248050570487976,,,,,,
1499,62,267.084811116,1e-05,1736294269.6597445,,,,,,,,
1499,63,267.193543835,,1736294269.7685964,2.0,0.618634045124054,,,,,,
1549,64,272.903374542,1e-05,1736294275.478355,,,,,,,,
1549,65,273.011859842,,1736294275.5869603,2.0,0.9370446801185608,,,,,,
1595,66,282.767731664,,1736294285.3427148,2.0,,0.7693121433258057,0.7468957901000977,,,,
1595,67,310.533942693,,1736294313.1086426,2.0,,,,0.7427983283996582,0.82735276222229,,
1599,68,312.971769742,1e-05,1736294315.546608,,,,,,,,
1599,69,313.080537629,,1736294315.6556354,3.0,0.753405749797821,,,,,,
1649,70,318.770822299,1e-05,1736294321.3457704,,,,,,,,
1649,71,318.879618096,,1736294321.4546862,3.0,0.9104273319244385,,,,,,
1699,72,324.572484332,1e-05,1736294327.147451,,,,,,,,
1699,73,324.681196269,,1736294327.2562919,3.0,0.766262948513031,,,,,,
1749,74,330.375290404,1e-05,1736294332.950241,,,,,,,,
1749,75,330.484271873,,1736294333.059392,3.0,0.8997563123703003,,,,,,
1799,76,336.19636693,1e-05,1736294338.7712924,,,,,,,,
1799,77,336.305071616,,1736294338.8801303,3.0,0.6438959240913391,,,,,,
1849,78,342.018993748,1e-05,1736294344.5939817,,,,,,,,
1849,79,342.128134189,,1736294344.7032166,3.0,0.8050572276115417,,,,,,
