trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.057681773,1e-05,1736394219.1083593,,,,,,,,
49,1,33.172401825,,1736394219.2231972,0.0,0.751792848110199,,,,,,
99,2,39.134452321,1e-05,1736394225.1852014,,,,,,,,
99,3,39.248891534,,1736394225.2996478,0.0,0.5099802017211914,,,,,,
149,4,45.21840619,1e-05,1736394231.2692523,,,,,,,,
149,5,45.332687975,,1736394231.3835716,0.0,0.4799909293651581,,,,,,
194,6,53.248210248,,1736394239.2990026,0.0,,0.736994206905365,0.5531637072563171,,,,
194,7,83.613916184,,1736394269.6337829,0.0,,,,0.7153179049491882,0.5591470003128052,,
199,8,85.882236452,1e-05,1736394271.9328363,,,,,,,,
199,9,85.998356332,,1736394272.049129,1.0,0.38803863525390625,,,,,,
249,10,91.982959872,1e-05,1736394278.0337262,,,,,,,,
249,11,92.097127966,,1736394278.1479504,1.0,0.31716009974479675,,,,,,
299,12,98.080762588,1e-05,1736394284.1315067,,,,,,,,
299,13,98.195112822,,1736394284.245973,1.0,0.40785810351371765,,,,,,
349,14,104.169095467,1e-05,1736394290.219868,,,,,,,,
349,15,104.283361481,,1736394290.3342478,1.0,0.3994782865047455,,,,,,
389,16,111.638751756,,1736394297.6895585,1.0,,0.7471098303794861,0.5143067240715027,,,,
389,17,141.671105859,,1736394327.7219043,1.0,,,,0.8012202978134155,0.4346613883972168,,
399,18,144.597250759,1e-05,1736394330.6479523,,,,,,,,
399,19,144.712202347,,1736394330.7629602,2.0,0.3605095148086548,,,,,,
449,20,150.728823621,1e-05,1736394336.7796073,,,,,,,,
449,21,150.843669538,,1736394336.8945422,2.0,0.28064730763435364,,,,,,
499,22,156.818223629,1e-05,1736394342.8690515,,,,,,,,
499,23,156.932228015,,1736394342.9831207,2.0,0.25323984026908875,,,,,,
549,24,162.914699058,1e-05,1736394348.9655304,,,,,,,,
549,25,163.029097301,,1736394349.079967,2.0,0.28921547532081604,,,,,,
584,26,169.83942898,,1736394355.8900263,2.0,,0.75,0.5573066473007202,,,,
584,27,200.013585205,,1736394386.064355,2.0,,,,0.8546885251998901,0.3342132270336151,,
599,28,203.62927653,1e-05,1736394389.679976,,,,,,,,
599,29,203.743402741,,1736394389.7942936,3.0,0.2733934819698334,,,,,,
649,30,209.7288063,1e-05,1736394395.7796497,,,,,,,,
649,31,209.843596686,,1736394395.8944707,3.0,0.33194559812545776,,,,,,
699,32,215.843022191,1e-05,1736394401.8938062,,,,,,,,
699,33,215.957390083,,1736394402.008302,3.0,0.3672478199005127,,,,,,
749,34,221.950967536,1e-05,1736394408.001847,,,,,,,,
749,35,222.065292816,,1736394408.115908,3.0,0.3552946448326111,,,,,,
779,36,228.245802609,,1736394414.296568,3.0,,0.7427745461463928,0.627070426940918,,,,
779,37,257.796236288,,1736394443.8470287,3.0,,,,0.8906551003456116,0.26795342564582825,,
799,38,261.954574138,1e-05,1736394448.0052996,,,,,,,,
799,39,262.06879934,,1736394448.1196663,4.0,0.10217206925153732,,,,,,
849,40,268.068087296,1e-05,1736394454.1188667,,,,,,,,
849,41,268.182438242,,1736394454.2333074,4.0,0.263735294342041,,,,,,
899,42,274.181567111,1e-05,1736394460.232399,,,,,,,,
899,43,274.295843286,,1736394460.3467903,4.0,0.11061602085828781,,,,,,
949,44,280.303801436,1e-05,1736394466.354604,,,,,,,,
949,45,280.418070426,,1736394466.4687219,4.0,0.08941909670829773,,,,,,
974,46,286.011882936,,1736394472.0626395,4.0,,0.7398843765258789,0.7185531258583069,,,,
974,47,316.980504222,,1736394503.0312107,4.0,,,,0.9203596711158752,0.20144124329090118,,
999,48,321.799628819,1e-05,1736394507.8503187,,,,,,,,
999,49,321.913533726,,1736394507.9644592,5.0,0.17956547439098358,,,,,,
