trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,38.698729459,1e-05,1736371892.453192,,,,,,,,
49,1,38.808652902,,1736371892.563149,0.0,0.7423842549324036,,,,,,
99,2,44.705514159,1e-05,1736371898.4600291,,,,,,,,
99,3,44.815862169,,1736371898.5704956,0.0,0.6482018232345581,,,,,,
149,4,50.711046538,1e-05,1736371904.4656456,,,,,,,,
149,5,50.821077793,,1736371904.575604,0.0,0.6677148342132568,,,,,,
194,6,59.50714125,,1736371913.2613716,0.0,,0.6083815097808838,0.6573078632354736,,,,
194,7,79.026764849,,1736371932.7815151,0.0,,,,0.6164097785949707,0.656268835067749,,
199,8,81.951328833,1e-05,1736371935.7051117,,,,,,,,
199,9,82.064664069,,1736371935.8190303,1.0,0.6213315725326538,,,,,,
249,10,87.976571529,1e-05,1736371941.7311912,,,,,,,,
249,11,88.086725573,,1736371941.8410811,1.0,0.6329817771911621,,,,,,
299,12,93.972270459,1e-05,1736371947.7265563,,,,,,,,
299,13,94.082194581,,1736371947.8367076,1.0,0.6473071575164795,,,,,,
349,14,99.986260813,1e-05,1736371953.7407591,,,,,,,,
349,15,100.097542062,,1736371953.852113,1.0,0.6328950524330139,,,,,,
389,16,108.044368855,,1736371961.7988813,1.0,,0.6286126971244812,0.6562453508377075,,,,
389,17,126.933678033,,1736371980.6882758,1.0,,,,0.6194605231285095,0.6538420915603638,,
399,18,130.70528771,1e-05,1736371984.4597785,,,,,,,,
399,19,130.814366574,,1736371984.5690184,2.0,0.6098829507827759,,,,,,
449,20,136.769712548,1e-05,1736371990.5241685,,,,,,,,
449,21,136.882622964,,1736371990.6370687,2.0,0.6901540756225586,,,,,,
499,22,142.8884112,1e-05,1736371996.6429756,,,,,,,,
499,23,142.999264766,,1736371996.753886,2.0,0.6324847340583801,,,,,,
549,24,148.951872691,1e-05,1736372002.7064142,,,,,,,,
549,25,149.063484008,,1736372002.8179667,2.0,0.5825575590133667,,,,,,
584,26,156.542357764,,1736372010.296712,2.0,,0.6228323578834534,0.6549562811851501,,,,
584,27,175.76018305,,1736372029.5147235,2.0,,,,0.6308606266975403,0.6465664505958557,,
599,28,179.944122168,1e-05,1736372033.6985612,,,,,,,,
599,29,180.054890954,,1736372033.8095157,3.0,0.6232016086578369,,,,,,
649,30,186.010558305,1e-05,1736372039.764689,,,,,,,,
649,31,186.119890043,,1736372039.87449,3.0,0.6861164569854736,,,,,,
699,32,192.052798416,1e-05,1736372045.807379,,,,,,,,
699,33,192.163029191,,1736372045.917592,3.0,0.6522560119628906,,,,,,
749,34,198.115129619,1e-05,1736372051.8697371,,,,,,,,
749,35,198.224723669,,1736372051.9792845,3.0,0.621483325958252,,,,,,
779,36,204.99904581,,1736372058.75361,3.0,,0.6286126971244812,0.6493702530860901,,,,
779,37,223.049417128,,1736372076.8040102,3.0,,,,0.6382466554641724,0.6424049139022827,,
799,38,227.798056647,1e-05,1736372081.5525367,,,,,,,,
799,39,227.908463241,,1736372081.6630967,4.0,0.5955431461334229,,,,,,
849,40,233.882176618,1e-05,1736372087.6367888,,,,,,,,
849,41,233.990763596,,1736372087.745408,4.0,0.6141321063041687,,,,,,
899,42,239.932011357,1e-05,1736372093.6865985,,,,,,,,
899,43,240.041848341,,1736372093.7964373,4.0,0.6168875098228455,,,,,,
949,44,245.969112567,1e-05,1736372099.7237425,,,,,,,,
949,45,246.077573739,,1736372099.8321786,4.0,0.5869239568710327,,,,,,
974,46,252.28427479,,1736372106.0386593,4.0,,0.6358381509780884,0.6492307782173157,,,,
974,47,274.768734306,,1736372128.5233328,4.0,,,,0.6432241201400757,0.6369210481643677,,
999,48,279.942127394,1e-05,1736372133.6966562,,,,,,,,
999,49,280.050980871,,1736372133.8055222,5.0,0.5681201219558716,,,,,,
1049,50,285.950784072,1e-05,1736372139.7053297,,,,,,,,
1049,51,286.061832099,,1736372139.8164208,5.0,0.5921951532363892,,,,,,
1099,52,292.015559639,1e-05,1736372145.7700946,,,,,,,,
1099,53,292.125975479,,1736372145.8804593,5.0,0.6308202743530273,,,,,,
1149,54,298.051898703,1e-05,1736372151.806447,,,,,,,,
1149,55,298.162780097,,1736372151.916943,5.0,0.5945917963981628,,,,,,
1169,56,303.923377949,,1736372157.6779125,5.0,,0.6416184902191162,0.6374207735061646,,,,
1169,57,322.926488912,,1736372176.6810362,5.0,,,,0.654945433139801,0.6299311518669128,,
1199,58,328.80329622,1e-05,1736372182.5576348,,,,,,,,
1199,59,328.915447687,,1736372182.6700406,6.0,0.6280485987663269,,,,,,
1249,60,334.863083033,1e-05,1736372188.617565,,,,,,,,
1249,61,334.97510695,,1736372188.729711,6.0,0.6882006525993347,,,,,,
1299,62,340.861695686,1e-05,1736372194.6163068,,,,,,,,
1299,63,340.971088714,,1736372194.7255852,6.0,0.533830463886261,,,,,,
1349,64,346.80695594,1e-05,1736372200.56142,,,,,,,,
1349,65,346.916116313,,1736372200.6706374,6.0,0.7280086278915405,,,,,,
1364,66,351.913385857,,1736372205.6677608,6.0,,0.647398829460144,0.6359531879425049,,,,
1364,67,370.72639708,,1736372224.4809906,6.0,,,,0.6634553670883179,0.6240999698638916,,
1399,68,377.318640719,1e-05,1736372231.0729795,,,,,,,,
1399,69,377.428222782,,1736372231.182793,7.0,0.5788463950157166,,,,,,
1449,70,383.35657388,1e-05,1736372237.1109662,,,,,,,,
1449,71,383.466677433,,1736372237.2213225,7.0,0.7006208896636963,,,,,,
1499,72,389.430049469,1e-05,1736372243.1844099,,,,,,,,
1499,73,389.541955343,,1736372243.2965643,7.0,0.6724444031715393,,,,,,
1549,74,395.441369717,1e-05,1736372249.1959877,,,,,,,,
1549,75,395.549509232,,1736372249.3041847,7.0,0.6030969023704529,,,,,,
1559,76,400.001287072,,1736372253.755599,7.0,,0.6546242833137512,0.6264122128486633,,,,
1559,77,419.736210048,,1736372273.4908214,7.0,,,,0.6652215719223022,0.6181003451347351,,
1599,78,426.833907466,1e-05,1736372280.5884144,,,,,,,,
1599,79,426.943664597,,1736372280.6983473,8.0,0.7300425171852112,,,,,,
1649,80,432.897036572,1e-05,1736372286.6516325,,,,,,,,
1649,81,433.007930557,,1736372286.7625353,8.0,0.5504353642463684,,,,,,
1699,82,438.93100024,1e-05,1736372292.6855595,,,,,,,,
1699,83,439.043434145,,1736372292.7979448,8.0,0.6971166133880615,,,,,,
1749,84,444.976181798,1e-05,1736372298.7307518,,,,,,,,
1749,85,445.086192776,,1736372298.840768,8.0,0.6204397678375244,,,,,,
1754,86,448.806068384,,1736372302.5601788,8.0,,0.6358381509780884,0.6300907731056213,,,,
1754,87,468.264167897,,1736372322.0187495,8.0,,,,0.6719653010368347,0.6145864129066467,,
1799,88,475.881261513,1e-05,1736372329.635767,,,,,,,,
1799,89,475.990630525,,1736372329.7452183,9.0,0.5865548849105835,,,,,,
1849,90,481.927885747,1e-05,1736372335.6824708,,,,,,,,
1849,91,482.039146008,,1736372335.7933915,9.0,0.49288108944892883,,,,,,
1899,92,488.019912525,1e-05,1736372341.7744527,,,,,,,,
1899,93,488.128650342,,1736372341.8832834,9.0,0.6383389234542847,,,,,,
1949,94,493.995908322,1e-05,1736372347.7504,,,,,,,,
1949,95,494.063898026,,1736372347.8185089,9.0,0.577040433883667,,,,,,
1949,96,497.498591714,,1736372351.2530892,9.0,,0.6531791687011719,0.6281636953353882,,,,
1949,97,516.912280248,,1736372370.6667356,9.0,,,,0.6698779463768005,0.6111873388290405,,
1999,98,525.335517732,1e-05,1736372379.0900512,,,,,,,,
1999,99,525.444743885,,1736372379.1993008,10.0,0.6962237358093262,,,,,,
2049,100,531.336923433,1e-05,1736372385.091563,,,,,,,,
2049,101,531.446331658,,1736372385.2010098,10.0,0.6100517511367798,,,,,,
2099,102,537.413423719,1e-05,1736372391.1675298,,,,,,,,
2099,103,537.523548228,,1736372391.278144,10.0,0.569725751876831,,,,,,
2144,104,546.219229755,,1736372399.9736896,10.0,,0.6618497371673584,0.6217010617256165,,,,
2144,105,566.614600504,,1736372420.3692214,10.0,,,,0.6825626492500305,0.6038241982460022,,
2149,106,569.380826418,1e-05,1736372423.1349907,,,,,,,,
2149,107,569.495759252,,1736372423.2501628,11.0,0.584479570388794,,,,,,
2199,108,575.432233729,1e-05,1736372429.1863914,,,,,,,,
2199,109,575.542015153,,1736372429.2964249,11.0,0.6658979058265686,,,,,,
2249,110,581.458111447,1e-05,1736372435.212582,,,,,,,,
2249,111,581.569786395,,1736372435.324279,11.0,0.6685627102851868,,,,,,
2299,112,587.508726101,1e-05,1736372441.2633119,,,,,,,,
2299,113,587.618170152,,1736372441.3727012,11.0,0.6736913323402405,,,,,,
2339,114,595.616128757,,1736372449.370649,11.0,,0.663294792175293,0.6253491044044495,,,,
2339,115,615.806754896,,1736372469.561222,11.0,,,,0.681438684463501,0.600992739200592,,
2349,116,619.088073902,1e-05,1736372472.8425355,,,,,,,,
2349,117,619.200313249,,1736372472.954749,12.0,0.6714237332344055,,,,,,
2399,118,625.143155485,1e-05,1736372478.8968976,,,,,,,,
2399,119,625.253394759,,1736372479.007987,12.0,0.5624030828475952,,,,,,
2449,120,631.194077216,1e-05,1736372484.9486096,,,,,,,,
2449,121,631.303664575,,1736372485.0582078,12.0,0.6025379300117493,,,,,,
2499,122,637.275682574,1e-05,1736372491.0302567,,,,,,,,
2499,123,637.387855045,,1736372491.1423368,12.0,0.5996893048286438,,,,,,
2534,124,644.79672461,,1736372498.551026,12.0,,0.660404622554779,0.6193610429763794,,,,
