trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,48.799767737,1e-05,1736380187.3782897,,,,,,,,
49,1,48.913484061,,1736380187.4922032,0.0,0.06139807403087616,,,,,,
99,2,54.877890404,1e-05,1736380193.4565315,,,,,,,,
99,3,54.991982323,,1736380193.5707397,0.0,0.013081204146146774,,,,,,
140,4,62.006160336,,1736380200.584723,0.0,,0.9800000190734863,0.06845466792583466,,,,
140,5,91.548061498,,1736380230.0984652,0.0,,,,0.9673333168029785,0.11249203234910965,,
149,6,94.159288636,1e-05,1736380232.7378492,,,,,,,,
149,7,94.272839225,,1736380232.8515832,1.0,0.0034241219982504845,,,,,,
199,8,100.228125115,1e-05,1736380238.8067517,,,,,,,,
199,9,100.342153399,,1736380238.9209106,1.0,0.00040730839828029275,,,,,,
249,10,106.302975012,1e-05,1736380244.8816032,,,,,,,,
249,11,106.417276708,,1736380244.9960332,1.0,0.026711534708738327,,,,,,
281,12,112.364416344,,1736380250.9430082,1.0,,0.9779999852180481,0.08920314162969589,,,,
281,13,143.893880546,,1736380282.472452,1.0,,,,0.9862222075462341,0.045242276042699814,,
299,14,147.787080275,1e-05,1736380286.3656142,,,,,,,,
299,15,147.90100995,,1736380286.4797442,2.0,0.0732194036245346,,,,,,
349,16,153.855949439,1e-05,1736380292.4345894,,,,,,,,
349,17,153.96945114,,1736380292.5482266,2.0,0.000394711853004992,,,,,,
399,18,159.933771686,1e-05,1736380298.512481,,,,,,,,
399,19,160.047996793,,1736380298.626659,2.0,0.0003775654477067292,,,,,,
422,20,164.8452691,,1736380303.42386,2.0,,0.984000027179718,0.04879600182175636,,,,
422,21,195.413191867,,1736380333.991804,2.0,,,,0.9879999756813049,0.03621440380811691,,
449,22,200.254501957,1e-05,1736380338.8330195,,,,,,,,
449,23,200.3685349,,1736380338.9473212,3.0,0.0056538693606853485,,,,,,
499,24,206.339131126,1e-05,1736380344.9178104,,,,,,,,
499,25,206.453142528,,1736380345.0319033,3.0,0.001333249849267304,,,,,,
549,26,212.415584854,1e-05,1736380350.9942122,,,,,,,,
549,27,212.529256088,,1736380351.1079724,3.0,0.0009862821316346526,,,,,,
563,28,216.216199627,,1736380354.7948031,3.0,,0.9860000014305115,0.04218472167849541,,,,
563,29,246.219459799,,1736380384.7980313,3.0,,,,0.9964444637298584,0.014458882622420788,,
599,30,252.145162699,1e-05,1736380390.723698,,,,,,,,
599,31,252.258859417,,1736380390.8375807,4.0,1.2959858395333868e-05,,,,,,
649,32,258.22400761,1e-05,1736380396.8025763,,,,,,,,
649,33,258.338068411,,1736380396.9167855,4.0,0.0002872590266633779,,,,,,
699,34,264.309341518,1e-05,1736380402.8878324,,,,,,,,
699,35,264.423521132,,1736380403.0019572,4.0,0.00011400478979339823,,,,,,
704,36,267.027643076,,1736380405.6062934,4.0,,0.9760000109672546,0.16626350581645966,,,,
704,37,267.033994289,,1736380405.6127586,4.0,,,,0.9953333139419556,0.019997047260403633,,
749,38,273.932890142,1e-05,1736380412.5114133,,,,,,,,
749,39,274.046876673,,1736380412.6254632,5.0,0.0507236011326313,,,,,,
799,40,280.024563619,1e-05,1736380418.6032286,,,,,,,,
799,41,280.138546453,,1736380418.7173104,5.0,7.347806240431964e-05,,,,,,
845,42,287.73651005,,1736380426.3150861,5.0,,0.9879999756813049,0.029958918690681458,,,,
845,43,287.742552463,,1736380426.3212738,5.0,,,,0.9933333396911621,0.021327048540115356,,
846,44,292.421911647,,1736380431.0005355,6.0,,,,,,0.9800000190734863,0.0653875321149826
