trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,57.843752776,1e-05,1736357928.6782,,,,,,,,
49,1,57.954992799,,1736357928.7892084,0.0,0.0270241592079401,,,,,,
99,2,63.808893132,1e-05,1736357934.6433375,,,,,,,,
99,3,63.919623309,,1736357934.7542489,0.0,0.03356384113430977,,,,,,
140,4,71.802194694,,1736357942.6367695,0.0,,0.9700000286102295,0.10898783057928085,,,,
140,5,90.939143783,,1736357961.77373,0.0,,,,0.9808889031410217,0.07384179532527924,,
149,6,94.382804651,1e-05,1736357965.217269,,,,,,,,
149,7,94.495605669,,1736357965.3298264,1.0,0.142131045460701,,,,,,
199,8,100.384472842,1e-05,1736357971.2190166,,,,,,,,
199,9,100.493691084,,1736357971.3284132,1.0,0.1190684586763382,,,,,,
249,10,106.395927235,1e-05,1736357977.2305958,,,,,,,,
249,11,106.509930345,,1736357977.343504,1.0,0.02502845600247383,,,,,,
281,12,113.448602664,,1736357984.283217,1.0,,0.9760000109672546,0.094425268471241,,,,
281,13,132.891735278,,1736358003.7262528,1.0,,,,0.9853333234786987,0.06684289872646332,,
299,14,137.708425248,1e-05,1736358008.5425658,,,,,,,,
299,15,137.819466897,,1736358008.6541615,2.0,0.03455014526844025,,,,,,
349,16,143.707282763,1e-05,1736358014.5420532,,,,,,,,
349,17,143.815793719,,1736358014.6506119,2.0,0.1637553721666336,,,,,,
399,18,149.670389038,1e-05,1736358020.5051267,,,,,,,,
399,19,149.780096335,,1736358020.6147609,2.0,0.0804523378610611,,,,,,
422,20,155.337787814,,1736358026.1723902,2.0,,0.9819999933242798,0.07984623312950134,,,,
422,21,175.221544866,,1736358046.05607,2.0,,,,0.9837777614593506,0.063381128013134,,
449,22,181.031058125,1e-05,1736358051.8653376,,,,,,,,
449,23,181.140263451,,1736358051.9749572,3.0,0.015262157656252384,,,,,,
499,24,187.002625571,1e-05,1736358057.8372679,,,,,,,,
499,25,187.113758029,,1736358057.9479084,3.0,0.05419875681400299,,,,,,
549,26,192.996493183,1e-05,1736358063.8310287,,,,,,,,
549,27,193.107120233,,1736358063.9416518,3.0,0.026344643905758858,,,,,,
563,28,197.705027895,,1736358068.5396512,3.0,,0.9760000109672546,0.07748431712388992,,,,
563,29,217.730231698,,1736358088.5644321,3.0,,,,0.9844444394111633,0.05879443883895874,,
599,30,224.520941815,1e-05,1736358095.3550682,,,,,,,,
599,31,224.631085148,,1736358095.4656565,4.0,0.02443511039018631,,,,,,
649,32,230.531884735,1e-05,1736358101.3665042,,,,,,,,
649,33,230.643080682,,1736358101.4776895,4.0,0.030673209577798843,,,,,,
699,34,236.491245608,1e-05,1736358107.3259604,,,,,,,,
699,35,236.6021142,,1736358107.4365056,4.0,0.039207011461257935,,,,,,
704,36,239.966024502,,1736358110.800577,4.0,,0.9819999933242798,0.06765527278184891,,,,
704,37,259.703840358,,1736358130.538532,4.0,,,,0.9868888854980469,0.05523110181093216,,
749,38,267.361842609,1e-05,1736358138.1964245,,,,,,,,
749,39,267.472250247,,1736358138.3063364,5.0,0.029925305396318436,,,,,,
799,40,273.348856108,1e-05,1736358144.1833625,,,,,,,,
799,41,273.461954458,,1736358144.2962897,5.0,0.018741397187113762,,,,,,
845,42,281.92397919,,1736358152.7583537,5.0,,0.9800000190734863,0.0688592940568924,,,,
845,43,302.333306361,,1736358173.1680546,5.0,,,,0.9886666536331177,0.051947928965091705,,
846,44,307.715636787,,1736358178.5501847,6.0,,,,,,0.984000027179718,0.07446630299091339
