trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,39.631100274,1e-05,1736347204.3272583,,,,,,,,
49,1,39.747967112,,1736347204.4446006,0.0,1.1750807762145996,,,,,,
99,2,46.058144487,1e-05,1736347210.7548795,,,,,,,,
99,3,46.178684798,,1736347210.875392,0.0,1.4491856098175049,,,,,,
149,4,52.484825929,1e-05,1736347217.1815207,,,,,,,,
149,5,52.602569705,,1736347217.299294,0.0,1.663738489151001,,,,,,
199,6,58.972472515,1e-05,1736347223.6692734,,,,,,,,
199,7,59.089318571,,1736347223.7860234,0.0,0.8115948438644409,,,,,,
249,8,65.33047125,1e-05,1736347230.027137,,,,,,,,
249,9,65.446763481,,1736347230.143554,0.0,0.9167571663856506,,,,,,
299,10,71.748854574,1e-05,1736347236.4455123,,,,,,,,
299,11,71.86609958,,1736347236.562876,0.0,1.2193663120269775,,,,,,
349,12,78.071668043,1e-05,1736347242.7683737,,,,,,,,
349,13,78.187425403,,1736347242.8841152,0.0,0.8266841769218445,,,,,,
399,14,84.463461074,1e-05,1736347249.160086,,,,,,,,
399,15,84.579223548,,1736347249.2756588,0.0,0.9906080961227417,,,,,,
449,16,90.937453417,1e-05,1736347255.6338112,,,,,,,,
449,17,91.0630076,,1736347255.759485,0.0,0.6606083512306213,,,,,,
499,18,97.404420081,1e-05,1736347262.1007333,,,,,,,,
499,19,97.523408443,,1736347262.2199662,0.0,0.602753758430481,,,,,,
549,20,103.637000259,1e-05,1736347268.3338223,,,,,,,,
549,21,103.751534636,,1736347268.4483883,0.0,0.881989598274231,,,,,,
558,22,113.072551407,,1736347277.7693696,0.0,,0.7370277047157288,0.8601571321487427,,,,
558,23,144.577868128,,1736347309.2477942,0.0,,,,0.7167646288871765,0.9447817206382751,,
559,24,155.49956155,,1736347320.1964169,1.0,,,,,,0.7350125908851624,0.8641214966773987
