trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,41.1618388,1e-05,1736342633.3584566,,,,,,,,
49,1,41.281082411,,1736342633.47808,0.0,1.208236813545227,,,,,,
99,2,47.363368739,1e-05,1736342639.5604284,,,,,,,,
99,3,47.477696372,,1736342639.6741235,0.0,1.3237851858139038,,,,,,
149,4,53.575783484,1e-05,1736342645.7729092,,,,,,,,
149,5,53.688673325,,1736342645.8853533,0.0,1.4771331548690796,,,,,,
199,6,59.823418956,1e-05,1736342652.0203955,,,,,,,,
199,7,59.936092829,,1736342652.132967,0.0,1.1575802564620972,,,,,,
249,8,66.001058711,1e-05,1736342658.197979,,,,,,,,
249,9,66.112358291,,1736342658.3095195,0.0,1.2468397617340088,,,,,,
299,10,72.193022738,1e-05,1736342664.3896313,,,,,,,,
299,11,72.30355605,,1736342664.5005395,0.0,1.49583899974823,,,,,,
349,12,78.278715146,1e-05,1736342670.4749749,,,,,,,,
349,13,78.393889761,,1736342670.591057,0.0,1.7229993343353271,,,,,,
399,14,84.429701231,1e-05,1736342676.626488,,,,,,,,
399,15,84.540240902,,1736342676.7373853,0.0,1.1691792011260986,,,,,,
449,16,90.620148201,1e-05,1736342682.8168585,,,,,,,,
449,17,90.737037506,,1736342682.933673,0.0,1.042762041091919,,,,,,
499,18,96.824582529,1e-05,1736342689.02132,,,,,,,,
499,19,96.934710308,,1736342689.131899,0.0,0.9257266521453857,,,,,,
549,20,102.824062251,1e-05,1736342695.0213327,,,,,,,,
549,21,102.932873634,,1736342695.130177,0.0,1.0143804550170898,,,,,,
558,22,112.462153901,,1736342704.659335,0.0,,0.6609571576118469,1.190509557723999,,,,
558,23,138.719228078,,1736342730.9165676,0.0,,,,0.6654351949691772,1.1801332235336304,,
559,24,150.503735611,,1736342742.70091,1.0,,,,,,0.6574307084083557,1.186049222946167
