trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,39.459647486,1e-05,1736378630.7810695,,,,,,,,
49,1,39.575129818,,1736378630.8967264,0.0,1.1750807762145996,,,,,,
99,2,45.790968564,1e-05,1736378637.1123838,,,,,,,,
99,3,45.908952556,,1736378637.230535,0.0,1.4491856098175049,,,,,,
149,4,52.137092633,1e-05,1736378643.4586523,,,,,,,,
149,5,52.252943948,,1736378643.574539,0.0,1.663738489151001,,,,,,
199,6,58.449249302,1e-05,1736378649.770602,,,,,,,,
199,7,58.564986252,,1736378649.8866112,0.0,0.8115948438644409,,,,,,
249,8,64.757256134,1e-05,1736378656.0787432,,,,,,,,
249,9,64.873124672,,1736378656.194759,0.0,0.9167571663856506,,,,,,
299,10,71.155475423,1e-05,1736378662.4771135,,,,,,,,
299,11,71.272758913,,1736378662.5943053,0.0,1.2193663120269775,,,,,,
349,12,77.454795926,1e-05,1736378668.7759867,,,,,,,,
349,13,77.570587059,,1736378668.892234,0.0,0.8266841769218445,,,,,,
399,14,83.797071651,1e-05,1736378675.1186922,,,,,,,,
399,15,83.912500014,,1736378675.2341342,0.0,0.9906080961227417,,,,,,
449,16,90.196570903,1e-05,1736378681.517887,,,,,,,,
449,17,90.318310889,,1736378681.6395144,0.0,0.6606083512306213,,,,,,
499,18,96.582119606,1e-05,1736378687.9035208,,,,,,,,
499,19,96.698388937,,1736378688.0200315,0.0,0.602753758430481,,,,,,
549,20,102.810281162,1e-05,1736378694.1318445,,,,,,,,
549,21,102.924580972,,1736378694.2462997,0.0,0.881989598274231,,,,,,
558,22,111.873423739,,1736378703.1951482,0.0,,0.7370277047157288,0.8601571321487427,,,,
558,23,143.156017113,,1736378734.450852,0.0,,,,0.7167646288871765,0.9447817206382751,,
599,24,151.897708231,1e-05,1736378743.2192793,,,,,,,,
599,25,152.015225925,,1736378743.3368573,1.0,0.5826066732406616,,,,,,
649,26,158.258408376,1e-05,1736378749.5799446,,,,,,,,
649,27,158.375756252,,1736378749.6973367,1.0,0.5455152988433838,,,,,,
699,28,164.671522912,1e-05,1736378755.993139,,,,,,,,
699,29,164.788299538,,1736378756.1095257,1.0,0.32138729095458984,,,,,,
749,30,170.989806212,1e-05,1736378762.3113987,,,,,,,,
749,31,171.10567194,,1736378762.4271672,1.0,0.37613391876220703,,,,,,
799,32,177.359380155,1e-05,1736378768.6809142,,,,,,,,
799,33,177.4777726,,1736378768.7993808,1.0,0.7126143574714661,,,,,,
849,34,183.74548869,1e-05,1736378775.0661936,,,,,,,,
849,35,183.863576525,,1736378775.1846786,1.0,0.37970682978630066,,,,,,
899,36,190.124574879,1e-05,1736378781.4461708,,,,,,,,
899,37,190.23998765,,1736378781.561628,1.0,0.5484696626663208,,,,,,
949,38,196.490701747,1e-05,1736378787.8122876,,,,,,,,
949,39,196.605974686,,1736378787.927525,1.0,0.17434678971767426,,,,,,
999,40,202.875635139,1e-05,1736378794.1970556,,,,,,,,
999,41,202.99225329,,1736378794.3138032,1.0,0.43974363803863525,,,,,,
1049,42,209.270272581,1e-05,1736378800.5916586,,,,,,,,
1049,43,209.386115439,,1736378800.7077808,1.0,0.7263303399085999,,,,,,
1099,44,215.620917652,1e-05,1736378806.9425762,,,,,,,,
1099,45,215.735294192,,1736378807.0570529,1.0,0.2788073420524597,,,,,,
1117,46,225.914047231,,1736378817.2357519,1.0,,0.7350125908851624,0.9336292743682861,,,,
1117,47,257.399234104,,1736378848.7208724,1.0,,,,0.8575986623764038,0.4573812484741211,,
1149,48,265.429011317,1e-05,1736378856.7505586,,,,,,,,
1149,49,265.544817739,,1736378856.866379,2.0,0.15123578906059265,,,,,,
1199,50,271.833792009,1e-05,1736378863.1552925,,,,,,,,
1199,51,271.950525148,,1736378863.272174,2.0,0.1747172474861145,,,,,,
1249,52,278.204664671,1e-05,1736378869.5262814,,,,,,,,
1249,53,278.319800647,,1736378869.6413362,2.0,0.1428658366203308,,,,,,
1299,54,284.59244274,1e-05,1736378875.9140134,,,,,,,,
1299,55,284.707940223,,1736378876.0295331,2.0,0.17635758221149445,,,,,,
1349,56,290.98897884,1e-05,1736378882.3105536,,,,,,,,
1349,57,291.105401408,,1736378882.4269102,2.0,0.09594351053237915,,,,,,
1399,58,297.352034932,1e-05,1736378888.6734023,,,,,,,,
1399,59,297.468094841,,1736378888.7894742,2.0,0.18323811888694763,,,,,,
1449,60,303.741889105,1e-05,1736378895.0632486,,,,,,,,
1449,61,303.864586145,,1736378895.1859405,2.0,0.47407424449920654,,,,,,
1499,62,310.123280597,1e-05,1736378901.4449124,,,,,,,,
1499,63,310.239550009,,1736378901.5609531,2.0,0.16427086293697357,,,,,,
1549,64,316.458806532,1e-05,1736378907.7802126,,,,,,,,
1549,65,316.574957632,,1736378907.8965065,2.0,0.13499413430690765,,,,,,
1599,66,322.897830591,1e-05,1736378914.219348,,,,,,,,
1599,67,323.015658595,,1736378914.3372738,2.0,0.21354208886623383,,,,,,
1649,68,329.299322876,1e-05,1736378920.6210063,,,,,,,,
1649,69,329.413921455,,1736378920.735738,2.0,0.47153472900390625,,,,,,
1676,70,340.703398341,,1736378932.025123,2.0,,0.7435768246650696,0.9369595050811768,,,,
1676,71,372.23247358,,1736378963.5541036,2.0,,,,0.9240974187850952,0.23448427021503448,,
1699,72,379.178839949,1e-05,1736378970.499647,,,,,,,,
1699,73,379.297513049,,1736378970.6190267,3.0,0.31167834997177124,,,,,,
1749,74,385.545356677,1e-05,1736378976.8666294,,,,,,,,
1749,75,385.663345775,,1736378976.9849985,3.0,0.29735657572746277,,,,,,
1799,76,391.913973535,1e-05,1736378983.2352834,,,,,,,,
1799,77,392.033149848,,1736378983.354659,3.0,0.089631088078022,,,,,,
1849,78,398.267837798,1e-05,1736378989.5894623,,,,,,,,
1849,79,398.382707097,,1736378989.7043679,3.0,0.24490123987197876,,,,,,
1899,80,404.679800406,1e-05,1736378996.0013654,,,,,,,,
1899,81,404.797095834,,1736378996.1186676,3.0,0.08121231943368912,,,,,,
1949,82,411.055449711,1e-05,1736379002.3770468,,,,,,,,
1949,83,411.170283094,,1736379002.4919329,3.0,0.20185068249702454,,,,,,
1999,84,417.401122682,1e-05,1736379008.7227144,,,,,,,,
1999,85,417.517503416,,1736379008.8391316,3.0,0.0804743617773056,,,,,,
2049,86,423.814589415,1e-05,1736379015.1362352,,,,,,,,
2049,87,423.930588663,,1736379015.2522314,3.0,0.06873759627342224,,,,,,
2099,88,430.159360908,1e-05,1736379021.4809117,,,,,,,,
2099,89,430.275061798,,1736379021.596654,3.0,0.09663983434438705,,,,,,
2149,90,436.594401125,1e-05,1736379027.9160652,,,,,,,,
2149,91,436.711373298,,1736379028.033033,3.0,0.3393685519695282,,,,,,
2199,92,443.01144212,1e-05,1736379034.3329198,,,,,,,,
2199,93,443.127794972,,1736379034.4494011,3.0,0.14462882280349731,,,,,,
2235,94,455.624431026,,1736379046.9461567,3.0,,0.7360201478004456,0.9841476678848267,,,,
2235,95,487.051262414,,1736379078.3729153,3.0,,,,0.9575706720352173,0.13946205377578735,,
2249,96,492.062534148,1e-05,1736379083.3837879,,,,,,,,
2249,97,492.184237553,,1736379083.505715,4.0,0.0568169467151165,,,,,,
2299,98,498.51965,1e-05,1736379089.841277,,,,,,,,
2299,99,498.635353313,,1736379089.9570365,4.0,0.055674366652965546,,,,,,
2349,100,504.885135706,1e-05,1736379096.2065873,,,,,,,,
2349,101,505.000454389,,1736379096.321965,4.0,0.02687390148639679,,,,,,
2399,102,511.24694333,1e-05,1736379102.5686107,,,,,,,,
2399,103,511.363445201,,1736379102.684981,4.0,0.14719441533088684,,,,,,
2449,104,517.663772695,1e-05,1736379108.9852166,,,,,,,,
2449,105,517.781131691,,1736379109.1027312,4.0,0.23420590162277222,,,,,,
2499,106,524.064091193,1e-05,1736379115.3854916,,,,,,,,
2499,107,524.182118409,,1736379115.5033696,4.0,0.07180190086364746,,,,,,
2549,108,530.438815912,1e-05,1736379121.7597325,,,,,,,,
2549,109,530.555451848,,1736379121.8770533,4.0,0.06255538761615753,,,,,,
2599,110,536.856027477,1e-05,1736379128.1776621,,,,,,,,
2599,111,536.971988177,,1736379128.2936122,4.0,0.01832536607980728,,,,,,
2649,112,543.278511086,1e-05,1736379134.6000016,,,,,,,,
2649,113,543.394805909,,1736379134.7161896,4.0,0.06903076171875,,,,,,
2699,114,549.685594857,1e-05,1736379141.007048,,,,,,,,
2699,115,549.806243255,,1736379141.1277843,4.0,0.05767766386270523,,,,,,
2749,116,556.119512099,1e-05,1736379147.441029,,,,,,,,
2749,117,556.236079001,,1736379147.5573928,4.0,0.09720201790332794,,,,,,
2794,118,569.896440767,,1736379161.2181644,4.0,,0.7375314831733704,1.052301049232483,,,,
2794,119,601.523686997,,1736379192.8454802,4.0,,,,0.9750350117683411,0.08749209344387054,,
2799,120,605.4931638,1e-05,1736379196.8134375,,,,,,,,
2799,121,605.621132994,,1736379196.941484,5.0,0.037293970584869385,,,,,,
2849,122,612.144062395,1e-05,1736379203.465563,,,,,,,,
2849,123,612.260935676,,1736379203.5823562,5.0,0.056283555924892426,,,,,,
2899,124,618.520442659,1e-05,1736379209.8417757,,,,,,,,
2899,125,618.637014129,,1736379209.9586194,5.0,0.010435600765049458,,,,,,
2949,126,624.858452135,1e-05,1736379216.1799974,,,,,,,,
2949,127,624.975802772,,1736379216.2972298,5.0,0.20315095782279968,,,,,,
2999,128,631.245257616,1e-05,1736379222.566922,,,,,,,,
2999,129,631.360832193,,1736379222.6822915,5.0,0.11072830110788345,,,,,,
3049,130,637.617014553,1e-05,1736379228.9385989,,,,,,,,
3049,131,637.734141541,,1736379229.0556877,5.0,0.15832693874835968,,,,,,
3099,132,644.070507035,1e-05,1736379235.392134,,,,,,,,
3099,133,644.189704067,,1736379235.5109787,5.0,0.0929255411028862,,,,,,
3149,134,650.5056487,1e-05,1736379241.8269064,,,,,,,,
3149,135,650.626363138,,1736379241.9476104,5.0,0.16949491202831268,,,,,,
3199,136,656.941026449,1e-05,1736379248.2627149,,,,,,,,
3199,137,657.05649134,,1736379248.3781757,5.0,0.0884651243686676,,,,,,
3249,138,663.314210783,1e-05,1736379254.6353674,,,,,,,,
3249,139,663.431556743,,1736379254.753082,5.0,0.027547400444746017,,,,,,
3299,140,669.692267411,1e-05,1736379261.013907,,,,,,,,
3299,141,669.808927559,,1736379261.1305778,5.0,0.049135103821754456,,,,,,
3349,142,675.953202674,1e-05,1736379267.2748868,,,,,,,,
3349,143,676.06738357,,1736379267.3892112,5.0,0.026843680068850517,,,,,,
3353,144,684.645126272,,1736379275.9667687,5.0,,0.7400503754615784,1.1054967641830444,,,,
3353,145,716.422568591,,1736379307.7442772,5.0,,,,0.9827036261558533,0.0629606544971466,,
3399,146,726.02030282,1e-05,1736379317.3416681,,,,,,,,
3399,147,726.136651675,,1736379317.4579043,6.0,0.011865891516208649,,,,,,
3449,148,732.417408757,1e-05,1736379323.7390428,,,,,,,,
3449,149,732.532944451,,1736379323.8543563,6.0,0.010536368936300278,,,,,,
3499,150,738.784704911,1e-05,1736379330.1060984,,,,,,,,
3499,151,738.905136606,,1736379330.2262075,6.0,0.008525996468961239,,,,,,
3549,152,745.279805408,1e-05,1736379336.6014104,,,,,,,,
3549,153,745.397631216,,1736379336.7192252,6.0,0.010883164592087269,,,,,,
