trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,40.349114135,1e-05,1736356341.862205,,,,,,,,
49,1,40.460280226,,1736356341.9734905,0.0,1.208236813545227,,,,,,
99,2,46.538411036,1e-05,1736356348.0519714,,,,,,,,
99,3,46.649587717,,1736356348.1626537,0.0,1.3237851858139038,,,,,,
149,4,52.748762586,1e-05,1736356354.2621078,,,,,,,,
149,5,52.859036705,,1736356354.3725379,0.0,1.4771331548690796,,,,,,
199,6,58.930878569,1e-05,1736356360.444404,,,,,,,,
199,7,59.042984492,,1736356360.5564423,0.0,1.1575802564620972,,,,,,
249,8,65.104012066,1e-05,1736356366.6174452,,,,,,,,
249,9,65.214352079,,1736356366.7279215,0.0,1.2468397617340088,,,,,,
299,10,71.35244588,1e-05,1736356372.865976,,,,,,,,
299,11,71.463399222,,1736356372.97698,0.0,1.49583899974823,,,,,,
349,12,77.492608653,1e-05,1736356379.0057685,,,,,,,,
349,13,77.605004107,,1736356379.1183145,0.0,1.7229993343353271,,,,,,
399,14,83.760753443,1e-05,1736356385.2742414,,,,,,,,
399,15,83.871382056,,1736356385.384979,0.0,1.1691792011260986,,,,,,
449,16,90.02894278,1e-05,1736356391.542256,,,,,,,,
449,17,90.141559078,,1736356391.655054,0.0,1.042762041091919,,,,,,
499,18,96.321662949,1e-05,1736356397.8351445,,,,,,,,
499,19,96.432372393,,1736356397.945938,0.0,0.9257266521453857,,,,,,
549,20,102.372328887,1e-05,1736356403.8859763,,,,,,,,
549,21,102.481295075,,1736356403.994987,0.0,1.0143804550170898,,,,,,
558,22,112.073832425,,1736356413.5874681,0.0,,0.6609571576118469,1.190509557723999,,,,
558,23,130.945044266,,1736356432.4365392,0.0,,,,0.6654351949691772,1.1801332235336304,,
599,24,139.687502353,1e-05,1736356441.2008097,,,,,,,,
599,25,139.800056484,,1736356441.3133469,1.0,1.1177481412887573,,,,,,
649,26,145.774220745,1e-05,1736356447.287685,,,,,,,,
649,27,145.885969857,,1736356447.3994808,1.0,1.1517654657363892,,,,,,
699,28,151.922534995,1e-05,1736356453.4360502,,,,,,,,
699,29,152.032584082,,1736356453.5460496,1.0,1.4080380201339722,,,,,,
749,30,158.00737538,1e-05,1736356459.5209305,,,,,,,,
749,31,158.119226503,,1736356459.6325662,1.0,1.3702389001846313,,,,,,
799,32,164.148233679,1e-05,1736356465.6614182,,,,,,,,
799,33,164.259620252,,1736356465.772949,1.0,1.377277135848999,,,,,,
849,34,170.268119465,1e-05,1736356471.781624,,,,,,,,
849,35,170.381044431,,1736356471.89431,1.0,1.1348711252212524,,,,,,
899,36,176.420268383,1e-05,1736356477.9333656,,,,,,,,
899,37,176.530875626,,1736356478.044019,1.0,1.1299469470977783,,,,,,
949,38,182.55506441,1e-05,1736356484.0682096,,,,,,,,
949,39,182.667394671,,1736356484.1809337,1.0,0.7520666122436523,,,,,,
999,40,188.693314185,1e-05,1736356490.2068627,,,,,,,,
999,41,188.803408466,,1736356490.316868,1.0,0.7668925523757935,,,,,,
1049,42,194.835481866,1e-05,1736356496.3490975,,,,,,,,
1049,43,194.945646539,,1736356496.4591668,1.0,1.5437374114990234,,,,,,
1099,44,200.93237684,1e-05,1736356502.4460106,,,,,,,,
1099,45,201.040871052,,1736356502.5545254,1.0,0.8997103571891785,,,,,,
1117,46,211.51770312,,1736356513.0313542,1.0,,0.6619647145271301,1.1548302173614502,,,,
1117,47,231.065018213,,1736356532.5786533,1.0,,,,0.6741673946380615,1.1439703702926636,,
1149,48,239.254930001,1e-05,1736356540.7682052,,,,,,,,
1149,49,239.36545619,,1736356540.8787863,2.0,0.833372950553894,,,,,,
1199,50,245.454045162,1e-05,1736356546.9675453,,,,,,,,
1199,51,245.563990073,,1736356547.0774071,2.0,0.8905516266822815,,,,,,
1249,52,251.636965333,1e-05,1736356553.1503386,,,,,,,,
1249,53,251.751930851,,1736356553.2653084,2.0,0.7635478377342224,,,,,,
1299,54,257.775806448,1e-05,1736356559.2891378,,,,,,,,
1299,55,257.885884628,,1736356559.3993387,2.0,0.8509536385536194,,,,,,
1349,56,263.92509551,1e-05,1736356565.4386177,,,,,,,,
1349,57,264.038958538,,1736356565.5525153,2.0,0.9364010691642761,,,,,,
1399,58,270.1414278,1e-05,1736356571.65489,,,,,,,,
1399,59,270.251714406,,1736356571.7652676,2.0,1.3077651262283325,,,,,,
1449,60,276.347726027,1e-05,1736356577.8613214,,,,,,,,
1449,61,276.459754118,,1736356577.9732423,2.0,1.0277312994003296,,,,,,
1499,62,282.502659863,1e-05,1736356584.0155687,,,,,,,,
1499,63,282.616965734,,1736356584.1304288,2.0,1.1100376844406128,,,,,,
1549,64,288.637831675,1e-05,1736356590.151035,,,,,,,,
1549,65,288.74919814,,1736356590.2627263,2.0,1.0093742609024048,,,,,,
1599,66,294.889360378,1e-05,1736356596.4028842,,,,,,,,
1599,67,295.00915477,,1736356596.5223985,2.0,0.9889506697654724,,,,,,
1649,68,301.040929563,1e-05,1736356602.5544593,,,,,,,,
1649,69,301.150416137,,1736356602.6640809,2.0,1.625976324081421,,,,,,
1676,70,312.722296863,,1736356614.2359295,2.0,,0.6750629544258118,1.1291176080703735,,,,
1676,71,331.187266902,,1736356632.7009237,2.0,,,,0.6803246736526489,1.1141433715820312,,
1699,72,338.325286458,1e-05,1736356639.8387783,,,,,,,,
1699,73,338.435447804,,1736356639.9489837,3.0,1.2133276462554932,,,,,,
1749,74,344.459562196,1e-05,1736356645.9730008,,,,,,,,
1749,75,344.576053652,,1736356646.089555,3.0,0.9582928419113159,,,,,,
1799,76,350.549921244,1e-05,1736356652.0633657,,,,,,,,
1799,77,350.660774964,,1736356652.1743011,3.0,1.1391541957855225,,,,,,
1849,78,356.695485119,1e-05,1736356658.2089791,,,,,,,,
1849,79,356.804982082,,1736356658.318606,3.0,1.3391778469085693,,,,,,
1899,80,362.844549324,1e-05,1736356664.3579812,,,,,,,,
1899,81,362.955772804,,1736356664.4693213,3.0,0.9429029822349548,,,,,,
1949,82,369.017309358,1e-05,1736356670.5308907,,,,,,,,
1949,83,369.127443152,,1736356670.6409838,3.0,1.3103625774383545,,,,,,
1999,84,375.155318462,1e-05,1736356676.6685383,,,,,,,,
1999,85,375.266197561,,1736356676.7797284,3.0,1.3323594331741333,,,,,,
2049,86,381.393381979,1e-05,1736356682.9069805,,,,,,,,
2049,87,381.507852813,,1736356683.0207415,3.0,1.1731131076812744,,,,,,
2099,88,387.599588955,1e-05,1736356689.1128063,,,,,,,,
2099,89,387.716803362,,1736356689.2302737,3.0,0.7648385763168335,,,,,,
2149,90,393.945675653,1e-05,1736356695.4591298,,,,,,,,
2149,91,394.056393794,,1736356695.569912,3.0,1.4418256282806396,,,,,,
2199,92,400.42746764,1e-05,1736356701.9404962,,,,,,,,
2199,93,400.549345249,,1736356702.0625,3.0,0.7577096223831177,,,,,,
2235,94,415.554525257,,1736356717.068102,3.0,,0.6654911637306213,1.1098941564559937,,,,
2235,95,435.502845444,,1736356737.0163913,3.0,,,,0.6873775720596313,1.0902509689331055,,
2249,96,441.314198058,1e-05,1736356742.8266819,,,,,,,,
2249,97,441.450175485,,1736356742.963471,4.0,1.3521552085876465,,,,,,
2299,98,448.691081744,1e-05,1736356750.2042809,,,,,,,,
2299,99,448.807245883,,1736356750.3199444,4.0,1.0739549398422241,,,,,,
2349,100,455.528481883,1e-05,1736356757.0407279,,,,,,,,
2349,101,455.64745626,,1736356757.158769,4.0,1.0804541110992432,,,,,,
2399,102,462.663769595,1e-05,1736356764.1771123,,,,,,,,
2399,103,462.794072393,,1736356764.3044336,4.0,1.149593710899353,,,,,,
2449,104,469.361699313,1e-05,1736356770.875041,,,,,,,,
2449,105,469.47429806,,1736356770.9876955,4.0,1.0164541006088257,,,,,,
2499,106,475.734684949,1e-05,1736356777.2481263,,,,,,,,
2499,107,475.846994021,,1736356777.3604093,4.0,1.2081315517425537,,,,,,
2549,108,482.076224697,1e-05,1736356783.5897188,,,,,,,,
2549,109,482.190100285,,1736356783.703098,4.0,1.459341049194336,,,,,,
2599,110,488.357397377,1e-05,1736356789.8708842,,,,,,,,
2599,111,488.469233709,,1736356789.982781,4.0,0.9391680955886841,,,,,,
2649,112,494.604547632,1e-05,1736356796.1179986,,,,,,,,
2649,113,494.718054634,,1736356796.230654,4.0,1.1393948793411255,,,,,,
2699,114,500.738569735,1e-05,1736356802.2517593,,,,,,,,
2699,115,500.850205958,,1736356802.3635662,4.0,0.5937515497207642,,,,,,
2749,116,506.937322985,1e-05,1736356808.449762,,,,,,,,
2749,117,507.048049521,,1736356808.561469,4.0,0.9559935331344604,,,,,,
2794,118,521.719399206,,1736356823.2330208,4.0,,0.6851385235786438,1.087240219116211,,,,
2794,119,540.882358154,,1736356842.3960202,4.0,,,,0.692023515701294,1.067959189414978,,
2799,120,545.700983413,1e-05,1736356847.2139738,,,,,,,,
2799,121,545.81807787,,1736356847.3309114,5.0,1.5523384809494019,,,,,,
2849,122,552.683356524,1e-05,1736356854.1969018,,,,,,,,
2849,123,552.793760083,,1736356854.3073854,5.0,1.160869836807251,,,,,,
2899,124,559.23516013,1e-05,1736356860.748641,,,,,,,,
2899,125,559.384763852,,1736356860.8978505,5.0,0.6549709439277649,,,,,,
2949,126,565.852738766,1e-05,1736356867.3662553,,,,,,,,
2949,127,565.962360987,,1736356867.4759367,5.0,1.0649787187576294,,,,,,
2999,128,572.393210593,1e-05,1736356873.9067714,,,,,,,,
2999,129,572.562801237,,1736356874.0763516,5.0,0.7105079889297485,,,,,,
3049,130,579.037674904,1e-05,1736356880.551021,,,,,,,,
3049,131,579.150731301,,1736356880.6642325,5.0,1.3580889701843262,,,,,,
3099,132,585.726324987,1e-05,1736356887.2380812,,,,,,,,
3099,133,585.864595379,,1736356887.3780828,5.0,0.9513369798660278,,,,,,
3149,134,592.471211007,1e-05,1736356893.9847467,,,,,,,,
3149,135,592.582412222,,1736356894.0959063,5.0,1.6006355285644531,,,,,,
3199,136,599.07434862,1e-05,1736356900.5878828,,,,,,,,
3199,137,599.235036542,,1736356900.7486308,5.0,1.653531551361084,,,,,,
3249,138,605.69587635,1e-05,1736356907.2093153,,,,,,,,
3249,139,605.808698271,,1736356907.3218486,5.0,0.8304333686828613,,,,,,
3299,140,612.362614859,1e-05,1736356913.8760676,,,,,,,,
3299,141,612.472848687,,1736356913.9864218,5.0,1.093782901763916,,,,,,
3349,142,618.833541053,1e-05,1736356920.347238,,,,,,,,
