trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,38.376969568,1e-05,1736270742.605324,,,,,,,,
49,1,38.491012682,,1736270742.7194643,0.0,0.579240620136261,,,,,,
99,2,44.426019234,1e-05,1736270748.654421,,,,,,,,
99,3,44.539454219,,1736270748.7679384,0.0,0.22145746648311615,,,,,,
149,4,50.472239175,1e-05,1736270754.7006407,,,,,,,,
149,5,50.586340278,,1736270754.8147697,0.0,0.33896997570991516,,,,,,
199,6,56.526074482,1e-05,1736270760.7545297,,,,,,,,
199,7,56.63993214,,1736270760.8684216,0.0,0.2954806685447693,,,,,,
249,8,62.572380258,1e-05,1736270766.8007843,,,,,,,,
249,9,62.685996424,,1736270766.9144983,0.0,0.22120456397533417,,,,,,
299,10,68.612099227,1e-05,1736270772.840506,,,,,,,,
299,11,68.725815872,,1736270772.9542563,0.0,0.30467119812965393,,,,,,
349,12,74.667436959,1e-05,1736270778.8959157,,,,,,,,
349,13,74.781657077,,1736270779.0101464,0.0,0.18433232605457306,,,,,,
399,14,80.728536005,1e-05,1736270784.9569938,,,,,,,,
399,15,80.84287148,,1736270785.071356,0.0,0.5036985874176025,,,,,,
449,16,86.788575488,1e-05,1736270791.017025,,,,,,,,
449,17,86.90233204,,1736270791.1308758,0.0,0.4106728434562683,,,,,,
499,18,92.84895594,1e-05,1736270797.0773706,,,,,,,,
499,19,92.963194504,,1736270797.191686,0.0,0.40891045331954956,,,,,,
549,20,98.917504589,1e-05,1736270803.1459694,,,,,,,,
549,21,99.031453612,,1736270803.2599316,0.0,0.14987985789775848,,,,,,
599,22,104.988375233,1e-05,1736270809.216828,,,,,,,,
599,23,105.102420657,,1736270809.330915,0.0,0.2321302592754364,,,,,,
649,24,111.05652293,1e-05,1736270815.2849507,,,,,,,,
649,25,111.170792383,,1736270815.399295,0.0,0.21661494672298431,,,,,,
699,26,117.126670088,1e-05,1736270821.3551147,,,,,,,,
699,27,117.241048235,,1736270821.4695451,0.0,0.16237062215805054,,,,,,
749,28,123.197866317,1e-05,1736270827.4263299,,,,,,,,
749,29,123.312245648,,1736270827.5407481,0.0,0.08173645287752151,,,,,,
799,30,129.270285714,1e-05,1736270833.498756,,,,,,,,
799,31,129.384887481,,1736270833.6133957,0.0,0.37291234731674194,,,,,,
849,32,135.339874691,1e-05,1736270839.5683641,,,,,,,,
849,33,135.45450396,,1736270839.682991,0.0,0.15326698124408722,,,,,,
899,34,141.412298551,1e-05,1736270845.6407135,,,,,,,,
899,35,141.526596761,,1736270845.7551022,0.0,0.05846649780869484,,,,,,
949,36,147.473814823,1e-05,1736270851.7022412,,,,,,,,
949,37,147.58754466,,1736270851.81607,0.0,0.16527500748634338,,,,,,
999,38,153.552363931,1e-05,1736270857.780824,,,,,,,,
999,39,153.666557757,,1736270857.8950796,0.0,0.24275948107242584,,,,,,
1049,40,159.625778009,1e-05,1736270863.8541942,,,,,,,,
1049,41,159.740088595,,1736270863.968568,0.0,0.21512703597545624,,,,,,
1099,42,165.69389766,1e-05,1736270869.9223456,,,,,,,,
1099,43,165.808298334,,1736270870.0367844,0.0,0.022498581558465958,,,,,,
1149,44,171.771127277,1e-05,1736270875.9995658,,,,,,,,
1149,45,171.88542585,,1736270876.1139374,0.0,0.167999267578125,,,,,,
1199,46,177.838375517,1e-05,1736270882.0667665,,,,,,,,
1199,47,177.952631892,,1736270882.181116,0.0,0.07747860997915268,,,,,,
1249,48,183.913232804,1e-05,1736270888.1416223,,,,,,,,
1249,49,184.027573447,,1736270888.256095,0.0,0.13202568888664246,,,,,,
1299,50,189.985941555,1e-05,1736270894.2143607,,,,,,,,
1299,51,190.100098174,,1736270894.3286035,0.0,0.042080316692590714,,,,,,
1349,52,196.055399746,1e-05,1736270900.2837858,,,,,,,,
1349,53,196.169565954,,1736270900.3981102,0.0,0.0358227901160717,,,,,,
1399,54,202.127417041,1e-05,1736270906.3558664,,,,,,,,
1399,55,202.241615029,,1736270906.4701445,0.0,0.07383168488740921,,,,,,
1449,56,208.195217699,1e-05,1736270912.4236195,,,,,,,,
1449,57,208.309521124,,1736270912.538045,0.0,0.24816226959228516,,,,,,
1499,58,214.272919532,1e-05,1736270918.501345,,,,,,,,
