trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,37.018718626,1e-05,1736407729.0399668,,,,,,,,
49,1,37.126947268,,1736407729.1484113,0.0,1.9090368747711182,,,,,,
99,2,42.779386047,1e-05,1736407734.8007562,,,,,,,,
99,3,42.887207919,,1736407734.9086304,0.0,1.7148206233978271,,,,,,
149,4,48.537946998,1e-05,1736407740.5592804,,,,,,,,
149,5,48.646350256,,1736407740.6677403,0.0,1.7083027362823486,,,,,,
199,6,54.316621245,1e-05,1736407746.3380303,,,,,,,,
199,7,54.42485133,,1736407746.446349,0.0,1.6581683158874512,,,,,,
249,8,60.093316079,1e-05,1736407752.1147003,,,,,,,,
249,9,60.201559719,,1736407752.22303,0.0,1.5164446830749512,,,,,,
299,10,65.87254655,1e-05,1736407757.8939252,,,,,,,,
299,11,65.980798977,,1736407758.002269,0.0,1.4274964332580566,,,,,,
349,12,71.661141724,1e-05,1736407763.6825256,,,,,,,,
349,13,71.76921668,,1736407763.7906446,0.0,1.5191274881362915,,,,,,
399,14,77.452487649,1e-05,1736407769.4738371,,,,,,,,
399,15,77.561510839,,1736407769.5829172,0.0,1.392730951309204,,,,,,
449,16,83.237852057,1e-05,1736407775.2592313,,,,,,,,
449,17,83.346090065,,1736407775.3675036,0.0,1.4653692245483398,,,,,,
499,18,89.027520622,1e-05,1736407781.0489163,,,,,,,,
499,19,89.136082398,,1736407781.157502,0.0,1.1781703233718872,,,,,,
549,20,94.808662776,1e-05,1736407786.830041,,,,,,,,
549,21,94.917026796,,1736407786.9384553,0.0,1.0827316045761108,,,,,,
599,22,100.606548411,1e-05,1736407792.6279523,,,,,,,,
599,23,100.71497469,,1736407792.736446,0.0,1.4474835395812988,,,,,,
649,24,106.395743473,1e-05,1736407798.417135,,,,,,,,
649,25,106.503971826,,1736407798.5254579,0.0,1.1615115404129028,,,,,,
699,26,112.186592988,1e-05,1736407804.2079873,,,,,,,,
699,27,112.294632653,,1736407804.3161166,0.0,1.5671085119247437,,,,,,
749,28,117.985207131,1e-05,1736407810.0065632,,,,,,,,
749,29,118.093353318,,1736407810.1148298,0.0,1.083605408668518,,,,,,
