trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,37.959291708,1e-05,1736285558.5776548,,,,,,,,
49,1,38.073171135,,1736285558.6917596,0.0,0.579240620136261,,,,,,
99,2,44.014792676,1e-05,1736285564.6332498,,,,,,,,
99,3,44.129055572,,1736285564.7476172,0.0,0.22145746648311615,,,,,,
149,4,50.075913014,1e-05,1736285570.694389,,,,,,,,
149,5,50.189781911,,1736285570.808382,0.0,0.33896997570991516,,,,,,
199,6,56.137386888,1e-05,1736285576.7558825,,,,,,,,
199,7,56.251500704,,1736285576.8701038,0.0,0.2954806685447693,,,,,,
249,8,62.2007252,1e-05,1736285582.819236,,,,,,,,
249,9,62.314817136,,1736285582.9333842,0.0,0.22120456397533417,,,,,,
299,10,68.266179744,1e-05,1736285588.8846564,,,,,,,,
299,11,68.380338995,,1736285588.9988992,0.0,0.30467119812965393,,,,,,
349,12,74.32984294,1e-05,1736285594.9482903,,,,,,,,
349,13,74.443427864,,1736285595.062051,0.0,0.18433232605457306,,,,,,
399,14,80.384345599,1e-05,1736285601.002867,,,,,,,,
399,15,80.49829715,,1736285601.1168725,0.0,0.5036985874176025,,,,,,
449,16,86.436919503,1e-05,1736285607.0554414,,,,,,,,
449,17,86.550948609,,1736285607.1695225,0.0,0.4106728434562683,,,,,,
499,18,92.490706975,1e-05,1736285613.1091812,,,,,,,,
499,19,92.604758684,,1736285613.2233677,0.0,0.40891045331954956,,,,,,
549,20,98.554612196,1e-05,1736285619.1730902,,,,,,,,
549,21,98.668931937,,1736285619.2874944,0.0,0.14987985789775848,,,,,,
599,22,104.622629771,1e-05,1736285625.241102,,,,,,,,
599,23,104.737332731,,1736285625.3558745,0.0,0.2321302592754364,,,,,,
649,24,110.695826233,1e-05,1736285631.3143106,,,,,,,,
649,25,110.809784246,,1736285631.4283562,0.0,0.21661494672298431,,,,,,
699,26,116.744659505,1e-05,1736285637.3631768,,,,,,,,
699,27,116.858956433,,1736285637.477517,0.0,0.16237062215805054,,,,,,
749,28,122.818849596,1e-05,1736285643.4373271,,,,,,,,
749,29,122.933127238,,1736285643.5516667,0.0,0.08173645287752151,,,,,,
799,30,128.885322747,1e-05,1736285649.5038667,,,,,,,,
799,31,128.999678085,,1736285649.6181936,0.0,0.37291234731674194,,,,,,
849,32,134.956075588,1e-05,1736285655.5745842,,,,,,,,
849,33,135.070295692,,1736285655.6888616,0.0,0.15326698124408722,,,,,,
899,34,141.025269528,1e-05,1736285661.6437626,,,,,,,,
899,35,141.139490634,,1736285661.7581081,0.0,0.05846649780869484,,,,,,
949,36,147.096164823,1e-05,1736285667.7146707,,,,,,,,
949,37,147.210532583,,1736285667.829148,0.0,0.16527500748634338,,,,,,
999,38,153.165900866,1e-05,1736285673.784477,,,,,,,,
999,39,153.280249501,,1736285673.8988104,0.0,0.24275948107242584,,,,,,
1049,40,159.240415004,1e-05,1736285679.8588736,,,,,,,,
1049,41,159.354677497,,1736285679.973254,0.0,0.21512703597545624,,,,,,
1099,42,165.312009751,1e-05,1736285685.9304984,,,,,,,,
1099,43,165.42628073,,1736285686.044848,0.0,0.022498581558465958,,,,,,
1149,44,171.384874794,1e-05,1736285692.003329,,,,,,,,
1149,45,171.498784705,,1736285692.117389,0.0,0.167999267578125,,,,,,
1199,46,177.45818218,1e-05,1736285698.0766954,,,,,,,,
1199,47,177.572521897,,1736285698.191127,0.0,0.07747860997915268,,,,,,
1249,48,183.531845657,1e-05,1736285704.1502855,,,,,,,,
1249,49,183.646058496,,1736285704.2646186,0.0,0.13202568888664246,,,,,,
1299,50,189.60510439,1e-05,1736285710.223596,,,,,,,,
1299,51,189.719335744,,1736285710.3379045,0.0,0.042080316692590714,,,,,,
1349,52,195.677104606,1e-05,1736285716.2955816,,,,,,,,
1349,53,195.791389019,,1736285716.4099488,0.0,0.0358227901160717,,,,,,
1399,54,201.74849355,1e-05,1736285722.367009,,,,,,,,
1399,55,201.862735282,,1736285722.4812787,0.0,0.07383168488740921,,,,,,
1449,56,207.823211921,1e-05,1736285728.4416773,,,,,,,,
1449,57,207.937347786,,1736285728.5559251,0.0,0.24816226959228516,,,,,,
1499,58,213.898782496,1e-05,1736285734.5172985,,,,,,,,
1499,59,214.012974686,,1736285734.631576,0.0,0.10522878915071487,,,,,,
