trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,37.524550962,1e-05,1736298111.7340243,,,,,,,,
49,1,37.632839545,,1736298111.8424525,0.0,1.9090368747711182,,,,,,
99,2,43.30300254,1e-05,1736298117.5125818,,,,,,,,
99,3,43.411373628,,1736298117.6210496,0.0,1.7148206233978271,,,,,,
149,4,49.08833249,1e-05,1736298123.297924,,,,,,,,
149,5,49.196751818,,1736298123.406433,0.0,1.7083027362823486,,,,,,
199,6,54.883029778,1e-05,1736298129.0925913,,,,,,,,
199,7,54.991864295,,1736298129.2014954,0.0,1.6581683158874512,,,,,,
249,8,60.682683406,1e-05,1736298134.8922105,,,,,,,,
249,9,60.791055064,,1736298135.0006845,0.0,1.5164446830749512,,,,,,
299,10,66.480929652,1e-05,1736298140.6905267,,,,,,,,
299,11,66.589592436,,1736298140.7992349,0.0,1.4274964332580566,,,,,,
349,12,72.273314565,1e-05,1736298146.482917,,,,,,,,
349,13,72.381777054,,1736298146.5914426,0.0,1.5191274881362915,,,,,,
399,14,78.068170768,1e-05,1736298152.2777188,,,,,,,,
399,15,78.176646542,,1736298152.3862615,0.0,1.392730951309204,,,,,,
449,16,83.867347689,1e-05,1736298158.0769823,,,,,,,,
449,17,83.975813955,,1736298158.1854668,0.0,1.4653692245483398,,,,,,
499,18,89.661313455,1e-05,1736298163.8708968,,,,,,,,
499,19,89.769722375,,1736298163.9794023,0.0,1.1781703233718872,,,,,,
549,20,95.452453015,1e-05,1736298169.6620188,,,,,,,,
549,21,95.561127737,,1736298169.7707958,0.0,1.0827316045761108,,,,,,
599,22,101.242284328,1e-05,1736298175.451826,,,,,,,,
599,23,101.350578701,,1736298175.5602179,0.0,1.4474835395812988,,,,,,
649,24,107.030707555,1e-05,1736298181.2402365,,,,,,,,
649,25,107.139475357,,1736298181.3491142,0.0,1.1615115404129028,,,,,,
699,26,112.829497036,1e-05,1736298187.0390596,,,,,,,,
699,27,112.937602781,,1736298187.1472528,0.0,1.5671085119247437,,,,,,
749,28,118.626662945,1e-05,1736298192.8362389,,,,,,,,
749,29,118.73541319,,1736298192.9450426,0.0,1.083605408668518,,,,,,
799,30,124.431921982,1e-05,1736298198.641494,,,,,,,,
799,31,124.540807793,,1736298198.7504487,0.0,1.4724950790405273,,,,,,
849,32,130.240778196,1e-05,1736298204.4503639,,,,,,,,
849,33,130.34938607,,1736298204.559036,0.0,1.1618486642837524,,,,,,
899,34,136.042744504,1e-05,1736298210.2523358,,,,,,,,
899,35,136.151195787,,1736298210.360834,0.0,0.9053543210029602,,,,,,
949,36,141.839808906,1e-05,1736298216.0493755,,,,,,,,
949,37,141.948015233,,1736298216.157651,0.0,0.9874957799911499,,,,,,
999,38,147.648106187,1e-05,1736298221.8576472,,,,,,,,
999,39,147.756769061,,1736298221.9663734,0.0,1.1535427570343018,,,,,,
1049,40,153.465225945,1e-05,1736298227.6748035,,,,,,,,
1049,41,153.573865688,,1736298227.7835028,0.0,0.9125329852104187,,,,,,
1099,42,159.264255889,1e-05,1736298233.4738796,,,,,,,,
1099,43,159.372876228,,1736298233.5825179,0.0,0.7997637987136841,,,,,,
1149,44,165.068239111,1e-05,1736298239.277807,,,,,,,,
1149,45,165.176744047,,1736298239.3864164,0.0,1.146483063697815,,,,,,
1199,46,170.871571568,1e-05,1736298245.081165,,,,,,,,
1199,47,170.979647734,,1736298245.189291,0.0,1.0269476175308228,,,,,,
1249,48,176.664583013,1e-05,1736298250.8741634,,,,,,,,
1249,49,176.772751654,,1736298250.9823885,0.0,0.7777803540229797,,,,,,
1299,50,182.460420177,1e-05,1736298256.6699584,,,,,,,,
1299,51,182.568519782,,1736298256.7782114,0.0,0.7922104001045227,,,,,,
1349,52,188.262094399,1e-05,1736298262.4716003,,,,,,,,
1349,53,188.370588144,,1736298262.5802352,0.0,0.9140785336494446,,,,,,
